Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,380.000000,180.000000,22.000000,9.000000,8,8,2444.000000,2444.000000,561.000000,1,17.468344,0,-0.956624,705.000000,124.000000,2.853714,-1,0
2,411.000000,174.000000,21.375000,3.000000,8,8,4026.000000,4026.000000,586.000000,2,20.943658,0,0.229311,752.000000,115.000000,3.475315,-1,0
3,353.000000,195.000000,23.875000,2.000000,8,8,2370.000000,2370.000000,549.000000,3,22.497661,0,0.977754,601.000000,117.000000,1.554002,-1,0
5,345.000000,189.000000,23.125000,1.000000,8,8,3340.000000,3340.000000,535.000000,4,24.164681,0,2.05656,653.000000,120.000000,1.667021,-1,0
7,364.000000,199.000000,24.500000,2.000000,8,8,2570.000000,2570.000000,563.000000,5,25.407883,0,3.29738,703.000000,111.000000,1.243202,-1,0
8,382.000000,204.000000,25.000000,1.000000,8,8,2942.000000,2942.000000,587.000000,6,30.832764,0,4.01539,605.000000,119.000000,5.424881,-1,0
10,390.000000,208.000000,25.375000,1.000000,8,8,4115.000000,4115.000000,599.000000,7,36.964010,0,4.94642,702.000000,122.000000,6.131246,-1,0
12,440.000000,161.000000,26.333333,1.000000,8,6,2537.000000,2537.000000,601.000000,8,40.721871,0,6.03884,702.000000,130.000000,3.757860,-1,0
13,480.000000,162.000000,26.500000,1.000000,8,6,2346.000000,2346.000000,642.000000,9,46.146752,0,6.83893,604.000000,122.000000,5.424881,-1,0
15,470.000000,160.000000,26.166667,1.000000,8,6,3454.000000,3454.000000,630.000000,10,55.725058,0,7.82838,653.000000,131.000000,9.578306,-1,0
17,578.000000,118.000000,29.000000,3.000000,8,4,3321.000000,3321.000000,697.000000,11,62.110595,0,10.8767,1602.000000,128.000000,6.385537,-1,0
19,496.000000,119.000000,29.250000,12.000000,8,4,1780.000000,1780.000000,615.000000,12,65.275109,0,11.6576,654.000000,127.000000,3.164514,-1,0
21,543.000000,132.000000,25.800000,2.000000,8,5,2591.000000,2591.000000,675.000000,13,69.908862,0,12.5812,703.000000,126.000000,4.633753,-1,0
23,439.000000,194.000000,23.750000,2.000000,8,8,3198.000000,3198.000000,634.000000,14,73.751486,0,13.5495,653.000000,129.000000,3.842624,-1,0
24,379.000000,175.000000,21.500000,2.000000,8,8,4376.000000,4376.000000,555.000000,15,77.622365,0,14.6051,703.000000,129.000000,3.870879,-1,0
26,363.000000,199.000000,24.250000,1.000000,8,8,2990.000000,2990.000000,562.000000,16,78.809058,0,15.8445,702.000000,127.000000,1.186693,-1,0
28,376.000000,192.000000,23.375000,2.000000,8,8,768.000000,768.000000,568.000000,17,79.430659,0,16.6122,602.000000,130.000000,0.621601,-1,0
29,389.000000,185.000000,22.625000,2.000000,8,8,212.000000,212.000000,574.000000,18,79.487168,0,17.3143,503.000000,131.000000,0.056509,-1,0
31,436.000000,192.000000,23.500000,1.000000,8,8,0.000000,0.000000,629.000000,19,79.487168,0,18.4971,-1,-1,0.000000,-1,0
32,3897.000000,0.000000,-1,711.000000,57,10,2120.000000,375.404166,3898.000000,20,82.143099,1,24.1443,1406.000000,134.000000,2.655931,0.000000,9
37,386.000000,198.000000,24.375000,1.000000,8,8,1869.000000,1869.000000,584.000000,21,83.781866,0,25.1127,653.000000,130.000000,1.638766,-1,9
39,401.000000,185.000000,22.625000,1.000000,8,8,410.000000,410.000000,587.000000,22,84.742522,0,25.8913,652.000000,135.000000,0.960656,-1,9
41,402.000000,200.000000,24.625000,3.000000,8,8,866.000000,866.000000,603.000000,23,86.126996,0,26.4629,505.000000,133.000000,1.384475,-1,9
43,391.000000,204.000000,25.125000,1.000000,8,8,752.000000,752.000000,596.000000,24,87.398453,0,27.2372,653.000000,139.000000,1.271457,-1,9
44,394.000000,224.000000,27.375000,3.000000,8,8,928.000000,928.000000,619.000000,25,88.443873,0,27.9285,603.000000,140.000000,1.045420,-1,9
46,387.000000,227.000000,27.875000,2.000000,8,8,274.000000,274.000000,615.000000,26,88.669910,0,28.4867,502.000000,139.000000,0.226037,-1,9
48,376.000000,222.000000,27.375000,1.000000,8,8,777.000000,777.000000,599.000000,27,88.895946,0,29.5718,701.000000,138.000000,0.226037,-1,9
50,367.000000,218.000000,26.750000,2.000000,8,8,492.000000,492.000000,585.000000,28,89.121983,0,30.8819,703.000000,136.000000,0.226037,-1,9
51,406.000000,216.000000,26.500000,9.000000,8,8,170.000000,170.000000,622.000000,29,89.404529,0,31.6391,602.000000,136.000000,0.282546,-1,9
53,388.000000,220.000000,27.000000,4.000000,8,8,42.000000,42.000000,609.000000,30,89.489293,0,32.0525,353.000000,139.000000,0.084764,-1,9
55,356.000000,213.000000,26.125000,1.000000,8,8,5.000000,5.000000,570.000000,31,89.489293,0,32.791,654.000000,137.000000,0.000000,-1,9
79,4589.000000,405.000000,21.555556,725.000000,64,12,1642.000000,225.538507,4997.000000,32,90.421694,1,40.0713,1553.000000,144.000000,0.932401,0.000000,11
86,361.000000,213.000000,26.125000,1.000000,8,8,115.000000,115.000000,574.000000,33,90.591222,0,41.0199,653.000000,145.000000,0.169528,-1,11
88,407.000000,192.000000,27.000000,1.000000,8,7,82.000000,82.000000,600.000000,34,90.732495,0,41.6545,605.000000,150.000000,0.141273,-1,11
90,456.000000,180.000000,25.285714,1.000000,8,7,186.000000,186.000000,636.000000,35,91.071550,0,42.3434,604.000000,154.000000,0.339055,-1,11
92,462.000000,195.000000,27.428571,2.000000,8,7,8.000000,8.000000,658.000000,36,91.128059,0,43.0021,602.000000,148.000000,0.056509,-1,11
94,443.000000,179.000000,24.857143,1.000000,8,7,88.000000,88.000000,622.000000,37,91.241077,0,43.4439,354.000000,147.000000,0.113018,-1,11
96,461.000000,142.000000,23.500000,1.000000,8,6,38.000000,38.000000,604.000000,38,91.297586,0,43.7748,353.000000,154.000000,0.056509,-1,11
97,533.000000,139.000000,22.666667,3.000000,8,6,483.000000,483.000000,673.000000,39,92.116969,0,45.6095,1403.000000,148.000000,0.819383,-1,11
100,422.000000,183.000000,25.428571,6.000000,8,7,232.000000,232.000000,606.000000,40,92.569043,0,46.0756,504.000000,151.000000,0.452073,-1,11
102,484.000000,146.000000,23.833333,2.000000,8,6,38.000000,38.000000,630.000000,41,92.625552,0,46.8083,602.000000,162.000000,0.056509,-1,11
104,429.000000,185.000000,22.625000,4.000000,8,8,204.000000,204.000000,615.000000,42,92.964607,0,47.4665,603.000000,147.000000,0.339055,-1,11
128,531.000000,176.000000,24.714286,1.000000,8,7,450.000000,450.000000,707.000000,43,93.755736,0,47.9571,454.000000,148.000000,0.791129,-1,11
130,505.000000,153.000000,25.166667,3.000000,8,6,0.000000,0.000000,658.000000,44,93.755736,0,49.3747,-1,-1,0.000000,-1,11
131,3208.000000,800.000000,21.909091,586.000000,48,13,1475.000000,265.873052,4010.000000,45,95.083701,1,54.9225,1654.000000,151.000000,1.327966,0.000000,12
