Time,Progress_mean,Progress_std
0,17.652,1.018
1,18.178,1.451
2,19.839,1.422
3,21.54,2.143
4,21.54,2.143
5,22.814,2.638
6,23.331,3.423
7,25.083,3.587
8,29.132,5.581
9,29.505,5.479
10,33.13,7.155
11,34.195,7.799
12,37.62,8.162
13,41.558,9.937
14,42.225,9.949
15,47.48,13.318
16,48.822,12.987
17,52.761,15.002
18,54.16,15.551
19,57.304,17.424
20,58.426,17.042
21,61.82,18.92
22,63.221,19.768
23,65.086,20.193
24,66.677,20.361
25,67.739,21.002
26,68.94,21.409
27,68.985,21.37
28,69.638,21.664
29,70.703,22.407
30,71.22,22.775
31,71.762,22.383
32,72.449,21.839
33,72.774,21.869
34,73.234,21.045
35,74.011,20.363
36,74.661,19.002
37,75.791,18.319
38,75.84,18.275
39,76.653,17.145
40,76.826,17.09
41,78.026,15.261
42,78.221,15.12
43,79.439,13.588
44,80.581,12.516
45,80.634,12.528
46,81.982,10.756
47,82.363,10.816
48,83.318,10.203
49,83.997,10.604
50,84.514,10.542
51,85.367,9.583
52,85.621,9.781
53,86.799,8.649
54,86.811,8.643
55,87.613,7.523
56,87.67,7.513
57,87.901,7.319
58,87.93,7.282
59,88.037,7.309
60,88.568,6.544
61,88.605,6.555
62,88.639,6.542
63,88.659,6.536
64,89.077,6.799
65,89.738,6.104
66,89.741,6.099
67,90.586,5.972
68,90.591,5.96
69,91.021,6.099
70,91.459,5.495
71,91.673,5.611
72,91.673,5.611
73,92.377,4.315
74,92.411,4.325
75,92.589,3.986
76,92.682,4.037
77,92.837,3.725
78,92.837,3.725
79,92.993,3.611
80,92.993,3.611
81,93.024,3.597
82,93.024,3.597
83,93.052,3.583
84,93.052,3.583
85,93.078,3.539
86,93.148,3.424
87,93.148,3.424
88,93.199,3.341
89,93.199,3.341
90,93.264,3.252
91,93.388,3.037
92,93.394,3.032
93,93.417,2.983
94,93.428,2.973
95,93.434,2.961
96,93.439,2.957
97,93.778,2.548
98,93.778,2.548
99,93.821,2.511
100,94.129,1.823
101,94.129,1.823
102,94.134,1.817
103,94.168,1.779
104,94.202,1.749
105,94.202,1.749
106,94.202,1.749
107,94.383,1.337
108,94.383,1.337
109,94.439,1.235
110,94.468,1.187
111,94.578,1.036
112,94.697,0.858
113,94.719,0.832
114,94.796,0.787
115,94.796,0.787
116,94.815,0.788
117,94.858,0.745
118,94.858,0.745
119,94.858,0.745
120,94.858,0.745
121,94.858,0.745
122,94.858,0.745
123,94.858,0.745
124,94.931,0.725
125,94.931,0.725
126,94.931,0.725
127,94.931,0.725
128,95.01,0.492
129,95.01,0.492
130,95.01,0.492
131,95.143,0.22
