Time,Progress_mean,Progress_std
0,16.508,0.507
1,16.508,0.507
2,18.248,1.208
3,18.921,1.54
4,18.977,1.536
5,19.672,1.942
6,19.715,1.933
7,20.274,2.343
8,20.308,2.334
9,20.715,2.636
10,21.054,2.941
11,21.226,2.981
12,21.879,3.42
13,21.904,3.406
14,22.337,3.731
15,22.868,4.171
16,23.071,4.288
17,23.679,4.635
18,23.747,4.597
19,24.354,4.961
20,24.639,5.109
21,25.142,5.352
22,25.671,5.445
23,25.953,5.687
24,27.154,6.051
25,27.561,5.654
26,28.329,6.427
27,29.095,6.341
28,30.019,7.434
29,30.83,7.31
30,31.556,8.181
31,32.234,8.173
32,33.28,8.401
33,33.655,8.761
34,34.478,8.72
35,34.814,8.347
36,35.726,8.26
37,36.371,8.463
38,37.117,8.749
39,37.837,8.95
40,38.103,9.12
41,38.877,9.233
42,39.366,9.473
43,39.838,9.79
44,40.208,10.205
45,41.035,11.253
46,41.708,11.442
47,42.943,11.682
48,43.378,11.877
49,43.768,12.433
50,44.254,12.618
51,44.613,13.163
52,45.57,12.947
53,46.24,13.659
54,46.681,14.189
55,46.893,14.286
56,47.09,14.627
57,47.675,15.139
58,47.766,15.088
59,48.3,15.551
60,48.495,15.585
61,48.885,15.944
62,49.142,15.935
63,49.461,16.228
64,49.922,16.725
65,50.215,16.773
66,50.345,16.974
67,50.642,16.992
68,50.967,17.325
69,51.153,17.167
70,51.419,17.447
71,51.498,17.454
72,51.668,17.642
73,51.724,17.633
74,51.97,17.926
75,52.06,17.996
76,52.247,18.134
77,52.445,18.216
78,52.563,18.366
79,52.874,18.42
80,53.123,18.61
81,53.318,18.709
82,53.662,18.712
83,53.73,18.835
84,54.454,19.195
85,54.609,19.419
86,54.894,19.356
87,55.075,19.626
88,55.621,19.55
89,55.917,20.003
90,56.491,19.981
91,56.754,20.261
92,57.03,20.16
93,57.33,20.231
94,57.466,20.149
95,57.728,19.951
96,58.262,20.757
97,58.895,20.4
98,58.909,20.423
99,59.514,20.286
100,59.517,20.29
101,60.449,20.394
102,60.548,20.224
103,61.393,20.469
104,61.63,20.18
105,62.492,20.45
106,62.876,19.928
107,63.625,19.226
108,63.84,19.28
109,64.19,18.838
110,64.323,18.755
111,64.755,18.424
112,64.984,18.473
113,65.179,18.196
114,65.269,18.202
115,65.62,18.088
116,65.654,18.084
117,66.462,18.425
118,66.547,18.324
119,67.064,18.526
120,67.233,18.312
121,67.513,18.071
122,68.041,17.395
123,68.42,17.101
124,68.798,16.63
125,69.655,15.851
126,69.866,15.663
127,70.389,15.137
128,70.389,15.137
129,70.754,14.807
130,70.923,14.801
131,71.567,14.235
132,71.669,14.236
133,72.118,13.858
134,72.265,13.725
135,72.375,13.672
136,72.565,13.495
137,72.618,13.488
138,72.918,13.181
139,73.045,13.093
140,73.85,12.711
141,73.946,12.652
142,74.04,12.596
143,74.252,12.462
144,74.367,12.357
145,74.367,12.357
146,74.495,12.189
147,74.509,12.181
148,74.656,12.003
149,74.67,11.996
150,75.077,11.541
151,75.122,11.515
152,75.695,10.803
153,75.797,10.74
154,76.184,10.223
155,76.345,10.101
156,76.583,9.901
157,76.619,9.88
158,77.026,9.252
159,77.145,9.184
160,77.357,9.052
161,77.43,9.015
162,77.733,9.041
163,78.043,8.955
164,78.942,8.903
165,79.255,8.68
166,79.891,8.936
167,80.069,8.693
168,80.448,8.974
169,80.914,8.742
170,81.185,9.058
171,81.601,8.784
172,81.807,8.865
173,82.106,8.625
174,82.392,8.731
175,82.94,8.625
176,83.417,8.668
177,83.615,8.659
178,84.627,8.636
179,84.776,8.666
180,85.251,8.758
181,85.613,8.711
182,86.226,8.79
183,86.263,8.8
184,86.443,8.896
185,86.573,8.824
186,86.703,8.903
187,86.805,8.859
188,87.099,8.9
189,87.11,8.895
190,87.198,8.949
191,87.243,8.931
192,87.266,8.948
193,87.362,8.956
194,87.39,8.958
195,87.5,8.975
196,87.531,8.977
197,87.639,9.012
198,87.704,9.019
199,87.845,9.039
200,87.995,9.07
201,88.218,9.125
202,88.427,9.212
203,88.489,9.235
204,88.647,9.314
205,88.673,9.326
206,88.707,9.328
207,88.709,9.329
208,88.752,9.246
209,88.904,9.156
210,89.026,9.081
211,89.272,8.975
212,89.314,8.859
213,89.407,8.671
214,89.571,8.629
215,89.696,8.504
216,89.735,8.503
217,89.794,8.37
218,89.806,8.375
219,89.862,8.305
220,90.015,8.143
221,90.162,7.886
222,90.343,7.46
223,90.345,7.462
224,90.597,6.907
225,90.6,6.909
226,90.846,6.334
227,90.854,6.338
228,91.151,5.695
229,91.156,5.698
230,91.303,5.542
231,91.461,5.58
232,91.707,5.226
233,91.719,5.206
234,91.959,4.947
235,92.089,4.675
236,92.233,4.712
237,92.337,4.506
238,92.442,4.473
239,92.487,4.386
240,92.51,4.397
241,92.659,4.134
242,92.674,4.141
243,92.767,3.997
244,92.789,4.009
245,92.832,3.949
246,92.877,3.912
247,92.914,3.878
248,92.942,3.822
249,92.945,3.818
250,92.999,3.793
251,93.01,3.781
252,93.013,3.782
253,93.027,3.748
254,93.21,3.797
255,93.287,3.629
256,93.329,3.568
257,93.366,3.558
258,93.369,3.554
259,93.431,3.574
260,93.849,2.57
261,93.849,2.57
262,94.194,2.006
263,94.194,2.006
264,94.199,2.008
265,94.199,2.008
266,94.199,2.008
267,94.335,1.637
268,94.341,1.639
269,94.485,1.283
270,94.485,1.283
271,94.581,1.098
272,94.581,1.098
273,94.595,1.066
274,94.646,0.976
275,94.694,0.907
276,94.747,0.824
277,94.747,0.824
278,94.796,0.698
279,94.88,0.607
280,94.906,0.53
281,94.906,0.53
282,94.931,0.454
283,94.931,0.454
284,94.945,0.446
285,94.959,0.404
286,94.976,0.398
287,94.976,0.398
288,94.979,0.398
289,94.979,0.398
290,94.982,0.39
291,94.985,0.39
292,94.985,0.39
293,94.988,0.381
294,94.988,0.381
295,94.988,0.381
296,94.988,0.381
297,94.988,0.381
298,94.99,0.372
299,94.99,0.372
300,94.99,0.372
301,94.99,0.372
302,94.999,0.346
303,94.999,0.346
304,95.007,0.32
305,95.007,0.32
306,95.041,0.217
307,95.044,0.216
308,95.044,0.216
309,95.126,0.09
