Iteration,Progress_mean,Progress_std,TrajectoryLength_mean,TrajectoryLength_std,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Planner_mean,Planner_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std,ClusterTime_mean,ClusterTime_std,NbvMemory_mean,NbvMemory_std
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2.6920992000000004,0.20061330959324608,0.0,0.055133945834969354,0.0,0.0,518.9,33.174454697017175,224.2,6.408327915038886,18.208333099999997,0.5432669097094087,0.0,0.0,12.0,0.0,12.0,0.0,3560.6,674.9780572565139,3560.6,674.9780572565139,744.2,36.380092236154546,0.0,0.0,513.8,39.242267461954285,106.4,3.098386676965932,1.1539087000000001,0.20061297322403873,-1.0,0.0,0.0,0.0
2,3.9921444,0.3702940478992338,0.4301453000000002,0.0903407217569501,1.5,0.5270462766947299,530.6,18.081297888518225,233.7,7.572611467944493,18.966666699999998,0.6421416298913873,0.0,0.0,12.0,0.0,12.0,0.0,2423.0,443.5600923838343,2423.0,443.5600923838343,764.8,18.990055877280138,0.0,0.0,467.1,78.61643876724794,105.7,3.8311588035185626,1.3000451,0.323846104933415,-1.0,0.0,0.0,0.0
3,4.7456011,0.3833523602577807,0.8798662,0.1686261735047215,3.0,0.0,541.8,30.56432197477603,253.6,15.514867421641446,20.625,1.31834767749845,0.0,0.0,12.0,0.0,12.0,0.0,1919.9,894.9431328923146,1919.9,894.9431328923146,796.3,35.5373043434642,0.0,0.0,442.0,80.96775764326055,109.0,2.828427124746191,0.7534567,0.2474609907184251,-1.0,0.0,0.0,0.0
4,5.2200702,0.3676854295344807,1.3938982480000002,0.1770116611263034,5.0,0.0,549.0,24.88194347536203,254.9,13.486206945534311,20.7583334,1.1023613229879867,0.0,0.0,12.0,0.0,12.0,0.0,2074.1,594.451091343939,2074.1,594.451091343939,804.7,25.901737393464554,0.0,0.0,477.1,78.67153939711051,111.0,5.163977794943216,0.47446900000000003,0.22024099027857846,-1.0,0.0,0.0,0.0
5,5.5408111,0.48769213208982803,1.8302039200000002,0.2004229108518773,6.6,0.5163977794943223,535.7,38.8903015616433,250.5,18.112303982529546,20.3666667,1.5680056071171036,0.0,0.0,12.0,0.0,12.0,0.0,2002.3,625.4896837234363,2002.3,625.4896837234363,786.6,46.18850265788855,0.0,0.0,456.8,83.04858016044987,109.5,4.116363011742822,0.320741,0.16891211118474864,-1.0,0.0,0.0,0.0
6,5.8235947,0.6588908917495031,2.2792948,0.18592534702150393,8.1,0.3162277660168379,517.9,26.685201891685203,240.5,16.64832323889306,19.7477272,1.1688512892293295,0.0,0.0,12.0,0.0,11.9,0.316227766016838,2869.9,788.579235784909,2869.9,788.579235784909,759.0,24.417662095749915,0.0,0.0,472.2,67.75905023603038,111.5,4.836206042848968,0.2827834,0.1928106164851349,-1.0,0.0,0.0,0.0
7,6.076012,0.9366466386330902,2.7305308000000004,0.20853328574530572,10.0,0.0,557.0,34.63460055429476,217.5,28.903094797770173,17.8716666,1.8450476271413214,0.0,0.0,12.0,0.0,11.8,0.6324555320336759,2423.0,1230.086627482435,2423.0,1230.086627482435,774.9,52.88236421005063,0.0,0.0,452.1,88.0043559527974,109.0,6.036923425424946,0.25241759999999996,0.28797324482443004,-1.0,0.0,0.0,0.0
8,6.2999616000000005,1.149271594102224,3.185649,0.24946950101721413,11.7,0.48304589153964833,548.1,46.8246136603864,203.8,17.887301516873794,16.525,1.4989966212004766,0.0,0.0,12.0,0.0,12.0,0.0,1550.0,903.4673947261924,1550.0,903.4673947261924,752.5,49.42390334870591,0.0,0.0,446.9,79.82125865540667,107.9,3.21282153600573,0.22394949999999997,0.2209301239463384,-1.0,0.0,0.0,0.0
9,6.461281,1.3117239938512641,3.624798,0.2882036539227851,15.3,7.273238618387273,567.6,39.02762554339624,198.0,22.92984469589311,16.1886365,1.7372835050931434,0.0,0.0,12.0,0.0,11.9,0.316227766016838,1145.0,826.5071082573942,1145.0,826.5071082573942,766.4,35.98209431246479,0.0,0.0,436.8,82.12023705112726,107.7,2.4966644414765335,0.1613196,0.1709844274047591,-1.0,0.0,0.0,0.0
10,6.732677300000001,1.5828041355655302,4.056570000000001,0.27691907150124406,16.9,7.078135347674556,528.5,30.62043616787832,199.3,30.66322444449268,16.3699999,2.131955517625984,0.0,0.0,12.0,0.0,11.8,0.632455532033676,1144.7,930.9635450554562,1144.7,930.9635450554562,728.5,24.028917763579976,0.0,0.0,442.0,73.93841281018202,107.9,3.8137179293236216,0.27139630000000003,0.288667124573944,-1.0,0.0,0.0,0.0
11,7.0078693,1.8055840616507848,4.5314119999999996,0.28250364143375795,18.4,7.260241808033057,542.7,34.20217666887429,208.3,31.798148094224324,17.0166666,2.558512959552404,0.0,0.0,12.0,0.0,11.9,0.316227766016838,776.6,456.50561637046457,776.6,456.50561637046457,751.7,43.050487156877146,0.0,0.0,446.6,176.20076932610456,96.5,34.4778511833644,0.275192,0.3017099088734814,-1.0,0.0,0.0,0.0
12,7.865709300000001,2.3846231741144273,5.352049,1.116205665469705,20.2,6.972963661329537,4443.2,12396.793624876465,353.0,411.44190895489055,17.8185566,1.6812376387616088,0.0,0.0,83.7,226.7353082340728,17.9,18.657438194993436,1350.9,1362.0555911317765,978.1315155,471.10275329974536,5559.7,15220.183507800133,0.1,0.31622776601683794,592.0,325.09895929291025,107.7,3.8887301554906353,0.8578399000000001,1.2774270785607773,-1.0,0.0,9.7,30.674093303633278
