Iteration,Progress_mean,Progress_std,TrajectoryLength_mean,TrajectoryLength_std,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Planner_mean,Planner_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std,ClusterTime_mean,ClusterTime_std,NbvMemory_mean,NbvMemory_std
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,7.5297853,2.0969035399035962,5.465487,2.371099061401461,0.0,0.0,2767.1,651.0191070758045,214.6,18.40410582210152,20.96,1.8161008293104823,0.0,0.0,52.1,11.704225257952315,10.0,0.0,5000.0,0.0,5000.0,0.0,2982.6,660.0798268223152,1.0,0.0,1783.8,400.73870677925674,112.2,8.866917289691058,5.991594699999999,2.0969034556301263,-1.0,0.0,0.0,0.0
2,13.1190303,3.5874241026151044,20.042832999999998,8.585042483917467,5.1,0.8755950357709131,4392.8,1872.528818944525,206.7,21.899010632141966,20.21,2.2022463279317512,0.0,0.0,77.0,30.702877172451878,10.0,0.0,5000.0,0.0,5000.0,0.0,4600.4,1873.5028511676553,1.0,0.0,3302.8,1317.2239158337675,111.0,8.48528137423857,5.5892449,3.2987179273201295,-1.0,0.0,0.0,0.0
3,19.2814338,3.8542458793041274,35.11542,12.495725769664867,13.3,2.2135943621178655,4680.2,1448.1538285386368,198.2,22.15500946613303,19.32,2.238948165744105,0.0,0.0,79.1,29.83454373708437,10.0,0.0,5000.0,0.0,5000.0,0.0,4879.2,1441.8215947582112,1.0,0.0,3483.0,1576.3181432975036,110.7,8.615876817441935,6.1624037000000005,2.5564022863653544,-1.0,0.0,0.0,0.0
4,23.0771859,4.291284107111725,50.095029999999994,16.469164976541936,22.0,3.4641016151377544,5180.3,1631.346073373492,197.3,15.734251385644843,19.21,1.5466451147923728,0.0,0.0,86.2,22.039358732352746,10.0,0.0,4994.6,17.076299364909314,4994.6,17.076299364909314,5378.4,1635.965715478849,1.0,0.0,3017.7,1836.6740501968952,112.5,7.3673453684334484,3.7957521,2.9234135771238945,-1.0,0.0,0.0,0.0
5,25.2312752,3.953399222064638,64.31444,14.243901602689872,30.9,4.121757985239902,4943.3,1506.8968887529543,202.0,22.30097157823697,19.66,2.231690938379336,0.0,0.0,80.6,23.33428569485016,10.0,0.0,4998.5,4.743416490252567,4998.5,4.743416490252567,5146.0,1519.8594964301433,1.0,0.0,3152.6,1774.7363622678033,110.7,7.39444235745859,2.1540895,1.5738327917116686,-1.0,0.0,0.0,0.0
6,28.9112568,5.210160856567458,75.40326,17.215341156409174,39.6,5.358275012642699,4852.4,1457.1934364081906,199.4,22.091727964205166,19.45,2.214221709264404,0.0,0.0,72.8,22.134939700743608,10.0,0.0,4996.0,11.6332855777433,4996.0,11.6332855777433,5052.5,1469.5707045105235,1.0,0.0,2542.9,1625.4808826928722,112.7,8.393780766469636,3.6799816,2.7748458539036083,-1.0,0.0,0.0,0.0
7,31.1298739,5.2772161888736475,86.53941,20.966405780435736,47.6,5.891613625409521,5187.3,1011.4219967726407,210.2,22.74398577402142,20.54,2.270193334889736,0.0,0.0,76.4,14.462211295495427,10.0,0.0,4895.3,290.5255965009317,4895.3,290.5255965009317,5398.3,999.686734265623,1.0,0.0,2432.4,1043.6192579459023,113.7,7.02456008903365,2.2186173,1.7080990257175797,-1.0,0.0,0.0,0.0
8,34.9616857,4.884248352987523,103.27844,28.09202853425387,55.7,6.3604681868204915,5207.7,1132.2716644967418,216.2,24.307292001464187,21.119999999999997,2.4234044006085504,0.0,0.0,81.7,25.329166323956787,10.0,0.0,4601.6,533.0628897648423,4601.6,533.0628897648423,5424.6,1121.7862937694008,1.0,0.0,3467.8,1826.0709369207611,116.3,7.631076813486635,3.8318117999999997,2.3041020534516647,-1.0,0.0,0.0,0.0
9,38.7175825,4.228067786777792,117.71122,31.74983797028822,65.0,6.289320754704403,4152.6,1676.611410620309,210.3,14.422590305181354,20.55,1.4894070408499267,0.0,0.0,62.7,26.419899907287903,10.0,0.0,4867.8,167.63571616255695,4867.8,167.63571616255695,4363.6,1677.9104862894205,1.0,0.0,3393.1,2260.5413043978842,116.5,6.72061505121865,3.7558967,1.8614554741130245,-1.0,0.0,0.0,0.0
10,42.1982871,2.7528609356261207,128.68981,32.33309943037217,73.2,6.646636576327744,4996.7,1084.6781447866356,221.2,19.61178783849709,21.619999999999997,1.984271486801475,0.0,0.0,70.8,16.164432835360753,10.0,0.0,4767.5,211.15147274988263,4767.5,211.15147274988263,5218.9,1074.4329201955795,1.0,0.0,2597.9,1196.7568628960892,118.4,7.904991390816874,3.4807046999999995,2.6658115056601868,-1.0,0.0,0.0,0.0
11,45.016633,3.4440446733936727,144.6223,31.565319622965962,81.6,6.467010300148147,4509.9,906.2461586125484,218.3,20.949940334043916,21.35,2.170125444402799,0.0,0.0,70.4,17.056767962698366,10.0,0.0,4684.0,305.48431492740605,4684.0,305.48431492740605,4729.1,892.1111602385781,1.0,0.0,3658.0,2777.22787445803,121.7,10.285372569279582,2.8183459,1.9351565732396865,-1.0,0.0,0.0,0.0
12,48.079805,4.106738084340444,158.78459,34.85951937280866,90.3,6.165315167216605,8777.1,5995.079768721458,219.1,25.488341561497393,21.43,2.5789963594821574,0.0,0.0,129.6,78.10704904879655,10.0,0.0,4627.4,406.56588915232703,4627.4,406.56588915232703,8997.2,5996.409384882849,1.0,0.0,2882.9,1859.1176790199281,121.9,9.12201244852862,3.0631719,1.813753474445463,-1.0,0.0,0.0,0.0
13,51.5984672,4.739204424329839,171.92263,36.108854696937634,102.5,9.582971007643366,4372.4,1154.5476459058184,218.3,19.664124129433727,21.35,1.959166489437111,0.0,0.0,64.8,16.63196387148019,10.0,0.0,4195.7,592.8113902789355,4195.7,592.8113902789355,4591.4,1161.6180477630714,1.0,0.0,2847.7,1392.0178838250924,125.2,10.206751578135806,3.5186623,2.482668868267152,-1.0,0.0,0.0,0.0
14,53.1983767,4.993053615151064,191.3106,34.367291453098574,110.6,8.88444333277743,4941.0,1783.8023682260568,214.3,18.797458457047977,20.990000000000002,1.857985767198207,0.0,0.0,69.4,25.153749444389224,10.0,0.0,4272.8,918.7694427270036,4272.8,918.7694427270036,5156.1,1777.0418271823416,1.0,0.0,3983.2,1878.5364752617631,126.8,11.438725647747848,1.5999095,1.1418158581126867,-1.0,0.0,0.0,0.0
15,55.479623700000005,4.609792995921547,202.6952,35.28503606283485,120.3,10.478019320887364,4582.6,1176.7246633487941,219.2,21.938297310613898,21.44,2.201615568420407,0.0,0.0,64.6,20.646226451016823,10.0,0.0,3648.3,605.8633967781481,3648.3,605.8633967781481,4802.6,1189.5665130159343,1.0,0.0,2528.1,1516.2714100347896,127.9,13.21152695355251,2.2812469,2.043366079759759,-1.0,0.0,0.0,0.0
16,57.5767766,4.957418301071216,211.64450000000002,37.35464335929336,127.8,10.325803708294197,4715.3,1418.4910644766148,218.4,28.355677464036095,21.36,2.7845606076682508,0.0,0.0,65.8,18.25620138169189,10.0,0.0,3674.5,859.0281653641448,3674.5,859.0281653641448,4934.7,1434.2088062761295,1.0,0.0,2227.9,1042.412207867459,128.7,10.646334789233544,2.097153,1.3728481268042727,-1.0,0.0,0.0,0.0
17,60.444467499999995,4.298090357480742,224.368,39.99208819809794,135.7,12.01896649282107,5941.0,2068.247298774711,220.7,23.123100522589475,21.53,2.3352611084083184,0.0,0.0,82.1,21.855332428392746,10.0,0.0,3605.6,595.3910386367004,3605.6,595.3910386367004,6162.7,2078.667417682139,1.0,0.0,2998.1,1904.8699255679724,130.6,10.101705026600431,2.8676907,1.5830671184414309,-1.0,0.0,0.0,0.0
18,63.0047023,3.94314993288778,241.79300000000003,38.84047132395108,145.4,12.83398266755535,4527.0,2289.4261774999914,230.7,24.426988716945395,22.59,2.4469709165960003,0.0,0.0,63.5,31.227658680513766,10.0,0.0,3298.8,709.5063698719617,3298.8,709.5063698719617,4758.5,2291.5912108789776,1.0,0.0,3612.9,2139.0840433336048,132.3,11.25512229066294,2.5602349,1.4357238432352162,-1.0,0.0,0.0,0.0
19,64.5002286,4.154660721621288,252.95520000000002,40.383681591014515,154.4,13.590846592876806,6091.3,6176.656575814748,227.9,19.801515093547767,22.259999999999998,1.985614934136693,0.0,0.0,83.1,79.89500053890175,10.0,0.0,2772.4,871.3045391824836,2772.4,871.3045391824836,6320.1,6176.157371519753,1.0,0.0,2698.3,1794.1321671865016,135.4,11.955472944778611,1.4955262,1.0077942855662338,-1.0,0.0,0.0,0.0
20,66.8687777,3.4742601860012337,265.1975,45.99319839872461,163.8,16.784913861361733,6452.1,5434.421229533095,224.4,23.35332476924384,21.95,2.2950429674021837,0.0,0.0,86.4,69.83981672369995,10.0,0.0,3385.8,945.841753266487,3385.8,945.841753266487,6677.4,5455.069898727238,1.0,0.0,2968.2,1640.7416209344685,136.0,11.115554667022042,2.3685492,1.5468641122145437,-1.0,0.0,0.0,0.0
21,68.426934,3.9803768280332217,282.59209999999996,47.206615843897715,174.1,22.118117259638336,4550.4,1346.0605236516421,225.3,21.86346521279532,22.029999999999998,2.146858169511903,0.0,0.0,61.2,17.762632437538954,10.0,0.0,3100.0,790.6592186270897,3100.0,790.6592186270897,4776.5,1355.1433093547296,1.0,0.0,4047.9,2074.0658646993616,137.3,9.603818684946805,1.5581562,1.2535068506636182,-1.0,0.0,0.0,0.0
22,69.92815399999999,3.1338047303945267,295.6286,42.827528922411574,183.6,22.51024458132588,6306.7,2739.7317001649794,221.2,23.72434286644088,21.630000000000003,2.370677352806811,0.0,0.0,83.2,33.94047076213817,10.0,0.0,3495.2,992.8202030355525,3495.2,992.8202030355525,6529.0,2722.535664494488,1.0,0.0,3102.8,1737.9971742720925,140.2,13.620246367489509,1.5012202000000001,1.1040517535386343,-1.0,0.0,0.0,0.0
23,70.8979687,3.1810325786063425,312.7306,49.08055941952306,194.0,20.992061991778385,3858.5,1241.2852881858653,229.6,24.304549185514862,22.46,2.409333702268926,0.0,0.0,55.2,16.9627041869312,10.0,0.0,2710.3,972.6463386041198,2710.3,972.6463386041198,4088.7,1251.142326924568,1.0,0.0,3437.9,2087.859799997223,139.8,13.902837440209423,0.9698146,0.7540963035512109,-1.0,0.0,0.0,0.0
24,72.01391989999999,3.0226677538899485,328.1449,44.47847346863424,202.1,22.60506334627021,4751.1,1377.8957749650976,229.9,21.743198170155804,22.46,2.1854061407436376,0.0,0.0,66.0,16.090024514862893,10.0,0.0,2520.7,831.1066317466931,2520.7,831.1066317466931,4981.7,1377.9998427672867,1.0,0.0,3628.2,3816.6457874246944,140.1,12.999572642548252,1.1159511,0.7666937324230364,-1.0,0.0,0.0,0.0
