Time,Progress_mean,Progress_std
0,7.53,2.097
1,7.53,2.097
2,7.53,2.097
3,7.53,2.097
4,9.597,5.005
5,10.889,4.29
6,13.119,3.587
7,13.119,3.587
8,13.119,3.587
9,13.119,3.587
10,13.119,3.587
11,14.818,4.309
12,16.4,4.393
13,16.4,4.393
14,17.592,5.529
15,18.19,5.19
16,18.843,4.616
17,19.479,3.756
18,19.479,3.756
19,20.025,3.116
20,21.563,4.624
21,21.722,4.624
22,21.722,4.624
23,21.722,4.624
24,22.104,5.037
25,22.104,5.037
26,22.758,4.876
27,23.104,4.328
28,24.29,4.171
29,24.651,4.222
30,24.651,4.222
31,24.651,4.222
32,24.651,4.222
33,25.165,4.566
34,25.683,4.379
35,25.765,4.227
36,25.765,4.227
37,26.448,4.7
38,26.86,5.339
39,26.871,5.332
40,26.972,5.312
41,27.161,5.017
42,29.613,6.247
43,29.613,6.247
44,30.213,5.986
45,30.213,5.986
46,30.213,5.986
47,30.411,5.665
48,30.703,6.25
49,30.777,6.298
50,31.335,6.747
51,31.335,6.747
52,31.519,6.584
53,31.519,6.584
54,31.764,6.361
55,32.314,6.439
56,32.314,6.439
57,33.979,5.866
58,34.495,6.154
59,34.698,6.018
60,35.015,6.548
61,35.871,5.502
62,35.871,5.502
63,35.871,5.502
64,36.138,5.553
65,36.138,5.553
66,37.626,5.884
67,37.826,6.0
68,37.826,6.0
69,37.826,6.0
70,38.708,5.106
71,38.856,5.227
72,39.226,5.616
73,39.927,5.054
74,39.927,5.054
75,39.927,5.054
76,40.587,5.706
77,41.72,4.996
78,42.001,4.814
79,42.969,3.34
80,43.532,4.261
81,43.614,4.273
82,43.614,4.273
83,43.971,4.083
84,43.971,4.083
85,44.119,3.985
86,44.119,3.985
87,44.567,5.039
88,45.506,4.583
89,46.459,4.589
90,46.459,4.589
91,46.459,4.589
92,46.548,4.536
93,47.304,4.678
94,47.304,4.678
95,48.133,4.345
96,48.133,4.345
97,49.416,5.904
98,49.63,5.654
99,49.663,5.651
100,50.564,5.268
101,50.564,5.268
102,51.12,4.902
103,51.12,4.902
104,51.261,5.111
105,51.261,5.111
106,51.496,5.064
107,51.496,5.064
108,51.536,5.14
109,51.536,5.14
110,51.819,5.179
111,52.578,4.684
112,52.98,5.244
113,53.16,5.24
114,53.16,5.24
115,53.861,5.971
116,53.861,5.971
117,54.225,6.6
118,55.423,6.258
119,55.423,6.258
120,55.423,6.258
121,55.455,6.241
122,56.286,5.817
123,56.541,6.306
124,57.423,6.476
125,57.423,6.476
126,57.423,6.476
127,57.725,6.295
128,58.004,6.056
129,58.121,6.283
130,58.121,6.283
131,58.476,6.247
132,58.592,6.402
133,58.592,6.402
134,59.091,6.624
135,59.226,6.585
136,59.296,6.565
137,59.617,6.439
138,60.103,6.617
139,60.879,6.164
140,60.879,6.164
141,60.879,6.164
142,61.291,6.668
143,61.528,6.717
144,61.653,6.513
145,61.777,6.678
146,61.777,6.678
147,62.058,7.136
148,62.27,7.432
149,62.27,7.432
150,62.716,7.196
151,62.716,7.196
152,62.762,7.25
153,63.31,6.99
154,63.864,6.216
155,64.375,5.889
156,64.379,5.895
157,64.451,6.035
158,65.071,5.646
159,65.202,5.594
160,65.483,5.473
161,65.605,5.615
162,65.605,5.615
163,65.605,5.615
164,65.605,5.615
165,65.861,5.449
166,65.884,5.454
167,65.884,5.454
168,66.381,5.037
169,66.499,4.922
170,66.707,4.867
171,66.865,5.091
172,67.326,5.04
173,67.326,5.04
174,67.738,4.968
175,67.825,4.895
176,67.825,4.895
177,67.825,4.895
178,67.875,4.965
179,68.156,5.056
180,68.856,4.264
181,68.856,4.264
182,68.947,4.205
183,69.203,4.333
184,69.287,4.405
185,69.287,4.405
186,69.287,4.405
187,69.296,4.42
188,69.585,4.076
189,69.835,4.238
190,70.014,4.432
191,70.275,4.365
192,70.397,4.192
193,70.397,4.192
194,70.439,4.252
195,70.439,4.252
196,70.697,4.009
197,70.748,4.073
198,70.801,4.128
199,70.801,4.128
200,71.061,4.206
201,71.126,4.13
202,71.126,4.13
203,71.346,3.859
204,71.71,4.23
205,71.71,4.23
206,71.71,4.23
207,71.864,4.381
208,72.314,4.26
209,72.441,4.117
210,72.45,4.129
211,72.57,4.265
212,72.678,4.398
213,73.23,4.399
214,73.329,4.449
215,73.439,4.573
216,73.439,4.573
217,73.773,4.384
218,73.773,4.384
219,73.813,4.428
220,73.838,4.449
221,73.838,4.449
222,73.938,4.317
223,74.079,4.205
224,74.217,4.353
225,74.255,4.386
226,74.255,4.386
227,74.278,4.404
228,74.481,4.374
229,74.512,4.334
230,74.512,4.334
231,74.658,4.41
232,74.658,4.41
233,75.278,5.076
234,75.278,5.076
235,75.314,5.097
236,75.314,5.097
237,75.933,5.729
238,75.933,5.729
239,76.233,5.536
240,76.337,5.379
241,76.402,5.429
242,76.705,5.541
243,76.835,5.366
244,76.835,5.366
245,76.835,5.366
246,76.835,5.366
247,76.882,5.392
248,77.005,5.436
249,77.019,5.456
250,77.193,5.226
251,77.241,5.253
252,77.404,5.133
253,77.404,5.133
254,77.404,5.133
255,77.417,5.114
256,77.451,5.124
257,77.474,5.136
258,77.491,5.16
259,77.827,5.413
260,78.322,4.939
261,78.322,4.939
262,78.563,4.583
263,78.563,4.583
264,78.563,4.583
265,78.607,4.651
266,78.656,4.666
267,78.662,4.674
268,78.786,4.545
269,78.837,4.562
270,78.977,4.46
271,79.091,4.33
272,79.091,4.33
273,79.123,4.283
274,79.123,4.283
275,79.207,4.399
276,79.207,4.399
277,79.214,4.402
278,79.355,4.228
279,79.399,4.181
280,79.469,4.257
281,79.469,4.257
282,79.569,4.342
283,79.569,4.342
284,79.695,4.401
285,80.558,3.96
286,80.623,3.878
287,80.623,3.878
288,80.623,3.878
289,80.651,3.863
290,80.676,3.897
291,80.676,3.897
292,80.778,4.063
293,81.126,4.263
294,81.126,4.263
295,81.126,4.263
296,81.167,4.205
297,81.175,4.217
298,81.3,4.076
299,81.3,4.076
300,81.312,4.07
301,81.312,4.07
302,81.562,4.373
303,81.562,4.373
304,81.627,4.468
305,82.004,4.46
306,82.223,4.794
307,82.223,4.794
308,82.223,4.794
309,82.42,4.506
310,82.467,4.477
311,82.61,4.555
312,82.904,4.426
313,82.904,4.426
314,82.904,4.426
315,82.904,4.426
316,83.05,4.482
317,83.077,4.444
318,83.189,4.346
319,83.189,4.346
320,83.259,4.337
321,83.265,4.339
322,83.265,4.339
323,83.443,4.109
324,83.566,4.221
325,83.709,4.04
326,83.885,3.964
327,83.912,3.974
328,83.927,3.959
329,84.377,3.606
330,84.377,3.606
331,84.384,3.619
332,84.386,3.62
333,84.407,3.59
334,84.407,3.59
335,85.643,4.049
336,85.643,4.049
337,85.644,4.052
338,85.644,4.052
339,85.694,4.095
340,85.713,4.106
341,85.736,4.112
342,85.737,4.112
343,85.737,4.112
344,85.762,4.111
345,85.872,4.14
346,85.908,4.165
347,85.92,4.168
348,85.92,4.168
349,85.96,4.177
350,86.035,4.076
351,86.305,4.041
352,86.305,4.041
353,86.4,3.889
354,86.413,3.896
355,86.55,3.943
356,86.857,3.586
357,86.886,3.578
358,86.886,3.578
359,86.95,3.629
360,87.146,3.699
361,87.235,3.545
362,87.246,3.553
363,87.248,3.555
364,87.248,3.555
365,87.248,3.555
366,87.381,3.476
367,87.394,3.475
368,87.406,3.484
369,87.55,3.256
370,87.59,3.271
371,87.592,3.272
372,87.592,3.272
373,87.926,3.203
374,87.926,3.203
375,88.07,2.909
376,88.07,2.909
377,88.123,2.95
378,88.123,2.95
379,88.172,2.955
380,88.172,2.955
381,88.172,2.955
382,88.172,2.955
383,88.218,2.973
384,88.292,2.99
385,88.294,2.991
386,88.303,3.002
387,88.303,3.002
388,88.303,3.002
389,88.303,3.002
390,88.332,3.003
391,88.345,3.01
392,88.368,2.97
393,88.374,2.968
394,88.381,2.971
395,88.381,2.971
396,88.385,2.973
397,88.402,2.951
398,88.402,2.951
399,88.463,2.952
400,88.463,2.952
401,88.465,2.954
402,88.465,2.954
403,88.467,2.955
404,88.505,2.973
405,88.506,2.973
406,88.556,2.87
407,88.556,2.87
408,88.624,2.812
409,88.66,2.844
410,88.729,2.868
411,88.729,2.868
412,88.729,2.868
413,88.729,2.868
414,88.808,2.854
415,88.808,2.854
416,88.918,2.692
417,88.989,2.731
418,89.042,2.782
419,89.047,2.783
420,89.047,2.783
421,89.176,2.862
422,89.176,2.862
423,89.176,2.862
424,89.621,2.097
425,89.621,2.097
426,89.621,2.097
427,89.662,2.009
428,89.662,2.009
429,89.662,2.009
430,89.668,2.01
431,89.691,2.009
432,89.691,2.009
433,89.691,2.009
434,89.691,2.009
435,89.691,2.009
436,89.704,2.016
437,89.751,1.958
438,89.751,1.958
439,89.767,1.958
440,89.782,1.978
441,89.922,1.688
442,89.922,1.688
443,89.922,1.688
444,89.966,1.7
445,89.966,1.7
446,89.968,1.7
447,89.987,1.712
448,90.15,1.561
449,90.161,1.55
450,90.161,1.55
451,90.184,1.519
452,90.203,1.516
453,90.203,1.516
454,90.205,1.517
455,90.205,1.517
456,90.205,1.517
457,90.338,1.369
458,90.346,1.366
459,90.361,1.365
