Iteration,Progress_mean,Progress_std,TrajectoryLength_mean,TrajectoryLength_std,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Planner_mean,Planner_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std,ClusterTime_mean,ClusterTime_std,NbvMemory_mean,NbvMemory_std
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,3.6201605999999997,0.6186837655309859,-1.0500734999999999,0.14802197060590552,0.0,0.0,349.4,18.47641138797731,154.2,5.223876806442595,18.7875,0.7337356850770963,5.1,3.178049716414141,8.0,0.0,8.0,0.0,2932.3,553.3311345337839,2932.3,553.3311345337839,504.6,21.59320880894423,0.0,0.0,688.0,41.03386135593113,108.6,4.2998707990925595,2.0819701000000004,0.618683630897345,-1.0,0.0,0.0,0.0
2,4.7797628,0.5127622189773953,0.006360490000000002,0.2290655356551747,3.7,7.1499805749541885,371.6,18.572380927962175,166.3,9.440456674452893,20.3375,1.1682281217486779,1.5,0.7071067811865476,8.0,0.0,8.0,0.0,2972.2,661.7516821957379,2972.2,661.7516821957379,538.7,25.547559135419927,0.0,0.0,687.2,33.85196531304429,108.9,3.3149493041204856,1.1596023,0.5858842338272505,-1.0,0.0,0.0,0.0
3,5.5521985,0.8951703560608202,0.9643044,0.31357362793739885,5.2,6.957010852370435,363.0,25.41653005427768,167.6,9.868017925489283,20.5125,1.2422677516005423,1.3,0.6749485577105528,8.0,0.0,8.0,0.0,2158.0,457.64129572794855,2158.0,457.64129572794855,531.4,28.65968907329208,0.0,0.0,672.6,35.38424005746689,108.6,3.9496835316262997,0.7724355,0.7385232492201733,-1.0,0.0,0.0,0.0
4,6.5960303,2.187205451783015,1.845638,0.42343855072489567,9.4,9.276014469827246,358.2,19.876284025608673,159.6,10.351596763570127,19.4375,1.3113420818213515,1.8,1.1352924243950933,8.0,0.0,8.0,0.0,2425.9,748.9304151032103,2425.9,748.9304151032103,518.6,26.395285774378568,0.0,0.0,662.1,56.6479380815303,109.1,3.604010112206803,1.0438318,1.4685358737059468,-1.0,0.0,0.0,0.0
5,8.3686466,3.0861804630070626,2.9035979999999997,0.3231711105694112,12.9,10.88781173810626,361.1,34.40752501674273,160.4,19.01578291840754,19.6,2.374488248959014,3.0,4.666666666666667,8.0,0.0,8.0,0.0,2844.8,479.50873007925753,2844.8,479.50873007925753,522.2,38.31680803221709,0.0,0.0,682.6,25.91095864258553,111.8,3.3598941782277745,1.7726161,1.138310839220939,-1.0,0.0,0.0,0.0
6,11.0484475,3.793204362246611,3.920138,0.4430665878423042,14.7,10.79145752693099,354.3,23.347852625503318,166.8,21.534468494330973,20.6017857,2.6374764208573014,1.8,1.3165611772087666,8.0,0.0,7.9,0.316227766016838,2954.2,770.2413474576222,2954.2,770.2413474576222,522.0,21.827607391659875,0.0,0.0,692.6,51.558381148622836,113.7,3.9454615277134133,2.6798009,1.3855448753946304,-1.0,0.0,0.0,0.0
7,13.6732101,3.5019478819609158,4.887236,0.47406549728445274,16.1,10.754327294422257,371.6,21.375999001995986,171.8,25.48986726786417,22.1458334,2.159018732156461,1.6,1.2649110640673518,8.0,0.0,7.6,0.8432740427115677,2943.5,685.5483206893589,2943.5,685.5483206893589,543.9,20.813724104809097,0.0,0.0,672.0,48.076328201447886,114.1,3.5418137224371944,2.6247626,0.7647207184299666,-1.0,0.0,0.0,0.0
8,16.816092700000002,3.332873019351457,5.947797,0.4293221553682036,17.8,10.726913193769523,391.7,28.004166356692963,170.2,24.566463138008107,21.925,1.9325828364531004,1.2,0.4216370213557839,8.0,0.0,7.6,0.8432740427115677,3065.7,723.5958125915324,3065.7,723.5958125915324,562.4,20.950735866153565,0.0,0.0,692.0,46.07481838150736,112.8,2.9739610697593943,3.1428829,0.9138843848220932,-1.0,0.0,0.0,0.0
9,21.3539145,3.992306639688258,6.984610999999999,0.3590882588337053,19.6,10.86482601998046,389.2,54.67845401374597,158.5,22.525294424022274,21.575,1.3571086731051918,2.4,1.3498971154211057,8.0,0.0,7.2,1.0327955589886446,2890.9,894.5064995726849,2890.9,894.5064995726849,548.6,36.04071771390428,0.0,0.0,652.2,33.004376814127056,115.1,4.4334586448455235,4.5378216,2.4079428898336164,-1.0,0.0,0.0,0.0
