Time,Progress_mean,Progress_std
0,3.62,0.619
1,4.14,0.664
2,4.721,0.585
3,5.461,1.022
4,5.461,1.022
5,6.383,2.345
6,7.397,3.4
7,7.727,3.494
8,9.441,4.682
9,10.614,4.852
10,11.354,5.392
11,13.286,6.31
12,14.18,6.752
13,17.308,8.87
14,21.251,12.188
15,22.257,12.617
16,24.298,14.824
17,26.529,16.501
18,29.693,19.765
19,31.957,21.228
20,33.03,22.025
21,35.396,23.537
22,36.85,24.667
23,36.949,24.741
24,37.738,25.249
25,38.203,25.538
26,38.251,25.566
27,38.902,25.811
28,39.084,25.668
29,39.61,25.439
30,40.631,24.314
31,41.052,23.877
32,41.581,23.319
33,42.212,22.75
34,43.307,23.341
35,44.267,22.55
36,44.84,22.245
37,45.762,22.422
38,46.814,22.045
39,47.518,22.286
40,49.065,21.343
41,50.082,20.452
42,50.638,19.99
43,50.834,19.912
44,51.902,18.894
45,54.284,17.444
46,55.123,17.825
47,56.125,17.063
48,56.628,17.152
49,57.119,16.728
50,57.833,17.038
51,58.285,16.532
52,58.852,16.856
53,59.571,16.93
54,60.04,16.895
55,60.534,17.122
56,61.206,16.263
57,61.317,16.339
58,62.134,15.385
59,62.447,15.429
60,63.052,14.777
61,63.491,14.285
62,63.923,14.46
63,64.155,14.278
64,64.679,13.342
65,64.802,13.342
66,65.383,13.227
67,65.535,13.318
68,66.396,12.778
69,67.152,12.081
70,67.406,11.95
71,67.732,11.944
72,68.326,12.112
73,68.45,12.012
74,68.685,12.071
75,68.778,11.88
76,69.171,12.021
77,69.465,11.7
78,69.898,11.329
79,70.217,11.528
80,70.416,11.408
81,70.572,11.519
82,70.887,10.992
83,70.962,11.045
84,71.166,11.124
85,71.312,11.215
86,71.376,11.184
87,71.462,11.218
88,71.462,11.218
89,71.488,11.23
90,72.363,10.974
91,72.392,10.985
92,72.517,10.847
93,72.574,10.871
94,72.9,10.63
95,72.944,10.59
96,72.991,10.615
97,73.506,9.968
98,73.678,10.077
99,73.764,9.993
100,73.842,10.038
101,74.054,9.748
102,74.067,9.758
103,74.177,9.667
104,74.472,9.167
105,74.644,9.297
106,75.662,8.898
107,75.874,9.019
108,76.178,9.068
109,76.303,9.16
110,76.607,9.068
111,76.778,9.216
112,76.855,9.03
113,77.241,9.045
114,77.258,9.052
115,77.894,8.47
116,77.939,8.488
117,78.004,8.449
118,78.024,8.448
119,78.302,8.484
120,78.328,8.421
121,78.328,8.421
122,78.366,8.324
123,78.427,8.326
124,78.696,7.956
125,78.81,7.946
126,79.087,7.841
127,80.036,8.262
128,80.33,8.224
129,80.456,8.281
130,80.812,8.245
131,80.868,8.271
132,80.97,8.235
133,80.983,8.235
134,80.995,8.233
135,81.45,7.18
136,81.701,7.126
137,82.033,7.405
138,82.084,7.399
139,82.253,7.572
140,82.591,7.084
141,82.64,7.145
142,83.054,6.541
143,83.2,6.683
144,83.557,5.963
145,83.982,5.998
146,84.365,5.271
147,84.751,5.563
148,84.8,5.483
149,85.043,5.702
150,85.193,5.5
151,85.238,5.512
152,85.362,5.462
153,85.394,5.436
154,85.394,5.436
155,85.398,5.43
156,85.424,5.393
157,85.514,5.464
158,86.028,5.293
159,86.174,5.077
160,86.178,5.073
161,86.178,5.073
162,86.178,5.073
163,86.18,5.072
164,86.206,5.029
165,86.21,5.025
166,86.299,4.895
167,86.299,4.895
168,86.686,4.765
169,86.686,4.765
170,87.149,4.862
171,87.26,4.752
172,87.261,4.749
173,87.326,4.717
174,87.351,4.686
175,87.351,4.686
176,87.408,4.645
177,87.539,4.767
178,87.715,4.694
179,87.719,4.687
180,87.725,4.685
181,87.753,4.636
182,87.806,4.639
183,87.899,4.482
184,87.95,4.415
185,87.95,4.415
186,87.979,4.377
187,87.979,4.377
188,88.104,4.281
189,88.114,4.262
190,88.169,4.247
191,88.288,4.076
192,88.288,4.076
193,88.349,4.034
194,88.544,4.137
195,88.558,4.112
196,88.721,4.163
197,88.721,4.163
198,89.281,3.449
199,89.292,3.424
200,89.315,3.434
201,89.368,3.459
202,89.389,3.457
203,89.395,3.46
204,89.395,3.46
205,89.395,3.46
206,89.395,3.46
207,89.638,3.297
208,89.643,3.287
209,89.738,3.239
210,89.738,3.239
211,89.863,3.236
212,89.926,3.273
213,89.926,3.273
214,89.93,3.27
215,89.93,3.27
216,89.93,3.27
217,89.951,3.217
218,89.951,3.217
219,89.96,3.193
220,89.96,3.193
221,89.96,3.193
222,89.985,3.132
223,90.01,3.112
224,90.025,3.123
225,90.034,3.115
226,90.034,3.115
227,90.042,3.109
228,90.049,3.114
229,90.049,3.114
230,90.053,3.105
231,90.053,3.105
232,90.053,3.105
233,90.137,3.032
234,90.137,3.032
235,90.137,3.032
236,90.196,2.986
237,90.196,2.986
238,90.196,2.986
239,90.196,2.986
240,90.196,2.986
241,90.292,2.733
242,90.469,2.647
243,90.469,2.647
244,90.503,2.644
245,90.503,2.644
246,90.514,2.644
247,90.514,2.644
248,90.573,2.485
249,90.573,2.485
250,90.668,2.314
251,91.0,2.136
252,91.0,2.136
253,91.105,1.826
254,91.105,1.826
255,91.105,1.826
256,91.105,1.826
257,91.105,1.826
258,91.105,1.826
259,91.105,1.826
260,91.156,1.843
261,91.156,1.843
262,91.156,1.843
263,91.188,1.748
264,91.188,1.748
265,91.2,1.715
266,91.2,1.715
267,91.2,1.715
268,91.2,1.715
269,91.2,1.715
270,91.2,1.715
271,91.205,1.713
272,91.205,1.713
273,91.205,1.713
274,91.205,1.713
275,91.251,1.581
276,91.251,1.581
277,91.251,1.581
278,91.251,1.581
279,91.251,1.581
280,91.251,1.581
281,91.251,1.581
282,91.251,1.581
283,91.251,1.581
284,91.251,1.581
285,91.251,1.581
286,91.251,1.581
287,91.349,1.428
288,91.349,1.428
289,91.37,1.368
290,91.37,1.368
291,91.37,1.368
292,91.391,1.309
293,91.391,1.309
294,91.391,1.309
295,91.391,1.309
296,91.391,1.309
297,91.418,1.306
298,91.418,1.306
299,91.439,1.307
300,91.439,1.307
301,91.439,1.307
302,91.583,0.913
303,91.583,0.913
304,91.729,0.61
305,91.756,0.578
306,91.756,0.578
307,91.756,0.578
308,91.756,0.578
309,91.756,0.578
310,91.756,0.578
311,91.756,0.578
312,91.756,0.578
313,91.756,0.578
314,91.756,0.578
315,91.756,0.578
316,91.756,0.578
317,91.79,0.553
318,91.79,0.553
319,91.79,0.553
320,91.79,0.553
321,91.79,0.553
322,91.79,0.553
323,91.79,0.553
324,91.79,0.553
325,91.79,0.553
326,91.79,0.553
327,91.862,0.569
328,91.862,0.569
329,91.871,0.564
330,91.871,0.564
331,91.871,0.564
332,91.871,0.564
333,91.871,0.564
334,91.871,0.564
335,91.871,0.564
336,91.871,0.564
337,91.892,0.561
338,91.892,0.561
339,91.892,0.561
340,91.892,0.561
341,91.892,0.561
342,91.892,0.561
343,91.892,0.561
344,91.892,0.561
345,91.892,0.561
346,91.892,0.561
347,91.892,0.561
348,91.892,0.561
349,91.892,0.561
350,91.892,0.561
351,91.892,0.561
352,91.892,0.561
353,91.892,0.561
354,91.892,0.561
355,91.892,0.561
356,91.892,0.561
357,91.892,0.561
358,91.892,0.561
359,91.892,0.561
360,91.892,0.561
361,91.892,0.561
362,91.892,0.561
363,91.892,0.561
364,91.892,0.561
365,91.892,0.561
366,91.892,0.561
367,91.892,0.561
368,91.892,0.561
369,91.892,0.561
370,91.892,0.561
371,91.892,0.561
372,91.892,0.561
373,91.892,0.561
374,91.892,0.561
375,91.892,0.561
376,91.892,0.561
377,91.892,0.561
378,91.892,0.561
379,91.892,0.561
380,91.892,0.561
381,91.892,0.561
382,91.892,0.561
383,91.892,0.561
384,91.902,0.562
385,91.902,0.562
386,91.902,0.562
387,91.902,0.562
388,91.902,0.562
389,91.902,0.562
390,91.902,0.562
391,91.902,0.562
392,91.902,0.562
393,91.902,0.562
394,91.902,0.562
395,91.902,0.562
396,91.902,0.562
397,91.902,0.562
398,91.902,0.562
399,91.902,0.562
400,91.902,0.562
401,91.902,0.562
