Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,538.000000,236.000000,19.250000,0.000000,12,12,2765.000000,2765.000000,775.000000,1,2.525086,0,-1.53881,503.000000,109.000000,0.986896,-1,0
2,520.000000,249.000000,20.166667,0.000000,12,12,2580.000000,2580.000000,769.000000,2,4.347047,0,-1.15069,451.000000,113.000000,1.821961,-1,0
3,541.000000,280.000000,22.916667,0.000000,12,12,1470.000000,1470.000000,822.000000,3,5.485773,0,-0.721451,402.000000,114.000000,1.138726,-1,0
5,526.000000,285.000000,23.250000,0.000000,12,12,1252.000000,1252.000000,812.000000,4,6.187987,0,-0.314333,403.000000,112.000000,0.702214,-1,0
6,541.000000,284.000000,23.333333,0.000000,12,12,1370.000000,1370.000000,826.000000,5,6.871222,0,0.115542,502.000000,108.000000,0.683235,-1,0
8,519.000000,261.000000,21.250000,0.000000,12,12,3300.000000,3300.000000,780.000000,6,7.630373,0,0.513271,452.000000,114.000000,0.759150,-1,0
10,555.000000,247.000000,20.083333,0.000000,12,12,3443.000000,3443.000000,802.000000,7,8.693183,0,0.985087,552.000000,97.000000,1.062811,-1,0
12,557.000000,242.000000,19.750000,0.000000,12,12,1840.000000,1840.000000,799.000000,8,9.528249,0,1.42418,402.000000,105.000000,0.835065,-1,0
13,630.000000,218.000000,17.833333,0.000000,12,12,936.000000,936.000000,849.000000,9,10.154548,0,1.94993,552.000000,107.000000,0.626299,-1,0
15,553.000000,218.000000,17.750000,0.000000,12,12,1156.000000,1156.000000,771.000000,10,11.179401,0,2.43508,502.000000,110.000000,1.024853,-1,0
17,519.000000,224.000000,18.000000,0.000000,12,12,739.000000,739.000000,743.000000,11,12.033445,0,2.98637,552.000000,107.000000,0.854044,-1,0
19,518.000000,224.000000,18.250000,0.000000,12,12,1314.000000,1314.000000,743.000000,12,13.513788,0,3.41685,401.000000,108.000000,1.480343,-1,0
20,551.000000,240.000000,19.416667,0.000000,12,12,2426.000000,2426.000000,791.000000,13,15.089026,0,4.07057,501.000000,108.000000,1.575237,-1,0
22,563.000000,230.000000,20.454545,0.000000,12,11,1821.000000,1821.000000,794.000000,14,16.322645,0,4.59882,552.000000,111.000000,1.233619,-1,0
23,522.000000,257.000000,20.833333,0.000000,12,12,1585.000000,1585.000000,779.000000,15,16.892008,0,4.85604,301.000000,108.000000,0.569363,-1,0
25,535.000000,259.000000,21.166667,0.000000,12,12,1155.000000,1155.000000,795.000000,16,17.005880,0,5.23485,451.000000,110.000000,0.113873,-1,0
