Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,466.000000,195.000000,21.222222,3.000000,9,9,2235.000000,2235.000000,662.000000,0,6.047298,0,-1.21345,604.000000,63.000000,1.497058,-1,0
1,455.000000,203.000000,22.111111,1.000000,9,9,1911.000000,1911.000000,659.000000,1,8.103696,0,-0.603215,603.000000,51.000000,2.056398,-1,0
3,521.000000,204.000000,25.000000,1.000000,9,8,1895.000000,1895.000000,726.000000,2,9.732363,0,0.19131,602.000000,53.000000,1.628667,-1,0
5,537.000000,235.000000,25.666667,3.000000,9,9,3177.000000,3177.000000,773.000000,3,10.916848,0,1.04388,653.000000,56.000000,1.184485,-1,0
7,490.000000,207.000000,22.555556,2.000000,9,9,2722.000000,2722.000000,697.000000,4,12.660674,0,1.87043,603.000000,62.000000,1.743825,-1,0
8,547.000000,211.000000,23.111111,1.000000,9,9,3569.000000,3569.000000,759.000000,5,16.970883,0,2.6306,603.000000,60.000000,4.310210,-1,0
10,494.000000,204.000000,22.222222,1.000000,9,9,3261.000000,3261.000000,699.000000,6,20.491436,0,3.50622,603.000000,57.000000,3.520553,-1,0
12,442.000000,242.000000,26.444444,1.000000,9,9,2959.000000,2959.000000,685.000000,7,29.950866,0,4.2414,603.000000,57.000000,9.459430,-1,0
13,467.000000,271.000000,29.555556,1.000000,9,9,2692.000000,2692.000000,738.000000,8,35.462012,0,4.81211,553.000000,66.000000,5.511146,-1,0
15,408.000000,287.000000,31.333333,1.000000,9,9,2324.000000,2324.000000,695.000000,9,38.291615,0,5.43219,502.000000,57.000000,2.829603,-1,0
17,441.000000,261.000000,28.444444,1.000000,9,9,2784.000000,2784.000000,703.000000,10,40.578330,0,6.21314,602.000000,59.000000,2.286714,-1,0
18,457.000000,249.000000,27.444444,2.000000,9,9,3728.000000,3728.000000,707.000000,11,45.135307,0,6.79248,503.000000,57.000000,4.556977,-1,0
20,563.000000,166.000000,27.166667,2.000000,9,6,3314.000000,3314.000000,730.000000,12,48.228130,0,7.24453,552.000000,58.000000,3.092822,-1,0
21,532.000000,163.000000,26.666667,3.000000,9,6,2683.000000,2683.000000,695.000000,13,51.271598,0,7.77236,502.000000,61.000000,3.043469,-1,0
23,473.000000,235.000000,29.000000,2.000000,9,8,1803.000000,1803.000000,709.000000,14,54.101202,0,8.43155,502.000000,57.000000,2.829603,-1,0
24,475.000000,266.000000,29.000000,1.000000,9,9,2176.000000,2176.000000,741.000000,15,56.897903,0,9.10602,553.000000,60.000000,2.796701,-1,0
26,395.000000,270.000000,29.444444,1.000000,9,9,3017.000000,3017.000000,665.000000,16,59.990725,0,9.96848,602.000000,62.000000,3.092822,-1,0
28,451.000000,261.000000,28.555556,2.000000,9,9,2242.000000,2242.000000,712.000000,17,61.981318,0,10.693,602.000000,59.000000,1.990593,-1,0
29,424.000000,251.000000,27.555556,2.000000,9,9,2259.000000,2259.000000,676.000000,18,63.461924,0,11.4295,552.000000,61.000000,1.480606,-1,0
31,420.000000,237.000000,25.888889,1.000000,9,9,1463.000000,1463.000000,657.000000,19,64.926079,0,12.1572,603.000000,66.000000,1.464155,-1,0
33,449.000000,226.000000,24.666667,1.000000,9,9,2498.000000,2498.000000,676.000000,20,66.933124,0,12.9697,651.000000,75.000000,2.007044,-1,0
34,465.000000,249.000000,27.222222,2.000000,9,9,1676.000000,1676.000000,715.000000,21,68.841461,0,13.7571,652.000000,72.000000,1.908337,-1,0
36,457.000000,243.000000,26.555556,1.000000,9,9,2820.000000,2820.000000,701.000000,22,71.407845,0,14.4981,603.000000,69.000000,2.566384,-1,0
38,446.000000,256.000000,28.000000,2.000000,9,9,2432.000000,2432.000000,702.000000,23,73.645206,0,15.0505,503.000000,66.000000,2.237361,-1,0
39,395.000000,243.000000,26.444444,1.000000,9,9,3209.000000,3209.000000,638.000000,24,75.899018,0,15.8735,602.000000,67.000000,2.253812,-1,0
41,464.000000,260.000000,28.444444,3.000000,9,9,1879.000000,1879.000000,725.000000,25,76.918991,0,16.4889,602.000000,71.000000,1.019973,-1,0
43,491.000000,255.000000,27.777778,2.000000,9,9,2356.000000,2356.000000,746.000000,26,78.432500,0,17.2778,602.000000,67.000000,1.513509,-1,0
44,466.000000,221.000000,24.000000,1.000000,9,9,2461.000000,2461.000000,687.000000,27,79.649888,0,17.8519,602.000000,73.000000,1.217387,-1,0
46,415.000000,232.000000,25.222222,1.000000,9,9,2829.000000,2829.000000,648.000000,28,80.620507,0,18.3868,453.000000,72.000000,0.970620,-1,0
48,478.000000,221.000000,24.111111,2.000000,9,9,3652.000000,3652.000000,700.000000,29,82.347881,0,19.2261,652.000000,72.000000,1.727374,-1,0
50,401.000000,233.000000,25.555556,1.000000,9,9,1272.000000,1272.000000,635.000000,30,82.824966,0,19.8251,602.000000,74.000000,0.477084,-1,0
51,473.000000,218.000000,23.777778,1.000000,9,9,1854.000000,1854.000000,692.000000,31,83.055282,0,20.5031,552.000000,75.000000,0.230317,-1,0
53,437.000000,211.000000,22.888889,1.000000,9,9,0.000000,0.000000,649.000000,32,83.055282,0,20.5031,-1,-1,0.000000,-1,0
54,4599.000000,0.000000,-1,230.000000,44,10,3740.000000,821.007238,4603.000000,33,85.144582,1,25.0585,1253.000000,79.000000,2.089300,62.000000,9
60,395.000000,261.000000,28.666667,1.000000,9,9,303.000000,303.000000,657.000000,34,85.210387,0,25.6505,553.000000,79.000000,0.065805,-1,9
62,378.000000,271.000000,29.666667,1.000000,9,9,0.000000,0.000000,649.000000,35,85.210387,0,25.6505,-1,-1,0.000000,-1,9
63,3493.000000,708.000000,27.000000,96.000000,32,10,1933.000000,689.247627,4203.000000,36,85.374899,1,28.455,1303.000000,83.000000,0.164512,54.000000,10
69,389.000000,285.000000,31.111111,2.000000,9,9,0.000000,0.000000,674.000000,37,85.374899,0,28.455,-1,-1,0.000000,-1,10
69,562.000000,850.000000,26.500000,46.000000,500,10,2895.000000,975.087317,1415.000000,38,86.888408,1,31.424,1452.000000,85.000000,1.513509,50.000000,10
73,447.000000,240.000000,26.111111,2.000000,9,9,2070.000000,2070.000000,687.000000,39,87.283236,0,31.9695,502.000000,91.000000,0.394828,-1,10
97,411.000000,233.000000,25.555556,2.000000,9,9,1600.000000,1600.000000,645.000000,40,87.414846,0,32.8031,602.000000,89.000000,0.131609,-1,10
121,396.000000,214.000000,23.222222,1.000000,9,9,7.000000,7.000000,610.000000,41,87.414846,0,33.541,602.000000,101.000000,0.000000,-1,10
123,1119.000000,848.000000,25.800000,69.000000,500,10,644.000000,134.374964,1970.000000,42,87.497102,1,38.3335,1753.000000,94.000000,0.082256,36.000000,10
128,433.000000,266.000000,29.111111,1.000000,9,9,0.000000,0.000000,700.000000,43,87.497102,0,38.3335,-1,-1,0.000000,-1,10
128,1030.000000,1047.000000,25.400000,94.000000,500,10,376.000000,26.841462,2079.000000,44,87.562906,1,52.3417,3154.000000,95.000000,0.065805,41.000000,10
134,389.000000,278.000000,30.333333,1.000000,9,9,115.000000,115.000000,668.000000,45,87.562906,0,53.0033,553.000000,96.000000,0.000000,-1,10
136,884.000000,990.000000,25.300000,85.000000,500,10,1432.000000,96.578010,1876.000000,46,90.754436,1,67.8307,4003.000000,98.000000,3.191529,36.000000,10
143,392.000000,179.000000,19.333333,2.000000,9,9,2250.000000,2250.000000,571.000000,47,92.350200,0,68.5528,503.000000,96.000000,1.595765,-1,10
144,377.000000,184.000000,19.777778,1.000000,9,9,2391.000000,2391.000000,562.000000,48,92.564066,0,69.0845,553.000000,94.000000,0.213865,-1,10
146,405.000000,203.000000,22.222222,1.000000,9,9,487.000000,487.000000,609.000000,49,93.106955,0,69.8239,603.000000,98.000000,0.542889,-1,10
