Iteration,Progress_mean,Progress_std,TrajectoryLength_mean,TrajectoryLength_std,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Planner_mean,Planner_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std,ClusterTime_mean,ClusterTime_std,NbvMemory_mean,NbvMemory_std
0,5.9683326,0.25589682212442116,0.0,0.14445711114375787,0.0,0.0,507.3,68.17143422610708,190.5,5.169354139756941,20.6222221,0.5269160439967749,4.7,1.7669811040931427,9.0,0.0,9.0,0.0,2502.7,437.94800553896306,2502.7,437.94800553896306,698.7,70.47150724465409,0.0,0.0,573.2,91.78695138441218,55.6,3.596294389136314,1.4180918999999998,0.25589700356043865,-1.0,0.0,0.0,0.0
1,8.047762,0.5469562455384852,0.7223657000000001,0.1959546361312853,1.5,0.5270462766947299,498.8,58.282454001564176,201.2,12.795832654944078,22.076389,0.8271700551087824,1.5,0.7071067811865476,9.0,0.0,8.9,0.316227766016838,2397.2,433.046777047366,2397.2,433.046777047366,700.5,51.01470376273884,0.0,0.0,602.3,40.69957684737715,55.6,3.8643671323171844,2.0794295000000003,0.43884902989860247,-1.0,0.0,0.0,0.0
2,9.9067457,0.9008080386682531,1.43270023,0.233579141279439,3.0,0.0,516.5,20.775252371779043,219.1,10.816140202904585,24.1444444,1.04632091377138,1.3,0.48304589153964794,9.0,0.0,8.9,0.31622776601683794,2253.2,213.0523149108896,2253.2,213.0523149108896,736.1,19.28413279817834,0.0,0.0,582.3,71.66441856939112,56.2,4.825856285561029,1.8589835000000001,0.5697272655918113,-1.0,0.0,0.0,0.0
3,12.612964999999999,2.5525493856402988,2.1992952,0.23236811657741116,5.0,0.0,516.1,35.09495057063844,228.1,13.378672912097406,24.877777599999998,1.4828234546064232,2.5,3.064129385141706,9.0,0.0,9.0,0.0,2646.4,474.3983792365044,2646.4,474.3983792365044,744.9,34.504267046909504,0.0,0.0,612.5,46.31354493498035,54.6,4.37670601657863,2.7062195,1.9950708966581863,-1.0,0.0,0.0,0.0
4,15.3537322,4.378123802864566,2.891713,0.2730579433197284,6.8,0.42163702135578385,532.2,68.02254528218322,224.2,24.19733685989248,24.4333333,2.6581396176435566,2.2,0.42163702135578385,9.0,0.0,9.0,0.0,2575.2,606.3321055512582,2575.2,606.3321055512582,756.9,74.58097761642858,0.0,0.0,582.6,53.68881530532118,55.8,3.8528488738133038,2.7407668999999997,2.4214516808985773,-1.0,0.0,0.0,0.0
5,18.1010795,5.438215890064727,3.5523629999999997,0.29433179363319445,8.1,0.3162277660168377,532.8,53.320415102160126,223.6,32.346045610965604,24.7083333,3.856861991676598,2.6,1.7126976771553506,9.0,0.0,8.9,0.316227766016838,2554.3,745.4341091680143,2554.3,745.4341091680143,757.1,66.39352378056161,0.0,0.0,557.2,37.16569505456463,56.1,3.6040101122068027,2.7473473999999998,1.7162576740956017,-1.0,0.0,0.0,0.0
6,20.6181103,6.018890235169271,4.2068200000000004,0.39986621924505356,10.0,0.0,506.1,59.6330445306962,226.9,40.96190642264808,25.168253999999997,3.5713556694029296,2.4,2.7568097504180438,9.0,0.0,8.8,0.632455532033676,2278.5,942.4973032675831,2278.5,942.4973032675831,733.5,58.369036692791546,0.0,0.0,552.2,57.83463014876508,56.8,4.442221666388715,2.5170310000000002,1.4768441195904494,-1.0,0.0,0.0,0.0
7,23.301298199999998,7.033045705900694,4.898887,0.346186718727529,11.7,0.4830458915396482,481.1,56.40616593560986,232.4,38.37012726935716,25.377777599999998,4.312294420268433,1.2,0.4216370213557839,9.0,0.0,9.0,0.0,2134.6,1182.9689767698899,2134.6,1182.9689767698899,714.1,59.815364061232444,0.0,0.0,557.5,64.29316535302264,54.7,5.078276172963507,2.6831878,2.930204123422151,-1.0,0.0,0.0,0.0
8,25.951583699999997,8.391634763835352,5.622742,0.40143997895908,13.2,0.42163702135578385,499.0,55.60175856531478,217.8,28.094285698143118,25.0126985,3.7973410174459135,1.4,0.5163977794943222,9.0,0.0,8.6,0.8432740427115678,2220.0,854.997076018392,2220.0,854.997076018392,717.4,57.581246947248374,0.0,0.0,622.4,158.48042290593636,56.8,6.214677966091419,2.6502855,1.962369311753425,-1.0,0.0,0.0,0.0
9,28.0688508,9.394334646889995,6.273676,0.37426609410358797,15.1,0.7378647873726221,523.3,74.05410934655221,207.8,46.040561826864504,25.3668652,4.619732861613676,1.6,1.2649110640673518,9.0,0.0,8.1,1.286683937707919,2130.2,742.4544580122218,2130.2,742.4544580122218,731.9,52.2078112503824,0.0,0.0,587.1,52.99989517809341,55.8,6.729701991090607,2.1172671999999997,1.3947663451064165,-1.0,0.0,0.0,0.0
10,29.8899968,10.095940054663632,6.945997,0.3970348913032988,16.8,0.6324555320336757,499.2,43.02660675545875,207.7,38.38127436943987,24.0501985,3.98105200167268,1.5,0.7071067811865476,9.0,0.0,8.5,0.8498365855987975,2540.3,456.39360449311977,2540.3,456.39360449311977,707.6,33.230508071148506,0.0,0.0,602.2,40.829727731968376,58.3,5.888784066153027,1.8211458,0.8308544478408022,-1.0,0.0,0.0,0.0
11,32.6225381,11.39281593969737,7.625819,0.389463404421177,18.4,0.8432740427115681,517.9,75.72530767334143,187.5,36.79749387601765,23.477777800000002,3.5434315724122185,1.5,1.2692955176439846,9.0,0.0,7.9,1.3703203194062978,2654.2,841.9119510574329,2654.2,841.9119510574329,706.0,67.02569988030294,0.0,0.0,582.2,34.61470464669282,59.1,8.530338015967871,2.7325413000000003,2.106842701396468,-1.0,0.0,0.0,0.0
12,34.8796404,12.00560939169786,8.339473000000002,0.31497373207759527,20.3,0.8232726023485647,513.9,50.379559347020894,206.7,34.8203325020821,24.3184524,3.6089852214829397,1.4,0.5163977794943222,9.0,0.0,8.4,1.0749676997731399,3083.9,1007.6587219887496,3083.9,1007.6587219887496,721.4,32.13928022425725,0.0,0.0,587.3,41.28774367506389,60.0,7.1336448530109,2.2571022,1.3872376768661765,-1.0,0.0,0.0,0.0
13,36.7994932,12.053053193984379,9.004256000000002,0.3274145581097796,22.1,0.994428926011753,529.9,59.980459781128346,198.6,36.49718406184845,24.237499800000002,3.9833030793227593,1.5,0.7071067811865476,9.0,0.0,8.1,1.2866839377079187,2804.4,973.8463488205473,2804.4,973.8463488205473,729.3,60.73082687839294,0.0,0.0,587.4,52.99098455817219,61.1,8.265725752904109,1.9198530999999999,0.8142569380446677,-1.0,0.0,0.0,0.0
14,38.2685837,12.046797486249108,9.714843,0.4179237379248892,23.6,1.1737877907772667,496.9,45.01468896062952,204.3,37.777271238434125,25.4801588,3.832370670430041,1.2,0.4216370213557839,9.0,0.0,7.9,1.1972189997378646,1942.8,533.1349214265038,1942.8,533.1349214265038,702.0,37.87112649793008,0.0,0.0,567.3,52.87732133070955,62.3,8.895067297228405,1.4690905,1.012250614379578,-1.0,0.0,0.0,0.0
15,39.8084145,11.901406368828647,10.40155,0.4265360811936077,25.4,1.264911064067352,528.9,73.94059176873763,205.3,40.31280469307764,25.154166699999998,3.756542526825167,1.4,0.5163977794943222,9.0,0.0,8.0,1.05409255338946,1677.4,700.4248234702517,1677.4,700.4248234702517,734.5,61.91436738664856,0.0,0.0,572.6,54.01892672429214,63.4,9.35948716543807,1.5398306,1.3230724578972486,-1.0,0.0,0.0,0.0
16,41.5802068,12.082271740600817,11.070574,0.39151241433417827,27.1,0.994428926011753,511.7,73.54522418213163,209.8,41.2736127702811,24.7134921,3.3094338750053254,1.9,0.875595035770913,9.0,0.0,8.3,1.0593499054713804,1882.9,933.9572260012768,1882.9,933.9572260012768,722.1,54.07494798887929,0.0,0.0,562.2,61.42891103634437,64.0,9.153020145163985,1.7717923,1.4167141530453133,-1.0,0.0,0.0,0.0
17,43.0147499,12.271455875192322,11.757213,0.4091187801020901,28.8,1.1352924243950926,515.9,113.31024274579553,205.6,27.548744677994556,23.8549604,3.0958698796757944,1.3,0.48304589153964794,9.0,0.0,8.5,0.8498365855987975,1913.1,831.5640484452576,1913.1,831.5640484452576,722.3,103.86321132463924,0.0,0.0,567.2,53.22029688004381,66.2,11.360751148875087,1.4345430000000001,1.041094008782428,-1.0,0.0,0.0,0.0
