Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,703.000000,265.000000,21.666667,0.000000,12,12,2676.000000,2676.000000,969.000000,0,6.162457,0,-1.52119,552.000000,55.000000,1.612216,-1,0
2,664.000000,286.000000,23.500000,0.000000,12,12,2302.000000,2302.000000,951.000000,1,7.626612,0,-1.00083,552.000000,53.000000,1.464155,-1,0
4,730.000000,313.000000,25.666667,0.000000,12,12,2093.000000,2093.000000,1043.000000,2,8.235306,0,-0.523996,453.000000,58.000000,0.608694,-1,0
6,730.000000,316.000000,25.833333,0.000000,12,12,2194.000000,2194.000000,1046.000000,3,9.057865,0,0.0808618,552.000000,59.000000,0.822559,-1,0
8,582.000000,281.000000,23.000000,0.000000,12,12,3240.000000,3240.000000,864.000000,4,9.814619,0,0.713807,503.000000,59.000000,0.756754,-1,0
9,720.000000,296.000000,24.083333,0.000000,12,12,1004.000000,1004.000000,1016.000000,5,10.258801,0,1.08945,353.000000,68.000000,0.444182,-1,0
11,863.000000,247.000000,21.909091,0.000000,12,11,1582.000000,1582.000000,1111.000000,6,11.262323,0,1.73016,553.000000,63.000000,1.003522,-1,0
13,738.000000,280.000000,22.750000,0.000000,12,12,721.000000,721.000000,1019.000000,7,12.134236,0,2.16494,353.000000,61.000000,0.871913,-1,0
15,680.000000,320.000000,26.083333,0.000000,12,12,2197.000000,2197.000000,1000.000000,8,14.848681,0,2.63952,502.000000,62.000000,2.714445,-1,0
17,726.000000,330.000000,27.166667,0.000000,12,12,1546.000000,1546.000000,1057.000000,9,16.493799,0,3.10162,552.000000,77.000000,1.645118,-1,0
19,777.000000,356.000000,29.250000,0.000000,12,12,716.000000,716.000000,1134.000000,10,17.250553,0,3.61394,452.000000,64.000000,0.756754,-1,0
21,751.000000,355.000000,29.083333,0.000000,12,12,1048.000000,1048.000000,1107.000000,11,18.648904,0,4.02343,453.000000,68.000000,1.398350,-1,0
23,821.000000,331.000000,27.083333,0.000000,12,12,1175.000000,1175.000000,1152.000000,12,20.343376,0,4.47947,502.000000,70.000000,1.694472,-1,0
47,744.000000,321.000000,26.250000,0.000000,12,12,824.000000,824.000000,1065.000000,13,21.297544,0,4.829,502.000000,67.000000,0.954169,-1,0
49,595.000000,331.000000,27.083333,0.000000,12,12,940.000000,940.000000,926.000000,14,23.074272,0,5.26326,452.000000,71.000000,1.776728,-1,0
51,705.000000,325.000000,26.583333,0.000000,12,12,1403.000000,1403.000000,1031.000000,15,26.216448,0,5.77788,553.000000,66.000000,3.142176,-1,0
53,619.000000,353.000000,28.833333,0.000000,12,12,1653.000000,1653.000000,973.000000,16,30.543109,0,6.17033,502.000000,71.000000,4.326661,-1,0
55,605.000000,361.000000,29.500000,0.000000,12,12,1965.000000,1965.000000,967.000000,17,35.807487,0,6.65093,553.000000,67.000000,5.264378,-1,0
57,679.000000,363.000000,29.916667,0.000000,12,12,1824.000000,1824.000000,1043.000000,18,38.373871,0,7.20079,552.000000,73.000000,2.566384,-1,0
59,729.000000,366.000000,30.000000,0.000000,12,12,1201.000000,1201.000000,1096.000000,19,39.953185,0,7.57714,353.000000,73.000000,1.579313,-1,0
60,544.000000,359.000000,29.250000,0.000000,12,12,1606.000000,1606.000000,903.000000,20,41.697010,0,8.03143,502.000000,71.000000,1.743825,-1,0
62,647.000000,374.000000,30.666667,0.000000,12,12,1381.000000,1381.000000,1021.000000,21,43.013105,0,8.37833,352.000000,72.000000,1.316095,-1,0
64,651.000000,342.000000,28.000000,0.000000,12,12,1738.000000,1738.000000,994.000000,22,44.674674,0,8.89169,503.000000,82.000000,1.661569,-1,0
66,679.000000,341.000000,27.916667,0.000000,12,12,1981.000000,1981.000000,1020.000000,23,46.204634,0,9.37688,352.000000,70.000000,1.529960,-1,0
67,563.000000,328.000000,26.916667,0.000000,12,12,1480.000000,1480.000000,891.000000,24,47.356217,0,9.80642,503.000000,67.000000,1.151583,-1,0
69,656.000000,339.000000,27.666667,0.000000,12,12,1027.000000,1027.000000,996.000000,25,48.244581,0,10.2059,403.000000,68.000000,0.888364,-1,0
71,565.000000,342.000000,28.000000,0.000000,12,12,1124.000000,1124.000000,907.000000,26,49.034237,0,10.7111,553.000000,73.000000,0.789657,-1,0
73,607.000000,384.000000,31.583333,0.000000,12,12,836.000000,836.000000,992.000000,27,50.136467,0,11.2148,503.000000,69.000000,1.102229,-1,0
75,654.000000,336.000000,27.666667,0.000000,12,12,1414.000000,1414.000000,991.000000,28,51.847390,0,11.7729,552.000000,84.000000,1.710923,-1,0
76,778.000000,253.000000,24.900000,0.000000,12,10,966.000000,966.000000,1032.000000,29,52.554790,0,12.322,403.000000,72.000000,0.707401,-1,0
78,681.000000,299.000000,24.500000,0.000000,12,12,636.000000,636.000000,981.000000,30,53.130582,0,12.8788,502.000000,75.000000,0.575791,-1,0
80,807.000000,281.000000,25.090909,0.000000,12,11,761.000000,761.000000,1088.000000,31,53.689922,0,13.2366,403.000000,80.000000,0.559340,-1,0
82,827.000000,262.000000,23.272727,0.000000,12,11,1008.000000,1008.000000,1090.000000,32,54.578286,0,13.6431,452.000000,76.000000,0.888364,-1,0
84,736.000000,281.000000,25.090909,0.000000,12,11,315.000000,315.000000,1019.000000,33,54.676993,0,14.2211,504.000000,79.000000,0.098707,-1,0
86,732.000000,274.000000,24.454545,0.000000,12,11,680.000000,680.000000,1007.000000,34,55.746320,0,14.6993,503.000000,79.000000,1.069327,-1,0
88,721.000000,273.000000,24.272727,0.000000,12,11,1277.000000,1277.000000,995.000000,35,58.098839,0,15.2237,553.000000,77.000000,2.352519,-1,0
90,688.000000,296.000000,26.545455,0.000000,12,11,648.000000,648.000000,985.000000,36,58.691081,0,15.6433,453.000000,73.000000,0.592243,-1,0
92,647.000000,377.000000,31.000000,0.000000,12,12,838.000000,838.000000,1024.000000,37,59.694604,0,16.0583,402.000000,79.000000,1.003522,-1,0
94,698.000000,360.000000,29.750000,0.000000,12,12,650.000000,650.000000,1059.000000,38,60.550065,0,16.4448,402.000000,81.000000,0.855461,-1,0
96,673.000000,396.000000,32.750000,0.000000,12,12,565.000000,565.000000,1070.000000,39,61.273917,0,16.8601,353.000000,80.000000,0.723852,-1,0
99,690.000000,371.000000,30.583333,0.000000,12,12,1201.000000,1201.000000,1062.000000,40,62.705170,0,17.4184,503.000000,83.000000,1.431253,-1,0
