Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,4089.000000,216.000000,21.200000,0.000000,69,10,5000.000000,767.267265,4306.000000,0,19.131502,1,4.51663,1354.000000,112.000000,10.741978,-1,0
6,4185.000000,218.000000,21.100000,0.000000,71,10,4941.000000,442.210298,4403.000000,1,21.314059,1,15.6901,2953.000000,106.000000,2.182557,-1,0
14,4613.000000,213.000000,20.800000,0.000000,69,10,3596.000000,1529.641220,4827.000000,2,24.616363,1,18.0409,1002.000000,107.000000,3.302304,-1,0
20,3998.000000,174.000000,17.000000,0.000000,63,10,4766.000000,1314.599459,4173.000000,3,25.052875,1,21.6664,1153.000000,106.000000,0.436511,-1,0
25,3129.000000,191.000000,18.700000,0.000000,57,10,4672.000000,1073.062563,3320.000000,4,30.082246,1,26.0203,1752.000000,111.000000,5.029372,-1,0
31,4907.000000,224.000000,21.900000,0.000000,79,10,4884.000000,850.589154,5132.000000,5,34.883873,1,31.7622,1552.000000,111.000000,4.801626,-1,0
38,4629.000000,205.000000,19.900000,0.000000,82,10,5000.000000,843.688582,4834.000000,6,41.545418,1,37.6885,1452.000000,116.000000,6.661545,-1,0
45,5813.000000,191.000000,18.600000,0.000000,92,10,2967.000000,996.330509,6004.000000,7,47.979217,1,40.6664,851.000000,114.000000,6.433800,-1,0
52,7699.000000,226.000000,22.100000,0.000000,125,10,4860.000000,731.514984,7926.000000,8,51.072755,1,47.3102,1802.000000,116.000000,3.093538,-1,0
62,4269.000000,219.000000,21.400000,0.000000,75,10,3048.000000,666.309817,4489.000000,9,55.248083,1,51.8846,1653.000000,116.000000,4.175327,-1,0
69,5243.000000,262.000000,25.800000,0.000000,77,10,3492.000000,624.128006,5506.000000,10,58.094897,1,57.4796,1402.000000,114.000000,2.846814,-1,0
76,3499.000000,219.000000,21.500000,0.000000,52,10,2750.000000,825.590248,3719.000000,11,58.512430,1,60.8106,1453.000000,121.000000,0.417533,-1,0
82,2340.000000,228.000000,22.200000,0.000000,42,10,2879.000000,723.928354,2569.000000,12,63.181205,1,64.7875,1203.000000,128.000000,4.668775,-1,0
86,2676.000000,236.000000,23.000000,0.000000,33,10,1098.000000,201.952494,2913.000000,13,63.238141,1,70.2244,1502.000000,121.000000,0.056936,-1,0
91,2864.000000,252.000000,24.700000,0.000000,59,10,1051.000000,198.362659,3117.000000,14,64.168100,1,75.5228,1503.000000,123.000000,0.929959,-1,0
