Iteration,Progress_mean,Progress_std,TrajectoryLength_mean,TrajectoryLength_std,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Planner_mean,Planner_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std,ClusterTime_mean,ClusterTime_std,NbvMemory_mean,NbvMemory_std
0,14.696798000000001,3.932330457087376,3.1724266666666665,1.2959983823420973,0.0,0.0,3053.3333333333335,1662.2437647148306,218.33333333333334,4.932882862316249,21.366666666666664,0.4725815626252603,0.0,0.0,56.333333333333336,24.583192089989723,10.0,0.0,5000.0,0.0,1008.5019556666666,253.11964148180684,3272.6666666666665,1657.364876342362,1.0,0.0,1420.3333333333333,57.44852768638487,115.66666666666667,3.5118845842842483,6.307274666666667,3.932329893210046,-1.0,0.0,0.0,0.0
1,16.803440333333334,4.111008472798047,10.03046,4.911756028682613,5.0,1.7320508075688772,4150.666666666667,740.0975160972596,223.0,23.895606290697042,21.766666666666666,2.4684678108764837,0.0,0.0,77.66666666666667,11.547005383792516,10.0,0.0,4980.333333333333,34.06366588218779,882.855728,434.87204209290815,4374.0,763.9129531563135,1.0,0.0,1852.3333333333333,985.4442314678864,109.0,4.358898943540674,2.1066420000000003,0.4414347121047461,-1.0,0.0,0.0,0.0
2,18.954366333333333,4.904984492641372,12.92309,4.82291450663393,11.666666666666666,2.5166114784235836,3796.6666666666665,1170.9920295772015,195.0,17.52141546793523,19.033333333333335,1.7502380790433445,0.0,0.0,63.0,8.717797887081348,10.0,0.0,3917.0,963.4765176173211,1526.3275896666667,471.2458701742775,3992.3333333333335,1173.936256077532,1.0,0.0,1068.6666666666667,354.7299442298794,104.0,3.0,2.150926333333333,1.5279177359381406,-1.0,0.0,0.0,0.0
3,22.338912333333337,2.350839474497211,17.084500000000002,4.470002853466651,17.0,2.6457513110645907,3314.0,626.8309181908627,182.66666666666666,8.504900548115378,17.833333333333332,0.8504900548115374,0.0,0.0,54.666666666666664,11.930353445448855,10.0,0.0,4656.0,331.00453169103287,1133.2503296666666,190.80761874895074,3497.3333333333335,618.8669754748053,1.0,0.0,1402.6666666666667,349.42858116263665,106.0,0.0,3.3845456666666665,2.5587803757615335,-1.0,0.0,0.0,0.0
4,26.931772,2.763088248975772,20.488266666666664,5.64574307804857,22.333333333333332,2.3094010767585034,3893.6666666666665,789.5798460784908,202.0,13.45362404707371,19.766666666666666,1.222020185321558,0.0,0.0,69.33333333333333,24.006943440041116,10.0,0.0,4111.333333333333,1019.9849672094847,1255.272751,198.6968481185277,4096.0,793.0151322641958,1.0,0.0,1268.6666666666667,436.8447474027052,107.33333333333333,4.041451884327382,4.592860333333333,0.5424739731197559,-1.0,0.0,0.0,0.0
5,31.897881333333334,2.7746879436798535,25.0613,6.754114488961525,28.0,2.6457513110645907,4531.0,2239.7964193202915,199.66666666666666,28.041635710730812,19.433333333333334,2.8589042189855416,0.0,0.0,78.0,35.510561809129406,10.0,0.0,4961.0,66.68583057891684,1130.8561206666666,284.92866573223324,4731.333333333333,2224.232302016436,1.0,0.0,1468.6666666666667,189.29694486000912,107.33333333333333,3.2145502536643202,4.966108666666667,1.4494027334462058,-1.0,0.0,0.0,0.0
6,37.26254433333333,3.850599893623892,29.512833333333333,7.678758603663313,34.333333333333336,4.04145188432738,3995.0,568.1399475481371,196.33333333333334,7.767453465154025,19.066666666666666,0.7637626158259728,0.0,0.0,64.0,15.716233645501712,10.0,0.0,4998.333333333333,2.8867513459481944,1193.7858556666667,352.0661788906008,4192.0,575.349459024687,1.0,0.0,1201.6666666666667,229.2385947726371,110.66666666666667,4.725815626252606,5.364663,1.1234934883954601,-1.0,0.0,0.0,0.0
7,43.74062733333333,7.14512715500853,34.00143333333333,7.004409775515231,40.333333333333336,5.033222956847165,4808.0,1039.0259862005378,206.66666666666666,19.857828011475306,20.133333333333333,2.0033305601755615,0.0,0.0,70.0,20.663978319771825,10.0,0.0,4185.666666666667,1075.121543516515,969.6581693333334,221.95418316472882,5015.333333333333,1019.2670569253838,1.0,0.0,1168.0,388.22287413288774,111.0,3.605551275463989,6.478083666666667,5.095941811221586,-1.0,0.0,0.0,0.0
8,48.06778466666666,9.246344807848683,37.89326666666667,8.842761650826812,47.0,5.0,5836.666666666667,1823.3387873166448,204.33333333333334,27.790885796126275,19.866666666666667,2.8183919765237304,0.0,0.0,93.0,30.199337741083,10.0,0.0,4219.666666666667,891.0815525715552,1371.3299953333335,851.6115584920759,6041.333333333333,1831.086107569312,1.0,0.0,1202.0,540.8326913195984,112.66666666666667,3.0550504633038913,4.327157333333333,2.9431769033548307,-1.0,0.0,0.0,0.0
9,50.598286333333334,8.585010672167702,42.95483333333333,7.920799334873553,54.333333333333336,7.505553499465134,5276.666666666667,957.6921913294133,203.0,25.15949125081825,19.766666666666666,2.4906491790963527,0.0,0.0,85.66666666666667,11.015141094572206,10.0,0.0,4027.0,976.0138318692005,876.8808349999999,445.90794067187585,5480.333333333333,936.0477195812899,1.0,0.0,1402.3333333333333,312.6504970943327,111.33333333333333,6.429100507328638,2.5305013333333335,1.9221399803017296,-1.0,0.0,0.0,0.0
