Time,Progress_mean,Progress_std
0,14.197,3.27
1,14.197,3.27
2,17.132,2.441
3,17.683,2.756
4,17.683,2.756
5,19.416,0.251
6,23.351,3.536
7,23.351,3.536
8,25.616,5.391
9,25.616,5.391
10,27.172,2.952
11,27.172,2.952
12,28.842,3.96
13,29.45,3.959
14,31.847,7.112
15,31.847,7.112
16,34.125,8.012
17,34.125,8.012
18,34.96,6.567
19,35.15,6.752
20,35.573,6.022
21,36.965,7.339
22,38.079,8.161
23,38.079,8.161
24,38.338,7.712
25,38.338,7.712
26,39.502,8.935
27,41.375,10.373
28,41.375,10.373
29,44.487,5.019
30,44.487,5.019
31,46.436,6.641
32,46.436,6.641
33,47.707,8.043
34,48.112,7.371
35,48.112,7.371
36,48.612,7.607
37,50.326,4.727
38,51.313,6.103
39,52.661,4.208
40,52.661,4.208
41,52.661,4.208
42,54.28,4.484
43,54.28,4.484
44,54.28,4.484
45,54.565,4.814
46,54.565,4.814
47,54.565,4.814
48,55.242,3.688
49,55.678,3.908
50,57.462,3.388
51,57.462,3.388
52,60.568,6.307
53,60.682,6.319
54,60.682,6.319
55,60.682,6.319
56,62.599,6.565
57,62.599,6.565
58,63.207,6.572
59,63.592,7.13
60,63.592,7.13
61,64.136,6.315
62,64.63,6.341
63,64.63,6.341
64,64.839,6.013
65,65.522,7.024
66,66.382,7.148
67,66.382,7.148
68,67.736,6.493
69,67.736,6.493
70,68.831,6.81
71,69.229,7.293
72,69.4,7.01
73,69.4,7.01
74,69.678,6.774
75,69.678,6.774
76,69.931,6.873
77,70.653,7.808
78,70.653,7.808
79,71.608,7.76
80,71.608,7.76
81,71.608,7.76
82,71.608,7.76
83,71.741,7.861
84,71.741,7.861
85,71.741,7.861
86,71.741,7.861
87,73.126,6.119
88,73.67,6.366
89,73.67,6.366
90,73.67,6.366
91,73.898,6.508
92,73.898,6.508
93,73.898,6.508
94,74.119,6.41
95,74.771,6.898
96,74.771,6.898
97,74.98,7.086
98,74.98,7.086
99,75.853,5.576
100,75.941,5.655
101,75.941,5.655
102,75.941,5.655
103,75.941,5.655
104,76.65,4.829
105,76.65,4.829
106,76.789,4.928
107,76.789,4.928
108,76.789,4.928
109,76.991,5.134
110,77.877,3.619
111,78.206,3.845
112,79.13,2.952
113,79.13,2.952
114,79.187,2.985
115,79.237,3.042
116,79.237,3.042
117,79.75,2.175
118,79.939,2.417
119,79.939,2.417
120,79.939,2.417
121,79.939,2.417
122,80.034,2.467
123,80.034,2.467
124,80.072,2.516
125,80.465,1.885
126,80.465,1.885
127,80.559,1.996
128,80.559,1.996
129,80.756,1.699
130,80.756,1.699
131,80.756,1.699
132,80.831,1.816
133,80.914,1.813
134,80.914,1.813
135,80.914,1.813
136,80.983,1.708
137,80.983,1.708
138,81.053,1.775
139,81.053,1.775
140,81.394,1.303
141,81.394,1.303
142,81.394,1.303
143,81.844,0.924
144,81.844,0.924
145,82.268,1.175
146,82.268,1.175
147,82.584,1.054
148,82.584,1.054
149,83.02,1.744
150,83.071,1.679
151,83.071,1.679
152,83.071,1.679
153,83.128,1.609
154,83.134,1.62
155,83.134,1.62
156,83.469,1.562
157,83.469,1.562
158,83.469,1.562
159,83.488,1.532
160,83.615,1.564
161,83.621,1.572
162,83.621,1.572
163,83.754,1.355
164,83.754,1.355
165,83.754,1.355
166,83.767,1.359
167,84.127,1.88
168,84.134,1.871
169,84.134,1.871
170,84.222,1.871
171,84.425,2.176
172,84.425,2.176
173,84.501,2.173
174,84.526,2.211
175,84.526,2.211
176,84.564,2.212
177,84.564,2.212
178,85.652,2.679
179,85.652,2.679
180,85.652,2.679
181,85.785,2.565
182,85.785,2.565
183,85.785,2.565
184,85.867,2.473
185,85.88,2.494
186,85.88,2.494
187,85.88,2.494
188,85.88,2.494
189,85.918,2.454
190,85.93,2.476
191,86.114,2.372
192,86.114,2.372
193,86.114,2.372
194,86.272,2.62
195,86.272,2.62
196,86.272,2.62
197,86.272,2.62
198,86.443,2.428
199,86.81,2.278
200,86.81,2.278
201,86.81,2.278
202,86.86,2.209
203,86.86,2.209
204,86.924,2.195
205,86.924,2.195
206,86.93,2.205
207,86.93,2.205
208,87.056,2.407
209,87.056,2.407
210,87.056,2.407
211,87.069,2.404
212,87.069,2.404
213,87.069,2.404
214,87.069,2.404
215,87.069,2.404
216,87.069,2.404
217,87.297,2.106
218,87.297,2.106
219,87.335,2.169
220,87.354,2.161
221,87.366,2.145
222,87.366,2.145
223,87.366,2.145
224,87.366,2.145
225,87.366,2.145
226,87.366,2.145
227,87.366,2.145
228,87.366,2.145
229,87.366,2.145
230,87.366,2.145
231,87.366,2.145
232,87.366,2.145
233,87.518,2.095
234,87.632,1.942
235,87.632,1.942
236,87.632,1.942
237,87.632,1.942
238,88.005,1.514
239,88.005,1.514
240,88.132,1.733
241,88.132,1.733
242,88.132,1.733
243,88.221,1.656
244,88.221,1.656
245,88.221,1.656
246,88.221,1.656
247,88.221,1.656
248,88.221,1.656
249,88.221,1.656
250,88.277,1.612
251,88.277,1.612
252,88.277,1.612
253,88.303,1.594
254,88.303,1.594
255,88.303,1.594
256,88.303,1.594
257,88.303,1.594
258,88.505,1.942
259,88.505,1.942
260,88.505,1.942
261,88.505,1.942
262,88.505,1.942
263,88.505,1.942
264,88.505,1.942
265,88.505,1.942
266,88.505,1.942
267,88.676,1.839
268,88.676,1.839
269,88.866,2.159
270,88.866,2.159
271,88.866,2.159
272,88.866,2.159
273,88.866,2.159
274,88.866,2.159
275,88.866,2.159
276,88.866,2.159
277,88.866,2.159
278,88.866,2.159
279,88.866,2.159
280,88.866,2.159
281,88.866,2.159
282,88.866,2.159
283,88.866,2.159
284,88.866,2.159
285,88.866,2.159
286,88.866,2.159
287,88.866,2.159
288,88.866,2.159
289,88.866,2.159
290,88.866,2.159
291,88.866,2.159
292,88.866,2.159
293,88.866,2.159
294,88.866,2.159
295,88.866,2.159
296,88.866,2.159
297,89.113,2.065
298,89.302,1.813
299,89.302,1.813
300,89.302,1.813
301,89.302,1.813
302,89.302,1.813
303,89.302,1.813
304,89.302,1.813
305,89.302,1.813
306,89.302,1.813
307,89.334,1.774
308,89.334,1.774
309,89.334,1.774
310,89.334,1.774
311,89.334,1.774
312,89.334,1.774
313,89.334,1.774
314,89.334,1.774
315,89.34,1.771
316,89.34,1.771
317,89.34,1.771
318,89.34,1.771
319,89.34,1.771
320,89.34,1.771
321,89.34,1.771
322,89.34,1.771
323,89.366,1.813
324,89.366,1.813
325,89.568,1.583
326,89.568,1.583
327,89.568,1.583
328,89.568,1.583
329,89.568,1.583
330,89.568,1.583
331,89.568,1.583
332,89.568,1.583
333,89.568,1.583
334,89.726,1.495
335,90.118,1.109
336,90.118,1.109
337,90.118,1.109
338,90.125,1.12
339,90.125,1.12
340,90.125,1.12
341,90.125,1.12
342,90.125,1.12
343,90.125,1.12
344,90.125,1.12
345,90.125,1.12
346,90.39,1.045
347,90.39,1.045
348,90.39,1.045
349,90.39,1.045
350,90.473,0.921
351,90.473,0.921
352,90.473,0.921
353,90.473,0.921
354,90.473,0.921
355,90.612,1.138
356,90.612,1.138
357,90.612,1.138
358,90.612,1.138
359,90.612,1.138
360,90.612,1.138
361,90.612,1.138
362,90.612,1.138
363,90.612,1.138
364,90.637,1.103
365,90.637,1.103
366,90.637,1.103
367,90.637,1.103
368,90.637,1.103
369,90.637,1.103
370,90.637,1.103
371,90.637,1.103
372,90.637,1.103
373,90.637,1.103
374,90.637,1.103
375,90.637,1.103
376,90.637,1.103
377,90.637,1.103
378,90.637,1.103
379,90.814,1.078
380,90.814,1.078
381,90.814,1.078
382,90.814,1.078
383,90.814,1.078
384,90.814,1.078
385,90.814,1.078
386,91.139,1.154
387,91.139,1.154
388,91.284,1.145
389,91.284,1.145
390,91.284,1.145
391,91.284,1.145
392,91.284,1.145
393,91.284,1.145
394,91.284,1.145
395,91.284,1.145
396,91.284,1.145
397,91.284,1.145
398,91.284,1.145
399,91.284,1.145
400,91.284,1.145
401,91.284,1.145
402,91.398,0.971
403,91.398,0.971
404,91.398,0.971
405,91.398,0.971
406,91.398,0.971
407,91.398,0.971
408,91.398,0.971
409,91.398,0.971
410,91.398,0.971
411,91.398,0.971
412,91.398,0.971
413,91.398,0.971
414,91.398,0.971
415,91.398,0.971
416,91.398,0.971
417,91.398,0.971
418,91.398,0.971
419,91.398,0.971
420,91.398,0.971
421,91.398,0.971
422,91.398,0.971
423,91.398,0.971
424,91.398,0.971
425,91.398,0.971
426,91.398,0.971
427,91.398,0.971
428,91.398,0.971
429,91.398,0.971
430,91.398,0.971
431,91.398,0.971
432,91.398,0.971
433,91.398,0.971
434,91.398,0.971
435,91.398,0.971
436,91.398,0.971
437,91.417,0.971
438,91.417,0.971
439,91.417,0.971
440,91.417,0.971
441,91.417,0.971
442,91.436,0.972
443,91.436,0.972
444,91.436,0.972
445,91.436,0.972
446,91.436,0.972
447,91.436,0.972
448,91.436,0.972
449,91.436,0.972
450,91.436,0.972
451,91.436,0.972
452,91.436,0.972
453,91.436,0.972
454,91.436,0.972
455,91.436,0.972
456,91.436,0.972
457,91.537,0.82
458,91.537,0.82
459,91.537,0.82
460,91.537,0.82
461,91.537,0.82
462,91.537,0.82
463,91.537,0.82
464,91.537,0.82
465,91.537,0.82
466,91.537,0.82
467,91.955,0.441
468,91.955,0.441
469,91.955,0.441
470,91.955,0.441
471,91.955,0.441
472,91.955,0.441
473,91.955,0.441
474,91.955,0.441
475,91.955,0.441
476,91.955,0.441
477,91.955,0.441
478,91.955,0.441
479,91.955,0.441
480,91.955,0.441
481,91.955,0.441
482,91.955,0.441
483,91.955,0.441
484,91.955,0.441
485,91.955,0.441
486,91.955,0.441
487,91.955,0.441
488,91.955,0.441
489,91.955,0.441
490,91.955,0.441
491,92.119,0.223
492,92.379,0.389
493,92.379,0.389
494,92.379,0.389
495,92.379,0.389
496,92.379,0.389
497,92.379,0.389
498,92.379,0.389
499,92.379,0.389
500,92.379,0.389
501,92.379,0.389
502,92.379,0.389
503,92.379,0.389
504,92.379,0.389
505,92.379,0.389
506,92.379,0.389
507,92.524,0.214
