Iteration,Progress_mean,Progress_std,TrajectoryLength_mean,TrajectoryLength_std,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Planner_mean,Planner_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std,ClusterTime_mean,ClusterTime_std,NbvMemory_mean,NbvMemory_std
0,9.926802666666667,0.29827435794974605,-1.19676,0.05968196712575745,0.0,0.0,402.0,2.6457513110645907,196.0,5.5677643628300215,21.296296333333334,0.6318044476595049,7.333333333333333,5.131601439446884,9.0,0.0,9.0,0.0,2285.3333333333335,556.1315791549094,2285.3333333333335,556.1315791549094,599.0,7.937253933193772,0.0,0.0,603.0,50.0,118.66666666666667,1.1547005383792526,1.5372796666666666,0.29827435794974627,-1.0,0.0,0.0,0.0
1,12.071402666666666,0.25533328328350224,-0.4521516666666667,0.026522019556084568,1.6666666666666667,0.5773502691896257,412.0,22.9128784747792,199.66666666666666,1.5275252316519428,21.62962966666667,0.16972540155891003,3.3333333333333335,4.041451884327381,9.0,0.0,9.0,0.0,2690.3333333333335,255.3455175508928,2690.3333333333335,255.3455175508928,612.3333333333334,23.158871590242335,0.0,0.0,603.0,0.0,122.66666666666667,6.429100507328638,2.1446,0.05021276922257918,-1.0,0.0,0.0,0.0
2,13.785817333333334,0.5856830136117439,0.2918133333333333,0.03047551076410914,3.0,0.0,383.3333333333333,36.018513757973594,222.66666666666666,0.5773502691896278,24.222222,0.11111100000000063,1.6666666666666667,0.5773502691896257,9.0,0.0,9.0,0.0,2406.0,75.43871685016919,2406.0,75.43871685016919,607.0,35.510561809129406,0.0,0.0,569.0,28.583211855912904,120.33333333333333,2.88675134594813,1.7144146666666664,0.6686700370334633,-1.0,0.0,0.0,0.0
3,16.341624,1.6555095755389038,1.09154,0.0495849483210378,5.0,0.0,438.0,19.924858845171276,206.0,32.7414110874898,25.648148000000003,2.423097372909517,1.0,0.0,9.0,0.0,8.0,1.7320508075688772,2211.3333333333335,694.5302969153565,2211.3333333333335,694.5302969153565,645.0,15.394804318340652,0.0,0.0,619.0,28.583211855912904,118.66666666666667,4.618802153517004,2.5558063333333334,1.892396054375863,-1.0,0.0,0.0,0.0
4,18.916408666666666,4.640465592505276,1.852013333333333,0.11342016105319788,6.0,0.0,442.3333333333333,20.033305601755632,234.33333333333334,9.291573243177565,25.481481666666667,0.9449891414012812,1.3333333333333333,0.5773502691896257,9.0,0.0,9.0,0.0,2933.3333333333335,58.24374072235853,2933.3333333333335,58.24374072235853,677.6666666666666,28.91942830232531,0.0,0.0,585.6666666666666,76.81362726322286,120.0,5.5677643628300215,2.574785,3.1687329530372232,-1.0,0.0,0.0,0.0
5,20.491646,6.183387913596639,2.7194000000000003,0.11564356575270404,8.0,0.0,405.0,26.888659319497503,243.0,22.60530911091463,26.55555533333333,2.5043170627173654,2.0,1.7320508075688772,9.0,0.0,9.0,0.0,2377.6666666666665,409.77107430043594,2377.6666666666665,409.77107430043594,648.6666666666666,42.52450274057693,0.0,0.0,635.6666666666666,29.160475533388208,122.66666666666667,4.618802153517007,1.5752369999999998,1.5950066709920054,-1.0,0.0,0.0,0.0
6,21.940358333333336,7.014211686230631,3.4718966666666664,0.08633888830262618,9.333333333333334,0.5773502691896255,438.3333333333333,15.011106998930277,225.0,28.0,24.481481333333335,2.9446187006438262,3.3333333333333335,2.3094010767585034,9.0,0.0,9.0,0.0,2557.0,1814.1653728367764,2557.0,1814.1653728367764,664.3333333333334,43.00387579432036,0.0,0.0,602.3333333333334,49.50084174368487,121.66666666666667,3.2145502536643202,1.4487120000000002,1.1889149477641368,-1.0,0.0,0.0,0.0
7,23.629468000000003,8.63124721995634,4.27854,0.09767058308416164,11.0,0.0,412.3333333333333,17.214335111567145,222.33333333333334,19.60442127004348,24.222222333333335,2.2553094939675873,1.6666666666666667,0.5773502691896257,9.0,0.0,9.0,0.0,2401.3333333333335,822.3590051390775,2401.3333333333335,822.3590051390775,635.6666666666666,24.337899115029096,0.0,0.0,619.6666666666666,28.86751345948128,121.33333333333333,2.886751345948127,1.6891096666666667,1.6417452749773132,-1.0,0.0,0.0,0.0
8,24.780846,9.352897061328754,5.0912,0.09402865361154542,13.0,0.0,441.0,65.19969325081216,187.0,19.0,23.333333333333332,3.2565223706612754,1.0,0.0,9.0,0.0,8.0,1.7320508075688772,1950.3333333333333,281.7912939274976,1950.3333333333333,281.7912939274976,629.3333333333334,49.03400180826904,0.0,0.0,602.6666666666666,50.00333322222964,125.33333333333333,5.5075705472861,1.1513783333333334,0.898706398086902,-1.0,0.0,0.0,0.0
9,26.394040666666665,9.611657147264062,5.86729,0.07196226163761124,14.333333333333334,0.5773502691896258,442.6666666666667,52.48174285723877,195.33333333333334,23.072349974229613,22.268518333333333,4.072295534305478,1.0,0.0,9.0,0.0,8.666666666666666,0.5773502691896255,2551.6666666666665,651.4954591809013,2551.6666666666665,651.4954591809013,638.6666666666666,73.51417096950313,0.0,0.0,586.0,76.92203845452875,128.33333333333334,8.082903768654765,1.6131946666666668,0.5053488284802226,-1.0,0.0,0.0,0.0
