Time,Progress_mean,Progress_std
0,9.927,0.298
1,10.648,1.331
2,12.071,0.255
3,13.786,0.586
4,13.786,0.586
5,16.342,1.656
6,18.916,4.64
7,18.916,4.64
8,20.492,6.183
9,21.232,5.862
10,21.94,7.014
11,23.629,8.631
12,23.629,8.631
13,24.781,9.353
14,26.033,10.138
15,26.394,9.612
16,27.723,9.91
17,28.02,9.436
18,30.063,9.4
19,32.183,10.788
20,33.169,9.087
21,35.833,11.45
22,37.092,9.295
23,38.888,11.313
24,39.546,10.24
25,40.938,11.57
26,40.951,11.571
27,42.88,12.548
28,44.474,10.417
29,44.898,11.124
30,46.84,9.106
31,47.992,8.294
32,49.858,6.607
33,49.858,6.607
34,51.066,6.247
35,52.18,6.422
36,53.072,5.745
37,54.381,6.452
38,55.463,4.818
39,58.278,8.213
40,58.816,7.423
41,60.549,10.158
42,61.087,9.457
43,62.327,10.257
44,63.333,10.823
45,63.333,10.823
46,64.295,11.368
47,64.624,11.217
48,65.187,11.427
49,65.667,11.222
50,66.218,10.773
51,67.882,10.391
52,68.027,10.287
53,68.799,9.731
54,68.982,10.003
55,69.969,9.568
56,69.969,9.568
57,71.095,10.222
58,71.095,10.222
59,72.171,11.009
60,72.171,11.009
61,72.582,10.64
62,72.582,10.64
63,73.373,10.006
64,74.252,9.879
65,74.695,9.358
66,75.397,9.378
67,76.087,8.314
68,77.061,8.516
69,77.093,8.464
70,77.833,8.849
71,77.845,8.827
72,78.023,8.936
73,78.13,9.053
74,79.769,6.296
75,79.769,6.296
76,79.826,6.325
77,79.826,6.325
78,79.876,6.352
79,79.876,6.352
80,79.952,6.413
81,79.952,6.413
82,80.117,6.553
83,80.857,5.3
84,81.135,5.495
85,81.989,4.054
86,81.989,4.054
87,82.755,3.329
88,82.755,3.329
89,83.071,2.794
90,83.071,2.794
91,83.153,2.656
92,83.318,2.777
93,83.457,2.542
94,83.457,2.542
95,83.666,2.501
96,83.666,2.501
97,83.817,2.301
98,83.817,2.301
99,83.957,2.063
100,84.039,2.116
101,84.077,2.051
102,84.077,2.051
103,84.153,2.114
104,84.153,2.114
105,84.165,2.092
106,84.235,2.138
107,84.248,2.116
108,84.248,2.116
109,84.324,2.109
110,84.418,2.206
111,84.418,2.206
112,84.57,2.123
113,84.57,2.123
114,84.634,2.196
115,84.634,2.196
116,84.766,2.343
117,84.766,2.343
118,84.887,2.403
119,84.937,2.317
120,85.051,2.388
121,85.127,2.258
122,85.127,2.258
123,85.184,2.16
124,85.582,2.508
125,85.582,2.508
126,85.873,2.348
127,85.873,2.348
128,85.873,2.348
129,85.873,2.348
130,85.873,2.348
131,86.082,2.562
132,86.082,2.562
133,86.133,2.618
134,86.285,2.361
135,86.316,2.398
136,86.373,2.33
137,86.373,2.33
138,86.519,2.416
139,86.519,2.416
140,86.588,2.301
141,86.588,2.301
142,86.588,2.301
143,86.588,2.301
144,86.658,2.187
145,86.658,2.187
146,86.829,2.417
147,86.829,2.417
148,87.17,2.913
149,87.17,2.913
150,87.272,3.067
151,87.341,2.965
152,87.341,2.965
153,87.417,3.007
154,87.417,3.007
155,87.499,2.891
156,87.499,2.891
157,87.518,2.864
158,87.518,2.864
159,87.518,2.864
160,88.132,2.333
161,88.518,2.996
162,88.518,2.996
163,88.518,2.996
164,88.518,2.996
165,88.518,2.996
166,88.543,2.97
167,88.543,2.97
168,88.543,2.97
169,88.543,2.97
170,88.543,2.97
171,88.594,2.919
172,88.594,2.919
173,88.594,2.919
174,88.72,3.137
175,88.765,3.105
176,88.765,3.105
177,88.765,3.105
178,88.904,2.971
179,88.904,2.971
180,89.138,2.779
181,89.138,2.779
182,89.302,2.672
183,89.302,2.672
184,89.435,2.606
185,89.739,2.26
186,89.853,2.188
187,89.853,2.188
188,89.948,2.14
189,89.948,2.14
190,89.948,2.14
191,89.948,2.14
192,89.948,2.14
193,89.948,2.14
194,89.948,2.14
195,90.087,1.976
196,90.087,1.976
197,90.106,1.955
198,90.106,1.955
199,90.106,1.955
200,90.169,1.888
201,90.22,1.855
202,90.22,1.855
203,90.22,1.855
204,90.22,1.855
205,90.365,1.706
206,90.365,1.706
207,90.751,1.456
208,90.751,1.456
209,90.947,1.435
210,91.01,1.338
211,91.01,1.338
212,91.08,1.234
213,91.08,1.234
214,91.08,1.234
215,91.08,1.234
216,91.08,1.234
217,91.08,1.234
218,91.08,1.234
219,91.08,1.234
220,91.08,1.234
221,91.08,1.234
222,91.08,1.234
223,91.08,1.234
224,91.08,1.234
225,91.08,1.234
226,91.124,1.169
227,91.124,1.169
228,91.124,1.169
229,91.124,1.169
230,91.124,1.169
231,91.124,1.169
232,91.124,1.169
233,91.124,1.169
234,91.649,1.437
235,91.649,1.437
236,91.649,1.437
237,91.649,1.437
238,91.649,1.437
239,91.649,1.437
240,91.649,1.437
241,91.649,1.437
242,91.649,1.437
243,91.649,1.437
244,91.649,1.437
245,91.649,1.437
246,91.649,1.437
247,91.649,1.437
248,91.649,1.437
249,91.649,1.437
250,91.649,1.437
251,91.649,1.437
252,92.174,0.54
