Time,Progress_mean,Progress_std
0,9.9,3.932
1,11.0,3.932
2,14.697,3.932
3,15.241,3.37
4,15.241,3.37
5,15.241,3.37
6,16.803,4.111
7,16.803,4.111
8,16.803,4.111
9,17.714,3.119
10,17.714,3.119
11,17.714,3.119
12,17.854,2.999
13,17.854,2.999
14,18.954,4.905
15,20.631,4.199
16,22.193,2.099
17,22.193,2.099
18,22.193,2.099
19,22.193,2.099
20,22.339,2.351
21,25.255,0.47
22,25.255,0.47
23,25.255,0.47
24,25.255,0.47
25,26.932,2.763
26,29.095,2.936
27,30.297,1.023
28,30.297,1.023
29,30.297,1.023
30,31.879,3.719
31,33.479,3.59
32,33.479,3.59
33,33.479,3.59
34,33.479,3.59
35,38.907,7.67
36,38.907,7.67
37,38.907,7.67
38,41.128,6.842
39,41.128,6.842
40,41.128,6.842
41,41.596,6.13
42,44.158,10.227
43,44.158,10.227
44,44.158,10.227
45,46.303,10.078
46,46.303,10.078
47,47.176,9.108
48,47.176,9.108
49,47.176,9.108
50,47.176,9.108
51,47.176,9.108
52,48.207,9.414
53,48.207,9.414
54,49.207,7.752
55,49.883,8.659
56,49.883,8.659
57,49.883,8.659
58,49.883,8.659
59,49.883,8.659
60,49.883,8.659
61,50.921,8.731
62,52.313,9.093
63,52.313,9.093
64,52.313,9.093
65,52.313,9.093
66,52.313,9.093
67,52.313,9.093
68,52.313,9.093
69,53.262,9.682
70,53.262,9.682
71,53.958,10.41
72,53.958,10.41
73,54.362,9.72
74,54.362,9.72
75,54.362,9.72
76,54.502,9.803
77,54.502,9.803
78,55.64,11.156
79,55.64,11.156
80,57.507,8.122
81,57.507,8.122
82,59.063,8.828
83,59.063,8.828
84,59.063,8.828
85,59.221,8.992
86,61.037,5.932
87,61.037,5.932
88,61.037,5.932
89,61.037,5.932
90,61.037,5.932
91,62.144,7.035
92,62.144,7.035
93,62.144,7.035
94,64.016,4.007
95,64.82,5.24
96,65.623,5.275
97,65.623,5.275
98,65.623,5.275
99,66.066,5.891
100,68.154,3.063
101,68.293,2.964
102,68.293,2.964
103,68.293,2.964
104,68.293,2.964
105,68.293,2.964
106,69.786,1.787
107,69.786,1.787
108,69.786,1.787
109,69.931,2.022
110,69.931,2.022
111,69.931,2.022
112,70.988,1.149
113,70.988,1.149
114,70.988,1.149
115,70.988,1.149
116,70.988,1.149
117,72.114,2.287
118,72.19,2.291
119,72.19,2.291
120,73.714,1.183
121,73.714,1.183
122,74.385,2.031
123,75.176,1.08
124,75.176,1.08
125,75.176,1.08
126,75.176,1.08
127,75.872,2.279
128,76.675,2.087
129,76.808,1.871
130,76.808,1.871
131,76.808,1.871
132,76.808,1.871
133,76.953,2.074
134,76.953,2.074
135,76.953,2.074
136,76.953,2.074
137,76.953,2.074
138,77.548,2.383
139,77.548,2.383
140,78.668,1.674
141,78.668,1.674
142,78.668,1.674
143,78.668,1.674
144,78.668,1.674
145,78.668,1.674
146,78.668,1.674
147,78.668,1.674
148,78.668,1.674
149,80.047,1.784
150,80.047,1.784
