Time,Progress_mean,Progress_std
0,11.818,4.74
1,11.818,4.74
2,11.818,4.74
3,14.216,4.422
4,17.759,9.481
5,18.916,8.0
6,18.916,8.0
7,21.852,8.124
8,22.01,8.304
9,22.832,6.915
10,22.832,6.915
11,22.832,6.915
12,25.698,3.598
13,25.977,3.551
14,25.977,3.551
15,25.977,3.551
16,26.59,2.706
17,27.28,3.867
18,28.817,3.93
19,29.595,2.606
20,29.595,2.606
21,32.727,7.456
22,36.269,5.369
23,37.351,3.673
24,37.351,3.673
25,37.667,3.706
26,37.667,3.706
27,39.059,3.035
28,40.28,3.27
29,40.28,3.27
30,40.571,3.58
31,40.736,3.681
32,44.272,2.511
33,44.272,2.511
34,45.094,2.432
35,46.67,0.789
36,46.67,0.789
37,46.67,0.789
38,48.979,3.211
39,49.074,3.132
40,50.149,2.644
41,50.149,2.644
42,51.629,3.609
43,51.629,3.609
44,51.629,3.609
45,52.256,2.991
46,52.256,2.991
47,53.591,3.127
48,53.591,3.127
49,53.711,2.964
50,53.711,2.964
51,54.476,4.232
52,54.476,4.232
53,56.007,3.051
54,56.007,3.051
55,56.007,3.051
56,56.178,3.323
57,56.178,3.323
58,58.588,2.552
59,58.791,2.204
60,59.107,2.459
61,59.107,2.459
62,59.107,2.459
63,59.253,2.607
64,59.329,2.477
65,59.329,2.477
66,59.329,2.477
67,59.329,2.477
68,59.733,2.803
69,59.733,2.803
70,59.733,2.803
71,59.733,2.803
72,60.347,2.475
73,60.347,2.475
74,61.264,3.435
75,61.264,3.435
76,63.504,5.117
77,63.504,5.117
78,63.504,5.117
79,63.504,5.117
80,65.3,6.43
81,65.376,6.302
82,65.376,6.302
83,65.376,6.302
84,65.376,6.302
85,65.376,6.302
86,67.667,5.241
87,67.667,5.241
88,67.667,5.241
89,67.667,5.241
90,67.667,5.241
91,68.571,3.815
92,69.919,4.507
93,69.919,4.507
94,69.919,4.507
95,69.919,4.507
96,69.919,4.507
97,70.039,4.299
98,70.317,4.538
99,70.317,4.538
100,70.317,4.538
101,70.52,4.188
102,70.589,4.253
103,70.589,4.253
104,70.589,4.253
105,72.228,1.472
106,72.228,1.472
107,72.437,1.719
108,72.437,1.719
109,72.437,1.719
110,72.437,1.719
111,72.437,1.719
112,72.437,1.719
113,72.474,1.657
114,72.474,1.657
115,72.5,1.69
116,72.512,1.669
117,72.512,1.669
118,72.512,1.669
119,72.892,1.073
120,72.892,1.073
121,73.202,1.202
122,73.202,1.202
123,73.582,0.566
124,73.582,0.566
125,73.879,1.021
126,73.879,1.021
127,73.986,0.886
128,73.986,0.886
129,73.986,0.886
130,74.531,1.818
131,74.531,1.818
132,74.537,1.811
133,74.537,1.811
134,74.537,1.811
135,74.537,1.811
136,74.568,1.866
137,74.6,1.835
138,74.6,1.835
139,74.6,1.835
140,74.6,1.835
141,74.682,1.977
142,74.765,1.901
143,74.765,1.901
144,74.765,1.901
145,74.765,1.901
146,75.423,3.041
147,75.423,3.041
148,75.77,2.787
149,75.77,2.787
150,75.77,2.787
151,75.979,3.143
152,76.523,2.946
153,76.523,2.946
154,76.523,2.946
155,76.523,2.946
156,76.764,2.952
157,76.776,2.97
158,76.776,2.97
159,76.776,2.97
160,76.776,2.97
161,77.137,3.085
162,77.137,3.085
163,77.751,2.105
164,77.751,2.105
165,77.751,2.105
166,77.751,2.105
167,77.902,2.162
168,77.902,2.162
169,77.902,2.162
170,78.162,2.495
171,78.162,2.495
172,79.161,1.369
173,79.161,1.369
174,79.161,1.369
175,79.263,1.512
176,79.263,1.512
177,79.282,1.514
178,79.282,1.514
179,79.282,1.514
180,79.282,1.514
181,79.49,1.803
182,79.49,1.803
183,79.49,1.803
184,79.49,1.803
185,79.598,1.699
186,79.864,2.112
187,79.864,2.112
188,79.876,2.109
189,79.876,2.109
190,79.876,2.109
191,79.876,2.109
192,79.876,2.109
193,80.174,1.72
194,80.351,1.66
195,80.351,1.66
196,80.699,2.225
197,80.699,2.225
198,80.699,2.225
199,81.198,2.208
200,81.635,1.518
201,81.667,1.566
202,81.667,1.566
203,81.667,1.566
204,81.698,1.566
205,81.755,1.651
206,81.755,1.651
207,81.755,1.651
208,81.774,1.651
209,81.901,1.843
210,81.901,1.843
211,82.04,1.645
212,82.04,1.645
213,82.04,1.645
214,82.122,1.778
215,82.122,1.778
216,82.122,1.778
217,82.16,1.839
218,82.559,1.385
219,82.559,1.385
220,82.559,1.385
221,82.559,1.385
222,82.559,1.385
223,82.559,1.385
224,82.736,1.237
225,82.742,1.247
226,82.742,1.247
227,82.742,1.247
228,82.742,1.247
229,82.742,1.247
230,83.558,1.539
231,83.558,1.539
232,83.558,1.539
233,83.558,1.539
234,83.571,1.555
235,83.571,1.555
236,83.571,1.555
