Time,Progress_mean,Progress_std
0,12.255,1.841
1,12.255,1.841
2,12.255,1.841
3,12.255,1.841
4,17.854,7.446
5,19.018,6.142
6,19.018,6.142
7,19.018,6.142
8,20.688,5.496
9,22.927,9.033
10,23.908,7.841
11,23.908,7.841
12,23.908,7.841
13,24.616,7.517
14,26.192,10.134
15,27.153,9.054
16,27.153,9.054
17,27.153,9.054
18,28.52,8.396
19,28.52,8.396
20,28.709,8.141
21,28.868,8.399
22,28.868,8.399
23,28.868,8.399
24,31.563,8.827
25,32.474,7.274
26,32.72,7.563
27,32.72,7.563
28,32.72,7.563
29,32.72,7.563
30,32.72,7.563
31,32.72,7.563
32,33.144,8.087
33,37.566,5.559
34,37.566,5.559
35,37.566,5.559
36,37.566,5.559
37,38.553,6.411
38,38.553,6.411
39,39.388,7.107
40,41.008,4.313
41,41.008,4.313
42,41.008,4.313
43,41.008,4.313
44,42.007,5.247
45,44.051,7.219
46,45.544,4.798
47,45.544,4.798
48,47.094,5.682
49,47.094,5.682
50,47.094,5.682
51,47.094,5.682
52,50.111,0.522
53,51.459,2.8
54,51.857,2.588
55,51.857,2.588
56,51.857,2.588
57,51.857,2.588
58,51.857,2.588
59,53.704,2.094
60,54.527,0.696
61,54.527,0.696
62,56.513,3.637
63,56.513,3.637
64,56.513,3.637
65,57.987,3.694
66,57.987,3.694
67,57.987,3.694
68,58.753,4.636
69,60.094,2.613
70,60.853,2.708
71,60.853,2.708
72,60.853,2.708
73,60.853,2.708
74,60.853,2.708
75,61.676,3.808
76,62.08,3.205
77,62.08,3.205
78,63.845,4.279
79,63.845,4.279
80,63.845,4.279
81,63.845,4.279
82,64.364,4.641
83,64.364,4.641
84,64.364,4.641
85,65.376,5.745
86,65.376,5.745
87,65.376,5.745
88,65.535,5.483
89,66.262,5.895
90,66.262,5.895
91,66.351,5.985
92,66.351,5.985
93,66.351,5.985
94,66.351,5.985
95,66.756,6.301
96,66.756,6.301
97,67.205,6.52
98,67.205,6.52
99,67.205,6.52
100,67.205,6.52
101,67.205,6.52
102,67.205,6.52
103,67.205,6.52
104,67.958,7.35
105,68.47,7.648
106,68.47,7.648
107,69.292,6.238
108,69.292,6.238
109,69.292,6.238
110,69.773,6.584
111,69.855,6.661
112,69.855,6.661
113,69.855,6.661
114,69.855,6.661
115,69.855,6.661
116,69.855,6.661
117,69.855,6.661
118,71.203,5.886
119,71.203,5.886
120,71.203,5.886
121,71.203,5.886
122,71.203,5.886
123,71.203,5.886
124,71.203,5.886
125,71.228,5.91
126,71.228,5.91
127,71.677,6.299
128,71.677,6.299
129,73.797,2.641
130,74.341,3.126
131,74.341,3.126
132,74.341,3.126
133,74.341,3.126
134,74.341,3.126
135,74.341,3.126
136,74.853,3.652
137,74.853,3.652
138,74.853,3.652
139,74.853,3.652
140,74.853,3.652
141,74.853,3.652
142,75.144,3.879
143,75.144,3.879
144,75.144,3.879
145,75.188,3.804
146,75.188,3.804
147,75.188,3.804
148,75.226,3.849
149,75.258,3.865
150,75.258,3.865
151,75.258,3.865
