Iteration,Progress_mean,Progress_std,TrajectoryLength_mean,TrajectoryLength_std,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Planner_mean,Planner_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std,ClusterTime_mean,ClusterTime_std,NbvMemory_mean,NbvMemory_std
0,13.981931000000001,2.9168901024675247,5.718583333333334,0.9170957030394009,0.0,0.0,8835.333333333334,10246.483949791427,218.33333333333334,27.934447074057744,21.266666666666666,2.7392213005402337,0.0,0.0,67.33333333333333,89.84616482261963,10.0,0.0,4679.0,342.75501455120974,608.9227099999999,38.54024102017221,9054.333333333334,10220.154320426544,1.0,0.0,1669.6666666666667,103.84764481360823,113.0,1.7320508075688772,5.592408,2.9168901024675233,1190.0,16.522711641858304,0.0,0.0
1,19.422509333333334,3.888299402638167,9.348463333333333,0.8965383819075079,18.333333333333332,23.115651263447745,6996.333333333333,6001.41286142966,204.33333333333334,5.033222956847164,19.933333333333334,0.4725815626252622,0.0,0.0,52.333333333333336,49.23751956926073,10.0,0.0,4839.666666666667,277.70547948020993,1377.3437386666667,347.24798593588247,7201.666666666667,6002.552151654606,1.0,0.0,1302.6666666666667,327.3382552243678,111.0,5.291502622129181,5.440577666666667,1.1186741194987633,1010.6666666666666,77.51343969488991,0.0,0.0
2,24.837782,8.6788426435708,14.590966666666667,0.9921720230551416,27.333333333333332,20.526405757787536,4801.666666666667,3743.3944934154792,218.0,19.0,21.266666666666666,1.8009256878986792,0.0,0.0,36.0,32.2335229225724,10.0,0.0,4927.0,119.57842614786331,1025.1971993333334,369.01918062853326,5020.0,3758.039914636352,1.0,0.0,1419.0,407.4518376446473,112.0,6.244997998398398,5.415273,4.792628807538614,861.3333333333334,111.7914725430045,0.0,0.0
3,30.847723000000002,12.427282062959545,18.4026,1.6582512807171272,34.0,19.078784028338912,3830.6666666666665,2114.7038405727963,213.66666666666666,26.083200212652844,20.900000000000002,2.68514431641951,0.0,0.0,29.666666666666668,17.243356208503418,10.0,0.0,4159.333333333333,728.055858662873,1094.0533256666665,86.79459463150575,4045.3333333333335,2103.569902174238,1.0,0.0,1268.3333333333333,103.92465219250599,110.66666666666667,3.5118845842842483,6.009941,4.22277789086722,728.6666666666666,146.87523049627305,0.0,0.0
4,34.99141933333333,13.251637785922398,23.391333333333336,3.900963061006004,39.666666666666664,18.77054430040145,5375.666666666667,1375.619617966149,222.66666666666666,17.61628034896508,21.8,1.7521415467935235,0.0,0.0,40.666666666666664,11.71893055416463,10.0,0.0,4160.666666666667,779.3082402575591,974.2996956666666,460.12432192319744,5599.0,1376.1119140535045,1.0,0.0,1235.3333333333333,322.23335229819605,112.33333333333333,3.78593889720018,4.143696333333334,4.495536579660356,628.6666666666666,192.53657661164888,0.0,0.0
5,39.755088,13.410348619469255,28.924966666666666,3.72081154364654,47.0,19.974984355438178,8968.333333333334,3864.2950629232923,221.0,28.053520278211074,21.633333333333336,2.8095076674273978,0.0,0.0,77.33333333333333,34.31229128655406,10.0,0.0,4366.333333333333,723.5069684068934,811.599566,235.60813237518286,9190.0,3872.204927428299,1.0,0.0,1352.0,86.60254037844386,115.0,2.6457513110645907,4.763668666666667,0.7241834688981333,564.0,206.41947582532032,0.0,0.0
6,47.953912333333335,14.942087137336415,34.434000000000005,4.970473019743694,58.0,16.822603841260722,7356.333333333333,2138.581383378555,225.66666666666666,14.502873278538058,22.066666666666666,1.4502873278538049,0.0,0.0,58.333333333333336,16.743157806499145,10.0,0.0,4838.333333333333,280.0148805569686,914.8617043333334,235.047759680399,7583.0,2137.508128639515,1.0,0.0,1485.3333333333333,236.2907813126304,116.33333333333333,5.0332229568471645,8.198824333333333,2.702391518945087,499.3333333333333,198.52539719978736,0.0,0.0
7,52.59738266666667,16.67454839728244,42.16526666666667,3.769741750217557,67.0,15.132745950421556,8731.333333333334,5818.6129217652315,230.33333333333334,29.263173671584795,22.566666666666666,2.8711205710198473,0.0,0.0,70.66666666666667,46.91836882643442,10.0,0.0,4575.0,473.2599708405519,610.6851636666667,153.26245871582344,8962.333333333334,5793.599945917334,1.0,0.0,2002.3333333333333,576.6717726170871,116.0,6.244997998398398,4.64347,6.957970158901516,385.3333333333333,192.68194864421872,0.0,0.0
8,54.976053666666665,18.600447315626322,46.93276666666667,3.645750849047885,78.66666666666667,16.072751268321593,5168.0,858.1101327918229,245.0,31.953090617340916,24.03333333333333,3.2129944496269127,0.0,0.0,41.333333333333336,5.507570547286101,10.0,0.0,3183.3333333333335,332.3406886514699,1141.365965,737.1524463036129,5413.666666666667,831.37616836985,1.0,0.0,1285.6666666666667,585.576923497958,116.33333333333333,8.621678104251707,2.3786713333333336,1.9541055542547676,337.6666666666667,212.50254900431977,0.0,0.0
9,58.063265666666666,18.58122753539325,55.226733333333335,2.5423724045334777,86.0,14.933184523068078,6602.666666666667,3260.04437597609,239.0,27.874719729532707,23.400000000000002,2.7784887978899615,0.0,0.0,54.666666666666664,29.022979401386987,10.0,0.0,4286.0,714.9258702830665,658.8406836666667,312.75308812444075,6841.666666666667,3264.974170392981,1.0,0.0,2002.3333333333333,1043.7913265271623,119.33333333333333,9.018499505645787,3.0872116666666667,1.2343978590998665,305.6666666666667,227.25389618955566,0.0,0.0
