Time,Progress_mean,Progress_std
0,13.982,2.917
1,13.982,2.917
2,13.982,2.917
3,13.982,2.917
4,15.399,2.626
5,15.399,2.626
6,17.556,5.785
7,17.556,5.785
8,17.556,5.785
9,17.556,5.785
10,18.075,5.704
11,18.075,5.704
12,18.075,5.704
13,18.075,5.704
14,18.075,5.704
15,18.075,5.704
16,18.499,5.742
17,18.499,5.742
18,18.499,5.742
19,18.499,5.742
20,18.499,5.742
21,18.499,5.742
22,22.092,11.36
23,22.44,11.246
24,22.44,11.246
25,22.44,11.246
26,22.44,11.246
27,22.44,11.246
28,22.44,11.246
29,22.44,11.246
30,24.053,11.134
31,24.053,11.134
32,27.178,15.879
33,27.178,15.879
34,27.178,15.879
35,27.178,15.879
36,27.874,16.99
37,27.874,16.99
38,27.874,16.99
39,27.874,16.99
40,27.874,16.99
41,27.874,16.99
42,29.69,19.94
43,29.69,19.94
44,29.69,19.94
45,34.099,16.788
46,34.099,16.788
47,34.099,16.788
48,34.099,16.788
49,34.099,16.788
50,35.403,14.968
51,35.403,14.968
52,39.116,21.091
53,39.116,21.091
54,41.577,18.332
55,41.779,18.189
56,41.779,18.189
57,41.779,18.189
58,41.779,18.189
59,41.779,18.189
60,44.879,15.609
61,44.879,15.609
62,45.094,15.977
63,45.094,15.977
64,45.094,15.977
65,45.094,15.977
66,45.094,15.977
67,46.41,18.229
68,46.41,18.229
69,47.745,17.504
70,47.745,17.504
71,47.745,17.504
72,47.808,17.426
73,47.808,17.426
74,47.808,17.426
75,48.435,18.476
76,48.435,18.476
77,50.377,17.853
78,50.377,17.853
79,50.377,17.853
80,51.389,16.455
81,51.389,16.455
82,51.389,16.455
83,51.389,16.455
84,55.615,16.938
85,55.615,16.938
86,57.367,19.16
87,59.588,15.609
88,59.588,15.609
89,59.588,15.609
90,59.588,15.609
91,60.777,17.34
92,60.777,17.34
93,60.777,17.34
94,60.777,17.34
95,60.777,17.34
96,60.777,17.34
97,62.732,18.808
98,62.732,18.808
99,62.732,18.808
100,62.732,18.808
101,64.117,16.692
102,64.117,16.692
103,67.831,20.096
104,68.97,18.386
105,68.97,18.386
106,68.97,18.386
107,68.97,18.386
108,69.47,17.653
109,69.47,17.653
110,69.47,17.653
111,69.558,17.79
112,70.33,16.971
113,70.33,16.971
114,70.33,16.971
115,70.33,16.971
116,70.33,16.971
117,70.33,16.971
118,70.33,16.971
119,70.33,16.971
120,70.779,16.941
121,70.779,16.941
122,70.779,16.941
123,70.779,16.941
124,72.297,14.746
125,72.297,14.746
126,72.348,14.827
127,72.348,14.827
128,74.613,11.894
129,74.613,11.894
130,74.613,11.894
131,74.739,12.108
132,74.739,12.108
133,75.359,11.824
134,75.359,11.824
135,75.359,11.824
136,75.359,11.824
137,77.409,10.296
138,77.409,10.296
139,77.409,10.296
140,77.409,10.296
141,77.409,10.296
142,77.909,9.957
143,77.909,9.957
144,77.909,9.957
145,77.909,9.957
146,78.826,9.037
147,79.712,9.031
148,79.712,9.031
149,79.712,9.031
150,79.712,9.031
151,80.389,8.373
152,80.49,8.548
153,81.894,7.665
154,81.894,7.665
155,81.894,7.665
156,81.894,7.665
157,81.894,7.665
158,81.894,7.665
159,82.388,7.519
160,82.388,7.519
161,82.963,6.745
162,83.134,6.691
163,83.134,6.691
164,83.153,6.722
165,83.153,6.722
166,83.153,6.722
167,85.298,4.512
168,86.0,3.83
169,86.0,3.83
170,86.228,4.224
171,86.228,4.224
172,86.228,4.224
173,86.228,4.224
174,86.228,4.224
175,86.348,4.195
176,86.348,4.195
177,86.348,4.195
178,86.348,4.195
179,86.348,4.195
180,86.373,4.239
181,86.993,3.815
182,86.993,3.815
183,86.993,3.815
184,86.993,3.815
185,86.993,3.815
186,86.993,3.815
187,87.025,3.867
188,87.132,3.822
189,87.132,3.822
190,87.518,3.362
191,87.563,3.437
192,87.563,3.437
193,87.563,3.437
194,87.582,3.416
195,87.601,3.405
196,87.601,3.405
197,87.601,3.405
198,87.613,3.426
199,87.613,3.426
200,87.613,3.426
201,88.36,3.069
202,88.36,3.069
203,88.385,3.108
204,88.385,3.108
205,88.385,3.108
206,88.385,3.108
207,88.625,2.77
208,88.625,2.77
209,88.625,2.77
210,88.625,2.77
211,88.625,2.77
212,88.746,2.748
213,88.746,2.748
214,88.777,2.798
215,89.125,2.324
216,89.125,2.324
217,89.125,2.324
218,89.125,2.324
219,89.144,2.318
220,89.144,2.318
221,89.144,2.318
222,89.144,2.318
223,89.22,2.443
224,89.22,2.443
225,89.22,2.443
226,89.22,2.443
227,89.777,1.855
228,89.777,1.855
229,89.821,1.814
230,89.821,1.814
231,89.821,1.814
232,89.821,1.814
233,89.821,1.814
234,89.821,1.814
235,89.821,1.814
236,89.859,1.784
237,90.125,1.607
238,90.125,1.607
239,90.125,1.607
240,90.125,1.607
241,90.163,1.566
242,90.163,1.566
243,90.163,1.566
244,90.163,1.566
245,90.163,1.566
246,90.163,1.566
247,90.321,1.414
248,90.321,1.414
249,90.416,1.578
250,90.416,1.578
251,90.909,1.368
252,90.909,1.368
253,90.909,1.368
254,90.909,1.368
255,90.953,1.3
256,91.004,1.305
257,91.004,1.305
258,91.004,1.305
259,91.004,1.305
260,91.004,1.305
261,91.004,1.305
