Time,Progress_mean,Progress_std
0,13.071,2.583
1,13.071,2.583
2,13.071,2.583
3,13.299,2.199
4,13.299,2.199
5,18.107,6.635
6,18.107,6.635
7,18.107,6.635
8,18.107,6.635
9,18.107,6.635
10,22.649,12.755
11,23.009,12.26
12,23.009,12.26
13,23.009,12.26
14,23.009,12.26
15,23.009,12.26
16,24.3,10.958
17,27.02,15.466
18,27.02,15.466
19,27.02,15.466
20,27.02,15.466
21,27.761,15.166
22,29.266,16.955
23,29.266,16.955
24,29.266,16.955
25,29.266,16.955
26,29.266,16.955
27,30.531,15.468
28,33.29,14.798
29,33.29,14.798
30,33.29,14.798
31,33.29,14.798
32,34.074,16.029
33,34.074,16.029
34,34.074,16.029
35,35.883,15.868
36,35.883,15.868
37,36.459,16.699
38,36.459,16.699
39,36.459,16.699
40,36.459,16.699
41,36.459,16.699
42,37.655,17.79
43,39.856,14.493
44,39.856,14.493
45,39.856,14.493
46,40.324,15.225
47,40.324,15.225
48,40.324,15.225
49,40.324,15.225
50,42.501,12.334
51,44.101,15.031
52,44.101,15.031
53,44.101,15.031
54,48.365,11.478
55,48.365,11.478
56,48.365,11.478
57,48.365,11.478
58,48.365,11.478
59,49.89,14.03
60,49.89,14.03
61,49.89,14.03
62,49.89,14.03
63,49.89,14.03
64,49.89,14.03
65,50.484,13.772
66,50.484,13.772
67,51.136,14.852
68,52.42,13.335
69,52.42,13.335
70,52.42,13.335
71,52.926,13.055
72,52.926,13.055
73,55.944,10.215
74,56.52,11.202
75,56.52,11.202
76,56.52,11.202
77,56.653,11.062
78,56.653,11.062
79,57.241,10.861
80,57.241,10.861
81,57.241,10.861
82,57.241,10.861
83,57.241,10.861
84,57.5,10.57
85,58.07,10.539
86,58.07,10.539
87,58.07,10.539
88,58.639,9.89
89,58.639,9.89
90,58.639,9.89
91,60.784,11.546
92,60.784,11.546
93,60.784,11.546
94,60.784,11.546
95,60.859,11.454
96,60.859,11.454
97,62.776,14.008
98,62.776,14.008
99,62.776,14.008
100,62.776,14.008
101,62.776,14.008
102,62.776,14.008
103,62.96,13.792
104,64.244,14.012
105,64.244,14.012
106,64.244,14.012
107,65.041,13.019
108,65.041,13.019
109,65.364,12.875
110,65.364,12.875
111,65.75,13.518
112,67.812,11.254
113,68.002,11.107
114,68.002,11.107
115,68.002,11.107
116,68.002,11.107
117,68.293,11.609
118,69.874,10.333
119,69.874,10.333
120,69.874,10.333
121,69.874,10.333
122,69.874,10.333
123,69.874,10.333
124,71.848,10.216
