Iteration,Progress_mean,Progress_std,TrajectoryLength_mean,TrajectoryLength_std,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Planner_mean,Planner_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std,ClusterTime_mean,ClusterTime_std,NbvMemory_mean,NbvMemory_std
0,11.546323666666666,1.7814108227248806,3.5606866666666668,1.2448507139947877,0.0,0.0,2642.3333333333335,465.1067977715799,205.66666666666666,14.22439219556791,20.133333333333336,1.2741009902410934,0.0,0.0,48.333333333333336,5.507570547286102,10.0,0.0,4993.666666666667,10.969655114603022,927.9003549999999,201.95724365700963,2849.3333333333335,451.2940652538357,1.0,0.0,1607.0,525.5825339563711,120.0,4.58257569495584,3.156800666666667,1.78141082272488,-1.0,0.0,0.0,0.0
1,16.613653,2.1557678184060083,9.498366666666668,1.1031718592011548,5.0,0.0,2834.6666666666665,423.8895296339995,201.0,10.44030650891055,19.666666666666668,0.9073771725877464,0.0,0.0,50.666666666666664,9.291573243177568,10.0,0.0,4212.333333333333,1364.2786860950857,724.3362023333333,155.17573502949003,3036.3333333333335,433.71457588295715,1.0,0.0,1585.6666666666667,305.9417155821241,120.33333333333333,10.214368964029708,5.067329,3.93661748034007,-1.0,0.0,0.0,0.0
2,21.877095999999998,2.118690509668884,15.070766666666666,2.9965384184644335,9.666666666666666,1.1547005383792515,2835.0,289.04497919873995,188.0,26.457513110645905,18.366666666666667,2.759226944876649,0.0,0.0,51.666666666666664,5.507570547286101,10.0,0.0,5000.0,0.0,979.1641500000001,352.84754858120846,3023.6666666666665,300.1505177962105,1.0,0.0,1419.0,275.8930952379925,102.33333333333333,1.5275252316519463,5.263443,3.413557581316155,-1.0,0.0,0.0,0.0
3,24.711257,3.956468315112859,19.501433333333335,1.5760362696757124,14.333333333333334,1.5275252316519468,3506.3333333333335,844.2868785746545,171.66666666666666,2.5166114784235836,16.7,0.36055512754639996,0.0,0.0,65.0,17.05872210923198,10.0,0.0,4838.0,280.59223082615813,1198.821243,482.3809886127643,3679.0,846.7520298174667,1.0,0.0,1268.6666666666667,57.73502691896256,109.66666666666667,7.234178138070236,2.8341616666666667,2.431159133889498,-1.0,0.0,0.0,0.0
4,29.49390466666667,5.029873202060897,25.9105,2.529314078955004,20.0,1.7320508075688772,3556.0,855.661732228338,183.0,10.0,17.866666666666664,0.9609023536933043,0.0,0.0,62.666666666666664,20.231987873991358,10.0,0.0,5000.0,0.0,864.6957443333334,310.6385099514686,3740.0,864.2956670029071,1.0,0.0,1535.3333333333333,332.9164059239697,105.66666666666667,1.5275252316519452,4.782647666666667,2.2433504566251643,-1.0,0.0,0.0,0.0
5,36.68052866666667,3.655583958287967,34.48243333333333,5.463120743982633,25.666666666666668,1.1547005383792517,2429.3333333333335,709.0488934716232,172.0,9.0,16.766666666666666,0.8020806277010637,0.0,0.0,42.666666666666664,12.583057392117917,10.0,0.0,4516.666666666667,618.2502190321758,572.6687946666667,224.3821155527402,2602.3333333333335,700.4864976095779,1.0,0.0,2252.0,695.522106046961,112.66666666666667,9.60902353693305,7.186623999999999,1.8471251543815324,-1.0,0.0,0.0,0.0
6,43.77858533333333,5.2007460986290575,42.10046666666667,5.754513343744486,30.666666666666668,0.5773502691896255,4299.666666666667,1448.9673334251995,196.66666666666666,10.50396750439249,19.233333333333334,1.10151410945722,0.0,0.0,80.0,25.514701644346147,10.0,0.0,4902.333333333333,169.16362887256022,644.6698606666668,43.600226731314976,4497.333333333333,1450.1428665249964,1.0,0.0,1685.6666666666667,29.160475533388208,112.0,1.0,7.098056666666667,2.536062516270514,-1.0,0.0,0.0,0.0
7,47.213741,4.054190769242243,48.175000000000004,8.352444784013842,37.333333333333336,1.5275252316519456,3564.3333333333335,364.01968811224117,190.66666666666666,17.50238079043343,18.599999999999998,1.6522711641858305,0.0,0.0,64.66666666666667,9.073771725877467,10.0,0.0,3611.0,748.9599455244586,683.0963573333333,245.37931896877623,3755.6666666666665,378.90148235832135,1.0,0.0,1752.3333333333333,567.5388386122428,110.66666666666667,2.081665999466131,3.4351556666666667,1.7214268339730077,-1.0,0.0,0.0,0.0
8,51.091734,5.659745124017599,57.82606666666667,4.805430738584557,43.0,2.0,3118.3333333333335,100.55015332327119,190.33333333333334,14.189197769195172,18.53333333333333,1.4843629385474892,0.0,0.0,53.0,4.58257569495584,10.0,0.0,3483.0,1335.9539662727905,383.44692000000003,60.381391670442085,3309.6666666666665,97.02748751427774,1.0,0.0,1968.3333333333333,475.7103460440327,113.66666666666667,2.516611478423583,3.8779936666666663,4.607280296608872,-1.0,0.0,0.0,0.0
9,53.99548433333333,2.99678144859453,65.98596666666667,4.286282930854349,48.666666666666664,2.3094010767585034,4142.666666666667,1084.546141634063,198.33333333333334,8.08290376865476,19.333333333333332,0.8082903768654758,0.0,0.0,72.66666666666667,16.86218649325565,10.0,0.0,4110.0,911.1920763483405,500.287713,78.86224760057502,4342.0,1090.6818967966783,1.0,0.0,2219.3333333333335,251.5955749478383,115.66666666666667,2.309401076758502,2.9037503333333334,2.86893357689601,-1.0,0.0,0.0,0.0
10,54.836876,4.075148430823592,78.0466,5.344717748394206,55.666666666666664,3.511884584284247,2586.3333333333335,610.9438053809313,181.66666666666666,15.885003409925138,17.7,1.7320508075688772,0.0,0.0,47.666666666666664,11.846237095944574,10.0,0.0,4479.333333333333,581.3857010052218,396.036503,126.60889785984489,2768.3333333333335,595.3489173025624,1.0,0.0,1451.0,1277.4400181613225,76.33333333333333,67.00248751601193,0.8413916666666665,1.2807970701537121,-1.0,0.0,0.0,0.0
