Time,Progress_mean,Progress_std
0,11.546,1.781
1,11.546,1.781
2,11.546,1.781
3,11.546,1.781
4,11.546,1.781
5,16.614,2.156
6,16.614,2.156
7,16.614,2.156
8,16.614,2.156
9,20.795,3.92
10,20.795,3.92
11,21.877,2.119
12,21.877,2.119
13,22.7,3.356
14,24.509,4.302
15,24.509,4.302
16,24.711,3.956
17,24.711,3.956
18,24.711,3.956
19,28.267,7.102
20,28.267,7.102
21,28.267,7.102
22,29.494,5.03
23,29.494,5.03
24,29.494,5.03
25,33.612,8.635
26,33.612,8.635
27,36.681,3.656
28,36.681,3.656
29,36.681,3.656
30,38.136,4.368
31,43.779,5.201
32,43.779,5.201
33,43.779,5.201
34,43.779,5.201
35,43.779,5.201
36,44.816,4.533
37,46.581,3.027
38,46.581,3.027
39,47.214,4.054
40,47.214,4.054
41,47.517,3.684
42,47.517,3.684
43,50.579,5.436
44,50.579,5.436
45,51.092,5.66
46,53.16,2.25
47,53.16,2.25
48,53.16,2.25
49,53.16,2.25
50,53.995,2.997
51,53.995,2.997
52,54.065,2.889
53,54.065,2.889
54,54.065,2.889
55,54.065,2.889
56,54.837,4.075
57,55.406,3.344
58,55.406,3.344
59,55.406,3.344
60,55.406,3.344
61,55.862,4.118
62,55.862,4.118
63,55.862,4.118
64,56.925,3.141
65,56.925,3.141
66,56.925,3.141
67,57.228,3.666
68,57.228,3.666
69,57.367,3.539
70,57.741,3.264
71,57.741,3.264
72,57.741,3.264
73,57.741,3.264
74,58.063,2.938
75,59.873,3.108
76,59.873,3.108
77,59.873,3.108
78,59.873,3.108
79,59.873,3.108
80,60.252,2.452
81,60.252,2.452
82,60.252,2.452
83,60.252,2.452
84,60.822,3.123
85,60.822,3.123
86,60.822,3.123
87,60.822,3.123
88,60.822,3.123
89,63.244,1.648
90,63.776,2.025
91,63.776,2.025
92,63.776,2.025
93,63.776,2.025
94,64.529,0.746
95,64.529,0.746
96,65.041,1.528
97,65.041,1.528
98,65.901,0.915
99,65.901,0.915
100,66.92,2.535
101,66.92,2.535
102,66.92,2.535
103,69.235,3.043
104,69.235,3.043
105,71.057,1.414
106,71.057,1.414
107,71.911,0.319
108,71.911,0.319
109,71.911,0.319
110,71.911,0.319
111,72.386,0.969
112,72.879,0.659
113,73.506,0.505
114,73.506,0.505
115,73.506,0.505
116,73.733,0.61
117,74.258,0.543
118,74.258,0.543
119,74.258,0.543
120,74.258,0.543
121,74.258,0.543
122,74.84,0.85
123,74.84,0.85
124,74.98,0.696
125,74.98,0.696
126,74.98,0.696
127,74.98,0.696
128,76.947,2.136
129,77.118,1.85
130,77.118,1.85
131,77.118,1.85
132,77.118,1.85
133,77.403,2.047
134,77.403,2.047
135,77.403,2.047
136,77.403,2.047
137,77.403,2.047
138,77.485,2.105
139,77.586,2.208
140,77.586,2.208
141,77.586,2.208
142,77.586,2.208
143,77.586,2.208
144,77.751,2.329
145,77.751,2.329
146,78.004,2.586
147,78.004,2.586
148,78.004,2.586
149,78.004,2.586
150,78.377,3.042
151,78.478,3.079
152,78.478,3.079
153,78.478,3.079
154,78.478,3.079
155,78.478,3.079
156,78.51,3.093
157,78.598,3.203
158,78.598,3.203
159,78.598,3.203
160,78.864,3.337
161,78.864,3.337
162,78.864,3.337
163,78.864,3.337
164,78.946,3.429
165,79.212,3.604
166,79.212,3.604
167,79.212,3.604
168,79.212,3.604
169,79.901,2.762
170,79.914,2.773
171,79.914,2.773
172,79.914,2.773
173,80.357,3.21
174,80.357,3.21
175,80.8,2.586
176,80.8,2.586
177,80.8,2.586
178,80.8,2.586
179,81.066,2.91
180,82.445,0.97
181,82.445,0.97
182,82.445,0.97
183,82.445,0.97
184,82.445,0.97
185,82.767,0.697
186,82.767,0.697
187,82.887,0.904
188,82.887,0.904
189,82.887,0.904
190,82.887,0.904
191,83.141,0.829
192,83.178,0.77
193,83.178,0.77
194,83.178,0.77
195,83.178,0.77
196,83.178,0.77
197,84.02,1.953
198,84.02,1.953
199,84.02,1.953
200,84.02,1.953
201,84.02,1.953
202,84.07,1.934
203,84.368,2.427
204,84.368,2.427
205,84.368,2.427
206,84.368,2.427
207,85.69,1.811
208,86.373,0.693
209,86.373,0.693
210,86.519,0.922
211,86.563,0.913
212,86.563,0.913
213,86.576,0.895
214,86.607,0.945
215,86.607,0.945
216,86.607,0.945
217,86.943,0.588
218,86.943,0.588
219,87.215,0.443
220,87.215,0.443
221,87.215,0.443
222,87.341,0.249
223,87.341,0.249
224,87.575,0.431
225,87.575,0.431
226,87.575,0.431
227,87.639,0.332
228,87.639,0.332
229,87.67,0.338
230,87.67,0.338
231,87.67,0.338
232,87.79,0.326
233,87.79,0.326
234,87.79,0.326
235,87.816,0.323
236,87.816,0.323
237,88.012,0.64
238,88.069,0.575
239,88.069,0.575
240,88.069,0.575
241,88.069,0.575
242,88.113,0.651
243,88.246,0.536
244,88.246,0.536
245,88.246,0.536
246,88.246,0.536
247,88.246,0.536
248,88.284,0.514
249,88.442,0.712
250,88.442,0.712
251,88.442,0.712
252,88.442,0.712
253,88.442,0.712
254,88.442,0.712
255,88.448,0.708
256,88.448,0.708
257,88.448,0.708
258,88.606,0.98
259,88.657,0.932
260,88.796,0.842
261,88.796,0.842
262,88.796,0.842
263,88.796,0.842
264,88.828,0.804
265,88.828,0.804
266,88.828,0.804
267,88.828,0.804
268,88.878,0.89
269,89.075,0.789
270,89.075,0.789
271,89.075,0.789
272,89.075,0.789
273,89.081,0.798
274,89.1,0.771
