Iteration,Progress_mean,Progress_std,TrajectoryLength_mean,TrajectoryLength_std,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Planner_mean,Planner_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std,ClusterTime_mean,ClusterTime_std,NbvMemory_mean,NbvMemory_std
0,15.221877000000001,7.680022501413977,4.049956666666667,0.8256912943911503,0.0,0.0,3387.0,911.7187066195362,215.33333333333334,8.02080627701064,21.066666666666666,0.8082903768654768,0.0,0.0,64.66666666666667,4.163331998932267,10.0,0.0,3754.6666666666665,2156.980605692442,-1.0,0.0,3603.6666666666665,906.8651130864685,1.0,0.0,1370.3333333333333,74.84873635094536,115.66666666666667,5.0332229568471645,6.832353666666667,7.6800219478684,-1.0,0.0,0.0,0.0
1,17.474023,9.308232527904963,7.6238,2.678335818302104,5.333333333333333,1.1547005383792515,4054.0,466.8093829391179,214.66666666666666,3.2145502536643145,21.033333333333335,0.46188021535170154,0.0,0.0,69.0,3.4641016151377544,10.0,0.0,3014.3333333333335,1713.7573729479132,-1.0,0.0,4269.666666666667,463.601481159555,1.0,0.0,1152.6666666666667,349.42858116263665,114.66666666666667,8.504900548115382,2.2521459999999998,1.6608674184422427,-1.0,0.0,0.0,0.0
2,22.535026,7.826117571068621,11.893433333333334,2.939786863589491,11.0,1.0,2982.0,667.8764855869684,197.66666666666666,7.637626158259731,19.3,0.8544003745317532,0.0,0.0,58.0,7.54983443527075,10.0,0.0,4608.333333333333,678.3865662978103,-1.0,0.0,3180.3333333333335,660.2343018454383,1.0,0.0,1435.3333333333333,153.4090392816973,107.0,6.082762530298219,5.061002666666667,2.7909316793304586,-1.0,0.0,0.0,0.0
3,25.590606333333337,9.547360235774303,16.847466666666666,3.781567852535948,16.0,1.0,4164.666666666667,395.0624423218859,193.0,17.349351572897472,18.866666666666664,1.8502252115170565,0.0,0.0,64.0,12.0,10.0,0.0,3412.6666666666665,2702.711478003772,-1.0,0.0,4358.333333333333,388.4550596057841,1.0,0.0,1485.0,202.155880448727,106.33333333333333,5.5075705472861,3.0555803333333333,2.600090500000016,-1.0,0.0,0.0,0.0
4,27.26706366666666,9.38559368126664,19.810433333333332,2.9405577231765627,22.333333333333332,0.5773502691896255,4178.0,2130.7019969953562,212.66666666666666,15.947831618540915,20.833333333333332,1.5534906930308057,0.0,0.0,67.66666666666667,34.486712417006835,10.0,0.0,3629.0,2038.0684483108018,-1.0,0.0,4391.333333333333,2117.977887829175,1.0,0.0,1001.6666666666666,200.00083333159725,106.33333333333333,4.5092497528228925,1.6764573333333335,1.1958628216335405,-1.0,0.0,0.0,0.0
5,31.53095833333333,12.29919352372871,23.647466666666663,2.8630898385019874,28.0,2.0,3238.3333333333335,1181.419626268894,187.0,4.58257569495584,18.2,0.4582575694955855,0.0,0.0,58.333333333333336,16.653327995729065,10.0,0.0,3589.3333333333335,1723.5594951533683,-1.0,0.0,3425.6666666666665,1177.1161086882353,1.0,0.0,1185.3333333333333,104.08329997330667,108.66666666666667,3.7859388972001837,4.263894666666666,3.2886053081579028,-1.0,0.0,0.0,0.0
6,33.59964333333333,13.204926321698178,27.765600000000003,2.7726789338111257,33.0,2.6457513110645907,4368.666666666667,1271.5920467403585,206.66666666666666,7.094598884597591,20.133333333333333,0.6658328118479401,0.0,0.0,77.66666666666667,22.678918257565407,10.0,0.0,3054.6666666666665,1627.8136666502508,-1.0,0.0,4576.666666666667,1268.6947360706333,1.0,0.0,1418.6666666666667,104.08329997330667,111.66666666666667,4.041451884327381,2.0686846666666665,0.944371836514269,-1.0,0.0,0.0,0.0
7,35.27610066666667,12.431092791154216,30.908199999999997,2.8356545822790182,39.333333333333336,4.163331998932266,3451.3333333333335,899.0085279536191,212.33333333333334,13.316656236958783,20.733333333333334,1.504437879519566,0.0,0.0,53.0,5.291502622129181,10.0,0.0,2854.0,1812.76060195493,-1.0,0.0,3664.0,903.1566862953515,1.0,0.0,1252.3333333333333,390.2567530912609,109.33333333333333,2.0816659994661335,1.6764573333333335,1.0087946686191067,-1.0,0.0,0.0,0.0
8,37.857212000000004,9.129441445801984,35.3366,2.9227171399230554,45.0,3.4641016151377544,3341.6666666666665,956.6714866312957,195.66666666666666,6.027713773341712,19.066666666666666,0.568624070307732,0.0,0.0,66.66666666666667,8.386497083606082,10.0,0.0,1842.3333333333333,1962.8655922740438,-1.0,0.0,3538.0,962.1553928550211,1.0,0.0,1351.6666666666667,50.50082507576812,111.66666666666667,4.725815626252609,2.5811113333333338,3.4717644314857155,-1.0,0.0,0.0,0.0
9,43.607776,6.517355358481153,38.8425,3.187017635658769,50.0,4.358898943540674,4365.666666666667,1312.6165979955201,209.33333333333334,10.066445913694336,20.5,1.0535653752852747,0.0,0.0,66.0,22.516660498395403,10.0,0.0,4439.0,330.591893427531,-1.0,0.0,4575.666666666667,1304.4870000629876,1.0,0.0,1185.3333333333333,76.37626158259731,112.0,4.58257569495584,5.750564333333333,2.632033024353101,-1.0,0.0,0.0,0.0
10,48.62449533333333,5.177794144224965,42.55003333333334,3.1369617981947657,56.0,4.0,4978.666666666667,588.8754820276807,216.0,3.4641016151377544,21.266666666666666,0.32145502536643233,0.0,0.0,76.0,7.54983443527075,10.0,0.0,3082.6666666666665,2617.1844286051632,-1.0,0.0,5195.666666666667,585.471035435002,1.0,0.0,1252.0,150.0,110.66666666666667,10.503967504392486,5.0167193333333335,4.6920289635468295,-1.0,0.0,0.0,0.0
11,50.47808766666666,5.512385607868915,47.451433333333334,3.48648357278983,62.666666666666664,3.5118845842842465,4497.0,985.0335019683341,202.0,18.193405398660254,19.7,1.8248287590894652,0.0,0.0,71.66666666666667,19.218047073866096,10.0,0.0,2270.3333333333335,595.9717554828696,-1.0,0.0,4699.666666666667,981.7384240892953,1.0,0.0,1252.0,132.28756555322954,111.0,4.0,1.8535923333333333,0.9588189719823723,-1.0,0.0,0.0,0.0
