Time,Progress_mean,Progress_std
0,15.222,7.68
1,15.222,7.68
2,15.222,7.68
3,15.222,7.68
4,15.962,7.486
5,15.962,7.486
6,17.474,9.308
7,17.474,9.308
8,17.474,9.308
9,17.474,9.308
10,20.106,9.531
11,21.763,6.769
12,22.535,7.826
13,22.535,7.826
14,22.535,7.826
15,22.687,7.589
16,24.572,8.459
17,25.591,9.547
18,25.591,9.547
19,25.591,9.547
20,25.591,9.547
21,25.591,9.547
22,27.103,9.224
23,27.267,9.386
24,27.267,9.386
25,27.267,9.386
26,29.747,11.846
27,29.747,11.846
28,31.24,12.803
29,31.24,12.803
30,31.531,12.299
31,32.499,13.285
32,33.252,13.806
33,33.252,13.806
34,33.252,13.806
35,33.252,13.806
36,34.188,13.802
37,34.188,13.802
38,34.397,13.944
39,34.397,13.944
40,34.397,13.944
41,34.397,13.944
42,34.397,13.944
43,34.795,14.349
44,35.675,12.843
45,35.675,12.843
46,35.675,12.843
47,37.193,14.0
48,38.502,15.228
49,40.685,11.48
50,40.685,11.48
51,40.685,11.48
52,40.698,11.488
53,40.698,11.488
54,40.698,11.488
55,43.62,6.523
56,45.506,9.129
57,45.506,9.129
58,45.506,9.129
59,46.379,9.262
60,49.498,4.593
61,49.498,4.593
62,49.498,4.593
63,50.219,5.805
64,50.219,5.805
65,51.383,5.538
66,51.642,5.143
67,51.642,5.143
68,51.642,5.143
69,52.465,5.346
70,53.11,6.177
71,53.11,6.177
72,53.11,6.177
73,53.224,5.994
74,53.224,5.994
75,53.224,5.994
76,53.224,5.994
77,53.35,6.169
78,55.539,3.185
79,55.539,3.185
80,55.539,3.185
81,55.539,3.185
82,55.539,3.185
83,55.666,3.137
84,55.729,3.241
85,55.729,3.241
86,55.729,3.241
87,55.9,3.024
88,57.601,3.64
89,58.247,4.211
90,58.247,4.211
91,58.247,4.211
92,58.285,4.146
93,58.569,4.357
94,58.569,4.357
95,58.588,4.375
96,58.588,4.375
97,58.588,4.375
98,59.354,4.846
99,59.354,4.846
100,59.354,4.846
101,59.354,4.846
102,59.493,4.936
103,59.493,4.936
104,59.79,4.426
105,59.79,4.426
106,59.79,4.426
107,59.79,4.426
108,59.79,4.426
109,60.056,4.615
110,60.069,4.627
111,60.069,4.627
112,60.866,3.25
113,60.866,3.25
114,60.866,3.25
115,60.866,3.25
116,60.866,3.25
117,60.866,3.25
118,60.891,3.268
119,62.371,5.069
120,62.371,5.069
121,62.371,5.069
122,62.371,5.069
123,62.96,5.961
124,63.959,4.887
125,63.959,4.887
126,63.959,4.887
127,63.959,4.887
128,63.972,4.907
129,63.972,4.907
130,64.061,4.784
131,64.206,4.758
132,64.206,4.758
133,64.206,4.758
134,64.206,4.758
135,64.206,4.758
136,64.206,4.758
137,65.3,5.685
138,65.3,5.685
139,65.3,5.685
140,65.3,5.685
141,65.3,5.685
142,65.319,5.657
143,66.079,5.783
144,66.079,5.783
145,66.079,5.783
146,66.427,5.213
147,68.812,8.788
148,68.812,8.788
149,68.812,8.788
150,69.128,8.733
151,69.128,8.733
152,69.128,8.733
153,69.128,8.733
154,69.261,8.813
155,69.798,8.052
156,69.798,8.052
157,69.798,8.052
158,69.798,8.052
159,71.121,8.252
160,71.121,8.252
161,71.121,8.252
162,71.121,8.252
163,71.69,8.11
164,71.69,8.11
165,71.69,8.11
166,71.69,8.11
167,71.69,8.11
168,71.81,8.27
169,71.861,8.284
170,72.108,7.884
171,72.108,7.884
172,72.108,7.884
173,72.108,7.884
