Iteration,Progress_mean,Progress_std,TrajectoryLength_mean,TrajectoryLength_std,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Planner_mean,Planner_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std,ClusterTime_mean,ClusterTime_std,NbvMemory_mean,NbvMemory_std
0,12.305473999999998,3.3310472041511203,6.157703333333333,5.097361427251684,0.0,0.0,2994.0,998.757227758578,206.0,15.716233645501712,20.2,1.6370705543744901,0.0,0.0,60.333333333333336,19.42506971244462,10.0,0.0,5000.0,0.0,5000.0,0.0,3201.0,996.9789365879301,1.0,0.0,1903.0,700.0,115.66666666666667,4.163331998932264,3.9159509999999997,3.331047204151121,-1.0,0.0,0.0,0.0
1,16.303666333333332,5.771197407088526,18.683686666666667,10.865030769976372,5.333333333333333,1.5275252316519465,3980.0,836.9540011255099,211.33333333333334,15.821925715074421,20.566666666666666,1.5947831618540913,0.0,0.0,68.0,17.52141546793523,10.0,0.0,5000.0,0.0,5000.0,0.0,4192.0,831.0854348380797,1.0,0.0,2669.3333333333335,873.2699086384079,107.66666666666667,6.429100507328638,3.9981923333333333,2.837076085469393,-1.0,0.0,0.0,0.0
2,20.371447333333332,6.264869428872188,28.942466666666665,16.325960639525423,12.666666666666666,3.5118845842842465,4250.0,2041.5611673422866,195.33333333333334,21.1266025033211,19.033333333333335,2.112660250332109,0.0,0.0,72.66666666666667,40.513372277969324,10.0,0.0,5000.0,0.0,5000.0,0.0,4446.333333333333,2052.2680948972857,1.0,0.0,2802.3333333333335,1358.8047443740154,105.0,2.6457513110645907,4.067781,1.1206044677244509,-1.0,0.0,0.0,0.0
3,26.020791666666668,3.889534537005466,35.21136666666667,15.440562160858438,20.0,4.358898943540674,3310.0,883.0271796496413,186.0,10.44030650891055,18.099999999999998,1.1357816691600524,0.0,0.0,54.0,9.0,10.0,0.0,5000.0,0.0,5000.0,0.0,3497.0,871.9753436881114,1.0,0.0,1569.3333333333333,301.33093656863934,107.66666666666667,3.0550504633038935,5.649344666666667,4.203970321557627,-1.0,0.0,0.0,0.0
4,29.53186266666667,4.102749748367103,44.602833333333336,13.418345736465925,32.666666666666664,9.073771725877465,4977.666666666667,769.0710847076057,192.33333333333334,18.87679351302369,18.666666666666668,1.8175074506954123,0.0,0.0,100.0,16.64331697709324,10.0,0.0,5000.0,0.0,5000.0,0.0,5170.666666666667,782.5153885600802,1.0,0.0,2052.3333333333335,1038.075784002947,108.0,3.605551275463989,3.5110706666666665,0.8270471992482251,-1.0,0.0,0.0,0.0
5,34.56756000000001,2.253629876018688,54.7968,19.091014569163153,55.0,18.520259177452136,4079.0,1156.156996259591,188.66666666666666,2.5166114784235796,18.366666666666667,0.3055050463303883,0.0,0.0,62.666666666666664,15.01110699893027,10.0,0.0,5000.0,0.0,5000.0,0.0,4268.0,1155.9961072598817,1.0,0.0,2068.6666666666665,629.1528696058958,107.0,0.0,5.035697666666667,1.84926872278756,-1.0,0.0,0.0,0.0
6,38.65432,1.1907313086742088,62.61536666666667,16.608585364904904,61.666666666666664,17.03917055884274,4830.0,413.84900628127644,215.33333333333334,30.072135496724094,21.0,3.064310689208913,0.0,0.0,81.33333333333333,12.096831541082702,10.0,0.0,4722.333333333333,480.93277423495834,4722.333333333333,480.93277423495834,5046.333333333333,425.46131825741014,1.0,0.0,2085.3333333333335,1209.6831541082704,107.66666666666667,2.081665999466134,4.08676,1.2106806092405216,-1.0,0.0,0.0,0.0
7,40.235883333333334,2.026465783103515,69.77873333333334,14.051749816422628,69.33333333333333,18.009256878986797,3071.0,726.008264415771,191.66666666666666,7.637626158259731,18.733333333333334,0.709459888459758,0.0,0.0,49.333333333333336,10.692676621563628,10.0,0.0,4612.333333333333,376.54260493778565,4612.333333333333,376.54260493778565,3264.0,725.7416895838353,1.0,0.0,1502.0,150.0,108.66666666666667,3.055050463303895,1.5815633333333334,2.12505611121738,-1.0,0.0,0.0,0.0
8,45.41708466666666,3.2997405500330395,79.0489,14.899933379381268,74.33333333333333,17.009801096230763,3108.6666666666665,704.7172009631477,194.33333333333334,6.110100926607787,18.900000000000002,0.6244997998398412,0.0,0.0,51.0,11.0,10.0,0.0,4997.333333333333,4.618802153517072,4997.333333333333,4.618802153517072,3303.0,710.223204351984,1.0,0.0,2069.0,1172.4619396807727,110.0,1.7320508075688772,5.1812016666666665,2.52859467926442,-1.0,0.0,0.0,0.0
9,48.017175333333334,3.1096801198184876,85.76176666666667,11.662573388550797,80.33333333333333,18.502252115170556,3273.0,733.2373422023732,195.66666666666666,16.92138686199607,19.066666666666666,1.7897858344878392,0.0,0.0,51.333333333333336,12.662279942148386,10.0,0.0,4754.666666666667,347.5145080904296,4754.666666666667,347.5145080904296,3469.6666666666665,719.2957203635605,1.0,0.0,2019.0,815.0257664638585,113.0,3.0,2.6000903333333336,2.1123627427973477,-1.0,0.0,0.0,0.0
10,51.711707,2.0453379230110094,93.1551,12.975570795537273,86.0,18.520259177452136,5610.666666666667,2538.2218841806034,206.66666666666666,13.012814197295427,20.166666666666668,1.2503332889007372,0.0,0.0,80.33333333333333,33.70954365359065,10.0,0.0,4355.333333333333,611.715892660419,4355.333333333333,611.715892660419,5818.0,2546.2686425434376,1.0,0.0,1751.6666666666667,199.5002088553627,116.33333333333333,6.506407098647713,3.6945323333333335,3.1815521549762993,-1.0,0.0,0.0,0.0
11,55.67194166666667,1.0371392792920024,103.19846666666666,5.347521898350054,94.0,19.313207915827967,4199.333333333333,897.9678910369421,215.66666666666666,7.0945988845975885,21.033333333333335,0.6658328118479384,0.0,0.0,68.66666666666667,15.502687938977978,10.0,0.0,4427.0,414.2511315615203,4427.0,414.2511315615203,4416.0,903.4423058502408,1.0,0.0,2236.3333333333335,1617.353805861084,116.0,4.0,3.960234666666666,1.567367068425687,-1.0,0.0,0.0,0.0
