Time,Progress_mean,Progress_std
0,12.305,3.331
1,12.305,3.331
2,12.305,3.331
3,12.305,3.331
4,12.603,3.106
5,14.754,6.814
6,14.754,6.814
7,16.304,5.771
8,16.304,5.771
9,17.278,4.632
10,17.278,4.632
11,17.278,4.632
12,17.278,4.632
13,18.651,7.003
14,18.651,7.003
15,22.143,6.243
16,23.864,3.339
17,23.864,3.339
18,23.864,3.339
19,23.864,3.339
20,23.864,3.339
21,23.864,3.339
22,25.091,5.118
23,26.021,3.89
24,26.021,3.89
25,26.021,3.89
26,27.172,5.852
27,27.172,5.852
28,27.172,5.852
29,28.077,5.034
30,28.077,5.034
31,28.077,5.034
32,28.077,5.034
33,28.077,5.034
34,28.077,5.034
35,28.077,5.034
36,30.335,4.952
37,30.335,4.952
38,30.335,4.952
39,30.335,4.952
40,30.335,4.952
41,30.335,4.952
42,30.335,4.952
43,31.79,2.482
44,33.6,4.437
45,33.6,4.437
46,33.6,4.437
47,33.6,4.437
48,33.6,4.437
49,33.6,4.437
50,33.6,4.437
51,33.65,4.511
52,33.65,4.511
53,33.65,4.511
54,33.65,4.511
55,33.65,4.511
56,34.681,4.918
57,36.725,7.575
58,36.725,7.575
59,36.725,7.575
60,36.725,7.575
61,36.725,7.575
62,38.401,10.165
63,39.426,10.101
64,39.426,10.101
65,39.426,10.101
66,39.426,10.101
67,41.046,12.548
68,41.046,12.548
69,41.046,12.548
70,41.235,12.529
71,41.235,12.529
72,41.235,12.529
73,43.766,11.409
74,43.766,11.409
75,44.538,11.163
76,44.538,11.163
77,44.538,11.163
78,46.442,10.622
79,46.442,10.622
80,46.967,10.397
81,46.967,10.397
82,46.967,10.397
83,46.967,10.397
84,46.967,10.397
85,46.967,10.397
86,46.999,10.449
87,50.383,8.211
88,50.383,8.211
89,50.383,8.211
90,50.972,9.096
91,53.338,6.022
92,53.338,6.022
93,53.338,6.022
94,53.338,6.022
95,53.338,6.022
96,53.338,6.022
97,53.338,6.022
98,55.166,5.601
99,55.564,4.966
100,57.747,8.34
101,57.747,8.34
102,57.747,8.34
103,57.747,8.34
104,57.779,8.298
105,57.779,8.298
106,57.779,8.298
107,57.779,8.298
108,59.525,8.32
109,60.347,9.443
110,60.347,9.443
111,61.695,7.389
112,61.695,7.389
113,61.695,7.389
114,61.695,7.389
115,62.96,9.386
116,62.96,9.386
117,62.998,9.376
118,63.864,8.249
119,63.864,8.249
120,63.864,8.249
121,63.864,8.249
122,63.864,8.249
123,64.662,8.919
124,65.914,7.47
125,65.914,7.47
126,65.914,7.47
127,65.914,7.47
128,65.914,7.47
129,66.408,7.002
130,66.629,7.385
131,66.629,7.385
132,67.192,6.954
133,67.192,6.954
134,67.192,6.954
135,67.192,6.954
136,67.192,6.954
137,67.192,6.954
138,67.192,6.954
139,68.533,5.776
140,68.533,5.776
141,68.533,5.776
142,68.533,5.776
143,68.97,6.527
144,68.97,6.527
145,69.204,6.298
146,69.653,5.984
147,69.653,5.984
148,69.653,5.984
149,69.653,5.984
150,69.653,5.984
151,69.653,5.984
152,70.077,5.596
153,70.077,5.596
154,70.077,5.596
155,70.754,5.19
156,71.81,4.086
157,71.943,4.316
158,71.943,4.316
159,71.943,4.316
160,71.943,4.316
161,71.943,4.316
162,72.057,4.213
163,72.5,4.898
164,72.5,4.898
165,72.5,4.898
166,72.5,4.898
167,72.538,4.964
168,72.538,4.964
169,73.069,4.564
170,73.107,4.523
171,73.107,4.523
172,73.284,4.826
173,73.284,4.826
174,73.284,4.826
175,73.284,4.826
176,73.303,4.814
177,73.594,4.517
178,73.594,4.517
179,73.594,4.517
180,73.613,4.55
181,73.613,4.55
182,73.613,4.55
183,73.613,4.55
184,73.613,4.55
185,74.41,4.75
186,74.41,4.75
187,74.853,4.271
188,74.853,4.271
189,74.853,4.271
190,74.853,4.271
191,75.391,3.91
192,75.391,3.91
193,76.89,3.184
194,76.89,3.184
195,76.89,3.184
196,76.89,3.184
197,77.814,1.851
198,77.814,1.851
199,78.567,3.13
200,78.567,3.13
201,78.567,3.13
202,79.206,2.913
203,79.237,2.867
204,79.237,2.867
205,79.237,2.867
206,79.237,2.867
207,79.237,2.867
208,79.338,2.718
209,79.414,2.836
210,79.414,2.836
211,79.414,2.836
212,79.509,2.828
213,79.509,2.828
214,80.205,3.927
215,80.205,3.927
216,80.401,3.672
217,80.401,3.672
218,80.401,3.672
219,80.401,3.672
220,80.401,3.672
221,80.401,3.672
222,80.515,3.861
223,80.515,3.861
224,80.661,3.808
225,81.236,3.114
226,81.236,3.114
227,81.262,3.157
228,81.262,3.157
229,81.262,3.157
230,81.262,3.157
231,81.262,3.157
232,81.812,2.933
233,81.812,2.933
234,81.812,2.933
235,81.977,2.703
236,81.977,2.703
237,81.989,2.724
238,81.989,2.724
239,81.989,2.724
240,82.084,2.597
241,82.084,2.597
242,82.084,2.597
243,82.084,2.597
244,82.084,2.597
245,82.084,2.597
246,82.223,2.419
247,82.223,2.419
248,82.812,2.382
249,82.812,2.382
250,82.812,2.382
251,83.337,1.557
252,83.438,1.712
253,83.438,1.712
254,83.438,1.712
255,83.438,1.712
256,83.438,1.712
257,83.438,1.712
258,83.507,1.821
259,83.659,1.615
260,84.444,1.899
261,84.444,1.899
262,84.444,1.899
263,84.444,1.899
264,84.444,1.899
265,84.444,1.899
266,84.659,1.527
267,84.69,1.552
268,84.69,1.552
269,84.69,1.552
270,84.95,1.833
271,84.95,1.833
272,84.95,1.833
273,85.114,1.558
274,85.114,1.558
275,85.114,1.558
276,85.114,1.558
277,85.171,1.583
278,85.171,1.583
279,85.798,1.266
280,85.798,1.266
281,85.798,1.266
282,85.798,1.266
283,85.798,1.266
284,86.006,0.988
285,86.006,0.988
286,86.013,0.985
287,86.013,0.985
288,86.013,0.985
289,86.013,0.985
290,86.044,0.947
291,86.07,0.935
292,86.076,0.945
293,86.076,0.945
294,86.076,0.945
295,86.076,0.945
296,86.076,0.945
297,86.076,0.945
298,86.076,0.945
299,86.196,0.813
300,86.196,0.813
301,86.196,0.813
302,86.196,0.813
303,86.342,0.738
304,86.342,0.738
305,86.867,1.618
306,86.867,1.618
307,86.867,1.618
308,86.867,1.618
309,86.955,1.524
310,87.499,1.419
311,87.499,1.419
312,87.563,1.502
313,87.563,1.502
314,87.563,1.502
315,87.563,1.502
316,87.582,1.471
317,87.771,1.558
318,87.771,1.558
319,87.771,1.558
320,87.771,1.558
321,87.847,1.61
322,87.961,1.413
323,87.961,1.413
324,87.961,1.413
325,87.961,1.413
326,88.132,1.602
327,88.138,1.605
328,88.164,1.562
329,88.164,1.562
330,88.164,1.562
331,88.164,1.562
332,88.164,1.562
333,88.164,1.562
334,88.164,1.562
335,88.164,1.562
336,88.227,1.548
337,88.239,1.553
338,88.239,1.553
339,88.239,1.553
340,88.239,1.553
341,88.347,1.374
342,88.347,1.374
343,88.347,1.374
344,88.366,1.398
345,88.366,1.398
346,88.366,1.398
347,88.366,1.398
348,88.372,1.388
349,88.372,1.388
350,88.372,1.388
351,88.385,1.404
352,88.385,1.404
353,88.385,1.404
354,88.385,1.404
355,88.385,1.404
356,88.385,1.404
357,88.758,1.624
358,88.758,1.624
359,88.758,1.624
360,88.758,1.624
361,88.758,1.624
362,88.992,1.842
