Time,Progress_mean,Progress_std
0,13.507,3.14
1,13.507,3.14
2,13.507,3.14
3,13.507,3.14
4,16.765,2.88
5,17.676,3.144
6,17.676,3.144
7,17.676,3.144
8,17.676,3.144
9,19.283,5.277
10,19.283,5.277
11,19.283,5.277
12,20.511,3.626
13,24.344,6.467
14,24.572,6.493
15,24.572,6.493
16,25.047,5.755
17,25.047,5.755
18,25.047,5.755
19,25.445,5.822
20,25.445,5.822
21,27.558,2.74
22,27.558,2.74
23,27.558,2.74
24,30.025,4.666
25,30.025,4.666
26,30.025,4.666
27,30.025,4.666
28,30.025,4.666
29,32.644,2.619
30,32.644,2.619
31,34.498,5.413
32,36.611,3.541
33,36.611,3.541
34,36.611,3.541
35,36.611,3.541
36,37.743,3.819
37,37.743,3.819
38,40.356,0.864
39,40.356,0.864
40,40.913,1.315
41,40.913,1.315
42,40.913,1.315
43,40.913,1.315
44,42.766,0.661
45,42.766,0.661
46,42.766,0.661
47,43.785,1.177
48,43.785,1.177
49,43.785,1.177
50,44.93,1.971
51,45.55,1.101
52,46.606,1.783
53,46.606,1.783
54,46.606,1.783
55,48.137,1.268
56,48.137,1.268
57,48.542,0.692
58,49.548,1.653
59,49.548,1.653
60,49.548,1.653
61,49.548,1.653
62,49.548,1.653
63,53.603,2.407
64,53.603,2.407
65,53.603,2.407
66,53.603,2.407
67,54.887,1.367
68,54.887,1.367
69,54.887,1.367
70,55.577,0.482
71,55.577,0.482
72,55.653,0.608
73,55.653,0.608
74,55.653,0.608
75,55.969,0.442
76,56.488,0.485
77,56.488,0.485
78,56.488,0.485
79,57.045,0.949
80,57.367,0.548
81,57.367,0.548
82,58.373,1.524
83,58.373,1.524
84,58.373,1.524
85,58.373,1.524
86,58.373,1.524
87,59.379,1.195
88,59.474,1.282
89,59.474,1.282
90,60.024,0.346
91,60.024,0.346
92,60.024,0.346
93,60.024,0.346
94,60.024,0.346
95,60.145,0.429
96,60.145,0.429
97,61.131,1.283
98,61.131,1.283
99,61.131,1.283
100,61.131,1.283
101,62.89,2.687
102,64.459,3.646
103,66.262,0.915
104,66.262,0.915
105,66.262,0.915
106,66.262,0.915
107,66.262,0.915
108,66.262,0.915
109,67.344,1.594
110,67.344,1.594
111,67.818,0.983
112,67.818,0.983
113,68.97,1.794
114,68.97,1.794
115,68.97,1.794
116,68.97,1.794
117,69.893,0.816
118,69.893,0.816
119,69.893,0.816
120,69.893,0.816
121,69.893,0.816
122,71.228,3.088
