Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,401.000000,191.000000,20.777778,3.000000,9,9,2139.000000,2139.000000,593.000000,0,10.192505,0,-1.13778,653.000000,118.000000,1.802982,-1,0
2,437.000000,200.000000,21.777778,8.000000,9,9,2675.000000,2675.000000,638.000000,1,12.280169,0,-0.446899,603.000000,118.000000,2.087664,-1,0
3,420.000000,222.000000,24.222222,2.000000,9,9,2380.000000,2380.000000,643.000000,2,14.197024,0,0.303274,602.000000,117.000000,1.916855,-1,0
5,426.000000,214.000000,23.333333,1.000000,9,9,1496.000000,1496.000000,641.000000,3,14.576599,0,1.0764,603.000000,116.000000,0.379575,-1,0
6,423.000000,228.000000,24.777778,2.000000,9,9,2885.000000,2885.000000,652.000000,4,15.108004,0,1.72118,502.000000,119.000000,0.531405,-1,0
8,374.000000,232.000000,25.222222,4.000000,9,9,2001.000000,2001.000000,607.000000,5,15.810218,0,2.61299,653.000000,120.000000,0.702214,-1,0
9,439.000000,225.000000,24.444444,6.000000,9,9,843.000000,843.000000,665.000000,6,15.886134,0,3.38984,602.000000,123.000000,0.075915,-1,0
11,393.000000,220.000000,23.777778,2.000000,9,9,1713.000000,1713.000000,614.000000,7,15.943070,0,4.2036,653.000000,123.000000,0.056936,-1,0
13,392.000000,192.000000,20.777778,1.000000,9,9,1628.000000,1628.000000,585.000000,8,16.056942,0,5.12243,602.000000,129.000000,0.113873,-1,0
15,397.000000,169.000000,18.111111,1.000000,9,9,2581.000000,2581.000000,566.000000,9,17.138732,0,5.9477,603.000000,133.000000,1.081789,-1,0
17,393.000000,189.000000,20.444444,2.000000,9,9,1346.000000,1346.000000,583.000000,10,18.030733,0,6.76321,653.000000,135.000000,0.892002,-1,0
18,364.000000,196.000000,21.444444,2.000000,9,9,2307.000000,2307.000000,561.000000,11,19.776779,0,7.61788,603.000000,135.000000,1.746046,-1,0
20,382.000000,230.000000,25.111111,1.000000,9,9,2428.000000,2428.000000,612.000000,12,22.737466,0,8.38564,603.000000,135.000000,2.960687,-1,0
22,439.000000,219.000000,23.888889,2.000000,9,9,2784.000000,2784.000000,659.000000,13,26.514239,0,9.15974,602.000000,139.000000,3.776773,-1,0
24,399.000000,226.000000,24.777778,1.000000,9,9,3278.000000,3278.000000,626.000000,14,28.488030,0,9.95288,552.000000,135.000000,1.973791,-1,0
25,475.000000,159.000000,26.166667,4.000000,9,6,903.000000,903.000000,634.000000,15,29.076372,0,10.5197,552.000000,132.000000,0.588342,-1,0
27,456.000000,250.000000,27.222222,2.000000,9,9,2114.000000,2114.000000,706.000000,16,31.031184,0,11.2189,602.000000,135.000000,1.954812,-1,0
28,390.000000,263.000000,28.777778,2.000000,9,9,1824.000000,1824.000000,654.000000,17,35.794853,0,11.8449,553.000000,137.000000,4.763669,-1,0
30,430.000000,265.000000,29.000000,2.000000,9,9,2656.000000,2656.000000,695.000000,18,41.564396,0,12.8224,652.000000,135.000000,5.769543,-1,0
32,397.000000,291.000000,32.000000,4.000000,9,9,3647.000000,3647.000000,689.000000,19,47.125173,0,13.7072,653.000000,134.000000,5.560777,-1,0
34,408.000000,263.000000,28.777778,2.000000,9,9,2779.000000,2779.000000,671.000000,20,50.617265,0,14.2493,503.000000,139.000000,3.492092,-1,0
35,394.000000,254.000000,27.555556,2.000000,9,9,2201.000000,2201.000000,648.000000,21,53.957527,0,15.2379,602.000000,139.000000,3.340262,-1,0
37,410.000000,244.000000,26.666667,1.000000,9,9,1881.000000,1881.000000,655.000000,22,57.886130,0,15.9694,602.000000,147.000000,3.928603,-1,0
39,405.000000,273.000000,29.888889,2.000000,9,9,3495.000000,3495.000000,678.000000,23,66.331679,0,16.9221,603.000000,149.000000,8.445548,-1,0
41,386.000000,294.000000,32.222222,1.000000,9,9,2168.000000,2168.000000,680.000000,24,71.531859,0,17.5416,552.000000,142.000000,5.200180,-1,0
43,402.000000,266.000000,29.111111,1.000000,9,9,1351.000000,1351.000000,668.000000,25,73.372799,0,18.0315,502.000000,137.000000,1.840940,-1,0
44,393.000000,273.000000,30.000000,1.000000,9,9,1316.000000,1316.000000,666.000000,26,75.289654,0,18.7567,652.000000,143.000000,1.916855,-1,0
46,409.000000,268.000000,29.333333,6.000000,9,9,1802.000000,1802.000000,678.000000,27,77.073657,0,19.5558,552.000000,144.000000,1.784003,-1,0
48,401.000000,261.000000,28.777778,1.000000,9,9,2026.000000,2026.000000,663.000000,28,78.003617,0,20.2989,652.000000,146.000000,0.929959,-1,0
50,438.000000,256.000000,28.000000,1.000000,9,9,684.000000,684.000000,695.000000,29,78.250340,0,20.8346,552.000000,154.000000,0.246724,-1,0
52,386.000000,241.000000,26.555556,2.000000,9,9,79.000000,79.000000,628.000000,30,78.364213,0,21.6374,603.000000,145.000000,0.113873,-1,0
54,397.000000,225.000000,24.555556,1.000000,9,9,426.000000,426.000000,623.000000,31,78.914597,0,22.238,603.000000,151.000000,0.550384,-1,0
55,415.000000,248.000000,27.111111,3.000000,9,9,1176.000000,1176.000000,664.000000,32,79.673748,0,22.9386,652.000000,148.000000,0.759150,-1,0
57,360.000000,257.000000,28.000000,1.000000,9,9,1431.000000,1431.000000,617.000000,33,81.799369,0,23.5141,552.000000,151.000000,2.125621,-1,0
59,431.000000,264.000000,28.777778,2.000000,9,9,1937.000000,1937.000000,696.000000,34,84.057841,0,24.2765,602.000000,147.000000,2.258472,-1,0
61,379.000000,282.000000,31.000000,2.000000,9,9,397.000000,397.000000,662.000000,35,84.171714,0,24.9367,602.000000,150.000000,0.113873,-1,0
63,402.000000,261.000000,28.444444,1.000000,9,9,18.000000,18.000000,663.000000,36,84.171714,0,25.6241,553.000000,146.000000,0.000000,-1,0
65,2866.000000,264.000000,25.800000,2.000000,50,10,316.000000,71.680310,3135.000000,37,84.304565,1,30.0326,1653.000000,155.000000,0.132851,-1,0
70,461.000000,326.000000,35.555556,2.000000,9,9,148.000000,148.000000,787.000000,38,84.418438,0,30.8555,603.000000,153.000000,0.113873,-1,0
72,484.000000,290.000000,31.666667,1.000000,9,9,0.000000,0.000000,775.000000,39,84.418438,0,30.8555,-1,-1,0.000000,-1,0
73,3287.000000,283.000000,27.700000,1.000000,50,10,3273.000000,370.922249,3574.000000,40,84.741077,1,39.6794,2853.000000,158.000000,0.322639,-1,0
80,387.000000,227.000000,24.666667,1.000000,9,9,146.000000,146.000000,614.000000,41,84.835970,0,40.1818,502.000000,155.000000,0.094894,-1,0
82,417.000000,229.000000,24.888889,1.000000,9,9,155.000000,155.000000,647.000000,42,85.082694,0,41.1474,653.000000,161.000000,0.246724,-1,0
84,456.000000,285.000000,31.222222,5.000000,9,9,342.000000,342.000000,742.000000,43,85.310439,0,41.9395,604.000000,161.000000,0.227745,-1,0
87,482.000000,303.000000,33.111111,1.000000,9,9,118.000000,118.000000,785.000000,44,85.310439,0,42.6768,552.000000,159.000000,0.000000,-1,0
89,2261.000000,269.000000,26.200000,0.000000,34,10,0.000000,0.000000,2532.000000,45,85.310439,1,42.6768,-1,-1,0.000000,-1,0
92,5957.000000,259.000000,25.400000,3.000000,87,10,899.000000,91.540848,6222.000000,46,85.481248,1,52.4976,2753.000000,161.000000,0.170809,-1,0
101,505.000000,227.000000,24.666667,3.000000,9,9,83.000000,83.000000,733.000000,47,85.481248,0,52.9569,503.000000,165.000000,0.000000,-1,0
103,4421.000000,280.000000,27.300000,0.000000,52,10,98.000000,17.959358,4704.000000,48,85.690015,1,58.4136,1302.000000,161.000000,0.208766,-1,0
110,425.000000,203.000000,22.000000,1.000000,9,9,77.000000,77.000000,628.000000,49,85.974696,0,58.9692,553.000000,162.000000,0.284681,-1,0
112,436.000000,202.000000,22.111111,1.000000,9,9,61.000000,61.000000,639.000000,50,86.164484,0,59.5125,503.000000,157.000000,0.189788,-1,0
114,507.000000,201.000000,22.000000,2.000000,9,9,74.000000,74.000000,709.000000,51,86.354271,0,59.9234,453.000000,157.000000,0.189788,-1,0
115,565.000000,202.000000,21.888889,1.000000,9,9,0.000000,0.000000,767.000000,52,86.354271,0,59.9234,-1,-1,0.000000,-1,0
116,6293.000000,251.000000,24.500000,1.000000,73,10,599.000000,65.166854,6547.000000,53,86.695889,1,69.1152,2652.000000,154.000000,0.341618,-1,0
126,568.000000,189.000000,20.666667,1.000000,9,9,631.000000,631.000000,758.000000,54,87.113422,0,69.7113,652.000000,160.000000,0.417533,-1,0
128,485.000000,180.000000,19.666667,2.000000,9,9,0.000000,0.000000,666.000000,55,87.113422,0,69.7113,-1,-1,0.000000,-1,0
129,6458.000000,272.000000,26.500000,0.000000,70,10,0.000000,0.000000,6732.000000,56,87.113422,1,69.7113,-1,-1,0.000000,-1,0
136,4021.000000,252.000000,24.600000,2.000000,50,10,373.000000,35.768438,4279.000000,57,87.151379,1,80.1395,2753.000000,157.000000,0.037958,-1,0
143,494.000000,254.000000,27.777778,1.000000,9,9,0.000000,0.000000,749.000000,58,87.151379,0,80.1395,-1,-1,0.000000,-1,0
144,2654.000000,280.000000,27.300000,0.000000,41,10,0.000000,0.000000,2937.000000,59,87.151379,1,80.1395,-1,-1,0.000000,-1,0
147,6008.000000,266.000000,25.900000,0.000000,81,10,0.000000,0.000000,6276.000000,60,87.151379,1,80.1395,-1,-1,0.000000,-1,0
153,8338.000000,261.000000,25.500000,0.000000,105,10,0.000000,0.000000,8602.000000,61,87.151379,1,80.1395,-1,-1,0.000000,-1,0
162,5883.000000,274.000000,26.800000,0.000000,75,10,0.000000,0.000000,6160.000000,62,87.151379,1,80.1395,-1,-1,0.000000,-1,0
168,6558.000000,270.000000,26.200000,0.000000,82,10,0.000000,0.000000,6830.000000,63,87.151379,1,80.1395,-1,-1,0.000000,-1,0
175,6325.000000,288.000000,28.100000,1.000000,82,10,1.000000,0.203849,6617.000000,64,87.284230,1,85.0451,1453.000000,155.000000,0.132851,-1,0
184,472.000000,208.000000,22.666667,1.000000,9,9,0.000000,0.000000,680.000000,65,87.284230,0,85.0451,-1,-1,0.000000,-1,0
184,4716.000000,270.000000,26.400000,1.000000,59,10,449.000000,19.744896,4990.000000,66,88.195211,1,107.785,4702.000000,163.000000,0.910981,-1,0
195,492.000000,214.000000,23.333333,1.000000,9,9,88.000000,88.000000,706.000000,67,88.612744,0,108.478,553.000000,160.000000,0.417533,-1,0
197,519.000000,221.000000,24.111111,1.000000,9,9,59.000000,59.000000,741.000000,68,88.669680,0,109.097,503.000000,153.000000,0.056936,-1,0
199,441.000000,248.000000,27.111111,1.000000,9,9,0.000000,0.000000,690.000000,69,88.669680,0,109.097,-1,-1,0.000000,-1,0
199,3914.000000,253.000000,24.600000,2.000000,54,10,951.000000,228.158109,4171.000000,70,88.859468,1,113.265,1053.000000,156.000000,0.189788,-1,0
205,429.000000,193.000000,20.888889,2.000000,9,9,991.000000,991.000000,622.000000,71,89.295979,0,113.865,653.000000,159.000000,0.436511,-1,0
207,438.000000,198.000000,21.666667,1.000000,9,9,1042.000000,1042.000000,637.000000,72,90.453683,0,114.534,552.000000,154.000000,1.157704,-1,0
209,406.000000,198.000000,21.666667,1.000000,9,9,592.000000,592.000000,605.000000,73,91.042025,0,115.342,602.000000,163.000000,0.588342,-1,0
211,412.000000,209.000000,22.888889,2.000000,9,9,0.000000,0.000000,622.000000,74,91.042025,0,115.342,-1,-1,0.000000,-1,0
212,3639.000000,276.000000,27.000000,0.000000,42,10,0.000000,0.000000,3918.000000,75,91.042025,1,115.342,-1,-1,0.000000,-1,0
216,3775.000000,288.000000,28.000000,0.000000,51,10,0.000000,0.000000,4066.000000,76,91.042025,1,115.342,-1,-1,0.000000,-1,0
220,5222.000000,317.000000,30.900000,0.000000,59,10,0.000000,0.000000,5542.000000,77,91.042025,1,115.342,-1,-1,0.000000,-1,0
225,4283.000000,273.000000,26.800000,0.000000,53,10,0.000000,0.000000,4559.000000,78,91.042025,1,115.342,-1,-1,0.000000,-1,0
230,4177.000000,271.000000,26.400000,0.000000,47,10,0.000000,0.000000,4451.000000,79,91.042025,1,115.342,-1,-1,0.000000,-1,0
234,4002.000000,204.000000,19.800000,1.000000,47,10,1460.000000,52.576025,4210.000000,80,92.617262,1,143.111,5253.000000,154.000000,1.575237,-1,0
