Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,1963.000000,0.000000,-1,496.000000,38,10,5000.000000,1201.087808,1964.000000,0,9.015822,1,2.16289,1103.000000,117.000000,0.626299,0.000000,9
3,1480.000000,1208.000000,22.444444,79.000000,24,13,5000.000000,1605.899607,2689.000000,1,16.208772,1,5.27641,1002.000000,116.000000,7.192950,0.000000,13
7,2868.000000,1432.000000,23.153846,134.000000,39,15,4999.000000,1005.912728,4301.000000,2,25.014917,1,10.246,1253.000000,125.000000,8.806145,0.000000,14
13,1436.000000,1577.000000,23.285714,105.000000,30,17,5000.000000,1353.798962,3014.000000,3,25.849983,1,13.9393,1302.000000,122.000000,0.835065,0.000000,17
18,1628.000000,2093.000000,24.411765,112.000000,19,20,5000.000000,1331.247012,3721.000000,4,30.461822,1,17.6952,1202.000000,120.000000,4.611839,0.000000,20
23,0.000000,2413.000000,23.450000,172.000000,0,20,2157.000000,527.397880,2414.000000,5,33.707190,1,21.7851,1253.000000,125.000000,3.245368,0.000000,20
27,0.000000,2273.000000,23.950000,128.000000,0,19,2739.000000,683.772620,2274.000000,6,36.516046,1,25.7908,1752.000000,126.000000,2.808857,0.000000,19
32,1965.000000,2535.000000,23.315789,117.000000,30,25,4942.000000,479.334674,4501.000000,7,47.125173,1,36.1009,2752.000000,132.000000,10.609127,0.000000,24
40,3018.000000,3092.000000,24.333333,209.000000,50,27,4542.000000,920.531816,6111.000000,8,50.351563,1,41.0351,1153.000000,133.000000,3.226389,0.000000,26
47,5688.000000,3326.000000,23.461538,149.000000,90,31,2455.000000,806.168549,9015.000000,9,53.141440,1,44.0803,902.000000,133.000000,2.789878,0.000000,30
58,4474.000000,3965.000000,24.200000,154.000000,62,37,4342.000000,915.850525,8441.000000,10,60.372348,1,48.8213,1303.000000,130.000000,7.230908,0.000000,36
68,0.000000,4621.000000,24.361111,214.000000,0,36,2109.000000,652.559091,4622.000000,11,61.492095,1,52.0532,1253.000000,133.000000,1.119747,0.000000,36
74,0.000000,4461.000000,24.666667,145.000000,0,35,2799.000000,782.204004,4463.000000,12,64.244015,1,55.6315,1103.000000,134.000000,2.751920,0.000000,35
