Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,3458.000000,0.000000,-1,520.000000,67,10,4691.000000,1284.243597,3459.000000,0,11.615912,1,1.65273,1404.000000,112.000000,3.226389,0.000000,9
5,3064.000000,0.000000,-1,113.000000,49,19,5000.000000,988.450707,3064.000000,1,15.108004,1,6.71115,1502.000000,116.000000,3.492092,0.000000,18
10,3342.000000,0.000000,-1,93.000000,54,28,5000.000000,1146.738854,3342.000000,2,18.049712,1,11.0713,1201.000000,125.000000,2.941708,0.000000,27
15,3327.000000,0.000000,-1,159.000000,63,37,5000.000000,1288.460051,3328.000000,3,20.934484,1,14.9519,1352.000000,119.000000,2.884772,0.000000,36
20,3313.000000,0.000000,-1,144.000000,48,46,5000.000000,1092.994450,3313.000000,4,21.503847,1,19.5265,1453.000000,122.000000,0.569363,0.000000,45
25,6106.000000,0.000000,-1,215.000000,95,55,3392.000000,684.178859,6107.000000,5,24.236788,1,24.4843,1253.000000,125.000000,2.732942,0.000000,54
33,4401.000000,0.000000,-1,151.000000,78,64,5000.000000,612.208874,4402.000000,6,31.201993,1,32.6515,2002.000000,119.000000,6.965205,0.000000,63
40,4415.000000,0.000000,-1,142.000000,60,73,4090.000000,1352.457567,4416.000000,7,36.060556,1,35.6756,1403.000000,129.000000,4.858563,0.000000,72
46,3844.000000,0.000000,-1,259.000000,60,82,4979.000000,1416.674487,3846.000000,8,40.539543,1,39.1901,953.000000,134.000000,4.478987,0.000000,81
52,5265.000000,0.000000,-1,219.000000,99,91,5000.000000,1092.098235,5266.000000,9,49.592412,1,43.7685,1353.000000,134.000000,9.052869,0.000000,90
59,3854.000000,0.000000,-1,498.000000,56,100,4202.000000,866.760426,3857.000000,10,55.134210,1,48.6164,1653.000000,139.000000,5.541798,0.000000,99
65,3399.000000,0.000000,-1,257.000000,53,109,4865.000000,1082.574718,3401.000000,11,59.556261,1,53.1103,1353.000000,147.000000,4.422051,0.000000,108
70,5936.000000,0.000000,-1,265.000000,90,118,5000.000000,1052.241857,5938.000000,12,61.833713,1,57.8621,1453.000000,144.000000,2.277451,0.000000,117
78,4827.000000,0.000000,-1,203.000000,78,127,4420.000000,796.990529,4828.000000,13,67.128787,1,63.408,1552.000000,132.000000,5.295074,0.000000,126
85,4897.000000,0.000000,-1,231.000000,61,136,3097.000000,1037.845040,4899.000000,14,70.165389,1,66.392,1053.000000,140.000000,3.036602,0.000000,135
91,3614.000000,0.000000,-1,229.000000,54,145,4289.000000,1027.459863,3616.000000,15,70.431091,1,70.5664,1452.000000,134.000000,0.265703,0.000000,144
97,6083.000000,0.000000,-1,326.000000,81,154,2489.000000,820.877617,6085.000000,16,71.550838,1,73.5985,1052.000000,133.000000,1.119747,0.000000,153
104,3704.000000,0.000000,-1,282.000000,44,163,4714.000000,456.951143,3708.000000,17,73.809311,1,83.9147,2454.000000,139.000000,2.258472,0.000000,162
111,4550.000000,0.000000,-1,428.000000,64,172,955.000000,282.580544,4554.000000,18,74.056034,1,87.2943,1203.000000,161.000000,0.246724,0.000000,171
