Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,20652.000000,188.000000,18.300000,0.000000,171,10,4318.000000,648.378083,20840.000000,0,12.413020,1,4.65969,1752.000000,112.000000,4.023497,1174.000000,0
45,2877.000000,199.000000,19.400000,0.000000,20,10,5000.000000,1259.979790,3077.000000,1,18.011755,1,8.62801,1253.000000,109.000000,5.598734,979.000000,0
50,2102.000000,218.000000,21.200000,0.000000,14,10,5000.000000,711.153383,2320.000000,2,21.921379,1,15.6588,1702.000000,110.000000,3.909625,846.000000,0
54,4159.000000,185.000000,18.000000,0.000000,33,10,5000.000000,1107.266923,4345.000000,3,29.304117,1,20.1745,1152.000000,114.000000,7.382738,772.000000,0
60,6955.000000,225.000000,21.900000,0.000000,54,10,3460.000000,449.861354,7181.000000,4,38.603710,1,27.8657,1603.000000,114.000000,9.299593,633.000000,0
69,5878.000000,192.000000,18.700000,0.000000,46,10,3578.000000,674.820776,6071.000000,5,42.608228,1,33.1679,1402.000000,113.000000,4.004518,491.000000,0
77,4891.000000,226.000000,22.100000,0.000000,39,10,4515.000000,646.447990,5118.000000,6,48.434708,1,40.1522,1752.000000,117.000000,5.826479,431.000000,0
84,10572.000000,238.000000,23.300000,0.000000,86,10,4660.000000,734.834692,10811.000000,7,61.112520,1,46.4938,1402.000000,118.000000,12.677812,356.000000,0
97,4391.000000,256.000000,25.200000,0.000000,36,10,3017.000000,1640.478408,4648.000000,8,64.111164,1,48.3329,853.000000,118.000000,2.998644,219.000000,0
103,6850.000000,271.000000,26.600000,0.000000,61,10,3509.000000,824.087108,7121.000000,9,68.457300,1,52.5909,1503.000000,120.000000,4.346136,180.000000,0
112,4355.000000,226.000000,22.100000,0.000000,36,10,3262.000000,321.905406,4582.000000,10,69.121557,1,62.7243,3002.000000,122.000000,0.664257,141.000000,0
120,9860.000000,232.000000,22.700000,0.000000,77,10,2828.000000,225.895457,10093.000000,11,70.469049,1,75.2434,3003.000000,123.000000,1.347492,140.000000,0
133,6396.000000,195.000000,19.100000,0.000000,52,10,1701.000000,401.722043,6592.000000,12,72.328967,1,79.4776,1302.000000,129.000000,1.859919,128.000000,0
142,3549.000000,191.000000,18.500000,0.000000,31,10,1080.000000,240.756347,3740.000000,13,73.828289,1,83.9635,1053.000000,125.000000,1.499322,113.000000,0
147,4323.000000,227.000000,22.300000,0.000000,35,10,826.000000,390.797352,4551.000000,14,75.688208,1,86.0771,852.000000,124.000000,1.859919,100.000000,0
153,2677.000000,249.000000,24.500000,0.000000,20,10,1500.000000,138.813528,2927.000000,15,79.901493,1,96.883,2803.000000,125.000000,4.213285,88.000000,0
159,1209.000000,265.000000,25.900000,0.000000,18,10,1380.000000,426.334254,1474.000000,16,81.381836,1,100.12,1002.000000,128.000000,1.480343,60.000000,0
162,3625.000000,242.000000,23.700000,0.000000,32,10,149.000000,24.815195,3867.000000,17,81.894262,1,106.124,1502.000000,131.000000,0.512427,53.000000,0
168,3738.000000,241.000000,23.600000,0.000000,30,10,1728.000000,123.680228,3979.000000,18,84.000905,1,120.096,2352.000000,127.000000,2.106642,48.000000,0
175,1916.000000,215.000000,20.900000,0.000000,17,10,3916.000000,241.266326,2132.000000,19,84.285586,1,136.327,4052.000000,130.000000,0.284681,39.000000,0
181,4868.000000,194.000000,19.000000,0.000000,46,10,1626.000000,296.058960,5063.000000,20,85.841845,1,141.819,1503.000000,130.000000,1.556258,40.000000,0
188,3742.000000,248.000000,24.200000,0.000000,33,10,1329.000000,107.943558,3990.000000,21,86.164484,1,154.131,2352.000000,132.000000,0.322639,33.000000,0
195,3391.000000,262.000000,25.700000,0.000000,30,10,304.000000,125.487384,3654.000000,22,86.221420,1,156.554,853.000000,133.000000,0.056936,30.000000,0
201,3667.000000,222.000000,21.700000,0.000000,31,10,4353.000000,120.995364,3890.000000,23,88.176232,1,192.53,6653.000000,133.000000,1.954812,29.000000,0
212,5769.000000,236.000000,23.000000,0.000000,54,10,586.000000,100.380959,6006.000000,24,88.536829,1,198.368,1252.000000,130.000000,0.360596,22.000000,0
219,3727.000000,230.000000,22.500000,0.000000,34,10,360.000000,15.720434,3958.000000,25,88.593765,1,221.268,4952.000000,132.000000,0.056936,21.000000,0
229,5349.000000,243.000000,23.700000,0.000000,50,10,452.000000,94.935728,5593.000000,26,88.726616,1,226.029,1553.000000,137.000000,0.132851,24.000000,0
237,7720.000000,211.000000,20.600000,0.000000,67,10,578.000000,59.495634,7932.000000,27,89.485767,1,235.744,1602.000000,138.000000,0.759150,20.000000,0
247,2052.000000,206.000000,20.100000,0.000000,20,10,43.000000,11.290586,2258.000000,28,89.504745,1,239.553,1152.000000,139.000000,0.018979,19.000000,0
251,2078.000000,190.000000,18.600000,0.000000,19,10,3250.000000,468.466082,2269.000000,29,90.985089,1,246.49,2202.000000,140.000000,1.480343,18.000000,0
256,1829.000000,202.000000,19.800000,0.000000,19,10,177.000000,7.899105,2032.000000,30,91.136919,1,268.898,4902.000000,143.000000,0.151830,14.000000,0
263,3829.000000,225.000000,22.100000,0.000000,36,10,2959.000000,100.389123,4054.000000,31,91.421600,1,298.373,5403.000000,142.000000,0.284681,14.000000,0
274,1716.000000,238.000000,23.300000,0.000000,17,10,0.000000,0.000000,1955.000000,32,91.421600,1,298.373,-1,-1,0.000000,13.000000,0
276,2347.000000,214.000000,21.100000,0.000000,22,10,3.000000,0.299569,2562.000000,33,91.782197,1,308.387,3002.000000,142.000000,0.360596,14.000000,0
282,2121.000000,252.000000,24.800000,0.000000,21,10,0.000000,0.000000,2374.000000,34,91.782197,1,308.387,-1,-1,0.000000,11.000000,0
284,3346.000000,230.000000,22.600000,0.000000,34,10,0.000000,0.000000,3577.000000,35,91.782197,1,308.387,-1,-1,0.000000,12.000000,0
288,3436.000000,209.000000,20.500000,0.000000,31,10,0.000000,0.000000,3646.000000,36,91.782197,1,308.387,-1,-1,0.000000,12.000000,0
291,3584.000000,205.000000,20.100000,0.000000,32,10,0.000000,0.000000,3790.000000,37,91.782197,1,308.387,-1,-1,0.000000,11.000000,0
295,3978.000000,186.000000,18.100000,0.000000,36,10,0.000000,0.000000,4165.000000,38,91.782197,1,308.387,-1,-1,0.000000,12.000000,0
299,7861.000000,184.000000,18.000000,0.000000,67,10,4263.000000,470.519551,8046.000000,39,93.034795,1,317.448,2301.000000,141.000000,1.252598,12.000000,0
