Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,1170.000000,222.000000,21.700000,0.000000,26,10,5000.000000,1169.017855,1393.000000,0,10.154548,1,2.27709,1503.000000,120.000000,1.765025,-1,0
3,5662.000000,214.000000,20.900000,0.000000,95,10,5000.000000,1009.345918,5877.000000,1,10.837783,1,7.2308,1403.000000,118.000000,0.683235,-1,0
11,3457.000000,196.000000,19.100000,0.000000,59,10,5000.000000,1067.718333,3654.000000,2,11.919573,1,11.9137,1652.000000,104.000000,1.081789,-1,0
16,3006.000000,154.000000,14.900000,0.000000,66,10,5000.000000,1205.337734,3161.000000,3,14.576599,1,16.0619,1752.000000,105.000000,2.657026,-1,0
22,3730.000000,174.000000,17.000000,0.000000,75,10,3851.000000,1003.762703,3905.000000,4,15.297792,1,19.8985,1302.000000,112.000000,0.721193,-1,0
27,5167.000000,185.000000,18.200000,0.000000,83,10,3644.000000,823.591144,5353.000000,5,19.093544,1,24.323,1702.000000,107.000000,3.795752,-1,0
35,6153.000000,179.000000,17.400000,0.000000,99,10,5000.000000,910.019471,6333.000000,6,19.340268,1,29.8174,1702.000000,110.000000,0.246724,-1,0
43,4698.000000,210.000000,20.600000,0.000000,68,10,5000.000000,961.628199,4909.000000,7,25.944877,1,35.0169,1202.000000,109.000000,6.604609,-1,0
50,2126.000000,199.000000,19.500000,0.000000,40,10,5000.000000,587.322671,2326.000000,8,32.473570,1,43.5301,2052.000000,109.000000,6.528694,-1,0
54,9452.000000,217.000000,21.300000,0.000000,136,10,4920.000000,2420.550680,9670.000000,9,45.265255,1,45.5627,1051.000000,111.000000,12.791685,-1,0
65,3601.000000,206.000000,20.100000,0.000000,60,10,4235.000000,627.370447,3807.000000,10,47.049258,1,52.3131,1852.000000,113.000000,1.784003,-1,0
71,4083.000000,205.000000,20.200000,0.000000,69,10,5000.000000,1235.791606,4289.000000,11,48.567559,1,56.3591,1302.000000,112.000000,1.518301,-1,0
77,3982.000000,210.000000,20.500000,0.000000,66,10,1293.000000,261.045607,4192.000000,12,48.966113,1,61.3122,1552.000000,114.000000,0.398554,-1,0
84,1512.000000,202.000000,19.500000,0.000000,23,10,2298.000000,482.107182,1715.000000,13,49.744242,1,66.0788,1702.000000,119.000000,0.778129,-1,0
88,5233.000000,190.000000,18.400000,0.000000,68,10,3669.000000,706.619038,5424.000000,14,51.452331,1,71.2711,1252.000000,116.000000,1.708088,-1,0
