Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,2759.000000,199.000000,19.500000,0.000000,48,10,4981.000000,929.103449,2960.000000,0,13.172171,1,3.36108,1403.000000,119.000000,4.782648,-1,0
5,2513.000000,194.000000,19.000000,0.000000,43,10,5000.000000,898.023686,2708.000000,1,14.595578,1,8.92886,1652.000000,116.000000,1.423407,-1,0
9,2502.000000,178.000000,17.300000,0.000000,46,10,5000.000000,1354.561320,2681.000000,2,23.800277,1,12.6201,1152.000000,102.000000,9.204699,-1,0
13,3811.000000,172.000000,16.600000,0.000000,70,10,4514.000000,769.420774,3984.000000,3,26.267515,1,18.4868,1302.000000,105.000000,2.467239,-1,0
19,3055.000000,183.000000,17.700000,0.000000,50,10,5000.000000,531.364970,3239.000000,4,33.631275,1,27.8966,1902.000000,107.000000,7.363759,-1,0
25,2979.000000,163.000000,16.000000,0.000000,56,10,5000.000000,425.909652,3143.000000,5,40.406692,1,39.6362,3053.000000,111.000000,6.775417,-1,0
31,5325.000000,207.000000,20.300000,0.000000,99,10,4707.000000,606.030520,5533.000000,6,49.782200,1,47.4031,1703.000000,112.000000,9.375508,-1,0
39,3375.000000,173.000000,16.900000,0.000000,58,10,3962.000000,399.905960,3548.000000,7,51.680076,1,57.3104,2402.000000,113.000000,1.897876,-1,0
45,3016.000000,203.000000,19.800000,0.000000,52,10,2482.000000,430.975716,3219.000000,8,53.217355,1,63.0694,1501.000000,114.000000,1.537280,-1,0
50,5325.000000,203.000000,19.800000,0.000000,92,10,3179.000000,414.772119,5529.000000,9,54.242208,1,70.7339,2453.000000,117.000000,1.024853,-1,0
59,3010.000000,172.000000,16.700000,0.000000,54,10,3852.000000,387.843374,3182.000000,10,54.242208,1,80.6657,-1,-1,0.000000,-1,0
64,3733.000000,207.000000,20.300000,0.000000,67,10,2641.000000,1055.239412,3940.000000,11,54.906465,1,83.1685,953.000000,117.000000,0.664257,-1,0
69,2858.000000,188.000000,18.300000,0.000000,45,10,4098.000000,621.640898,3047.000000,12,55.323998,1,89.7607,1601.000000,121.000000,0.417533,-1,0
74,3291.000000,216.000000,21.100000,0.000000,62,10,2672.000000,411.077387,3508.000000,13,56.291915,1,96.2607,1603.000000,125.000000,0.967917,-1,0
80,4905.000000,192.000000,18.700000,0.000000,86,10,5000.000000,354.471062,5098.000000,14,57.430640,1,110.366,3303.000000,127.000000,1.138726,-1,0
89,4915.000000,198.000000,19.400000,0.000000,78,10,4958.000000,324.287858,5115.000000,15,64.699505,1,125.655,3352.000000,127.000000,7.268865,-1,0
98,4016.000000,181.000000,17.700000,0.000000,66,10,1571.000000,235.008248,4198.000000,16,66.084955,1,132.34,1752.000000,130.000000,1.385450,-1,0
105,3478.000000,206.000000,20.100000,0.000000,59,10,4101.000000,325.993605,3685.000000,17,71.550838,1,144.92,3053.000000,129.000000,5.465883,-1,0
112,3205.000000,226.000000,22.100000,0.000000,51,10,896.000000,319.699658,3431.000000,18,73.031181,1,147.723,1102.000000,130.000000,1.480343,-1,0
117,2598.000000,222.000000,21.700000,0.000000,43,10,1288.000000,180.417482,2820.000000,19,73.790332,1,154.862,1902.000000,131.000000,0.759150,-1,0
122,3028.000000,241.000000,23.700000,0.000000,53,10,2937.000000,328.335255,3270.000000,20,74.606418,1,163.807,2152.000000,133.000000,0.816087,-1,0
128,1652.000000,207.000000,20.100000,0.000000,29,10,4008.000000,448.830781,1860.000000,21,78.648894,1,172.737,2452.000000,132.000000,4.042476,-1,0
133,3287.000000,200.000000,19.600000,0.000000,60,10,1755.000000,293.455620,3487.000000,22,78.857661,1,178.717,1653.000000,133.000000,0.208766,-1,0
139,3314.000000,199.000000,19.400000,0.000000,58,10,2520.000000,213.527373,3513.000000,23,79.161321,1,190.519,2303.000000,144.000000,0.303660,-1,0
146,1665.000000,236.000000,23.000000,0.000000,31,10,2272.000000,289.174478,1901.000000,24,79.920471,1,198.376,1652.000000,141.000000,0.759150,-1,0
150,2618.000000,236.000000,23.100000,0.000000,44,10,1883.000000,150.696029,2854.000000,25,81.040218,1,210.871,3052.000000,144.000000,1.119747,-1,0
157,3152.000000,218.000000,21.400000,0.000000,53,10,1789.000000,109.192227,3371.000000,26,81.305921,1,227.255,3352.000000,145.000000,0.265703,-1,0
164,3095.000000,227.000000,22.200000,0.000000,53,10,1378.000000,134.098362,3322.000000,27,81.552645,1,237.531,1952.000000,144.000000,0.246724,-1,0
170,2281.000000,242.000000,23.700000,0.000000,41,10,600.000000,105.095294,2524.000000,28,81.590602,1,243.24,1452.000000,145.000000,0.037958,-1,0
175,2292.000000,229.000000,22.300000,0.000000,41,10,3374.000000,310.365332,2522.000000,29,81.761411,1,254.111,2003.000000,143.000000,0.170809,-1,0
180,1961.000000,204.000000,20.000000,0.000000,32,10,145.000000,17.676813,2166.000000,30,81.913241,1,262.314,2154.000000,151.000000,0.151830,-1,0
185,4516.000000,210.000000,20.600000,0.000000,80,10,224.000000,31.011588,4726.000000,31,82.273838,1,269.537,1402.000000,145.000000,0.360596,-1,0
192,2551.000000,217.000000,21.400000,0.000000,41,10,5000.000000,245.030197,2769.000000,32,82.387710,1,289.943,4403.000000,149.000000,0.113873,-1,0
199,2586.000000,220.000000,21.500000,0.000000,44,10,254.000000,29.891058,2807.000000,33,82.387710,1,298.44,1602.000000,146.000000,0.000000,-1,0
205,2057.000000,205.000000,20.200000,0.000000,35,10,0.000000,0.000000,2263.000000,34,82.387710,1,298.44,-1,-1,0.000000,-1,0
207,2088.000000,214.000000,20.900000,0.000000,38,10,4137.000000,423.933698,2303.000000,35,86.354271,1,308.199,1602.000000,147.000000,3.966561,-1,0
211,2435.000000,236.000000,23.000000,0.000000,43,10,1116.000000,67.197810,2672.000000,36,86.487123,1,324.807,4203.000000,151.000000,0.132851,-1,0
219,1683.000000,224.000000,21.900000,0.000000,27,10,1385.000000,128.946479,1908.000000,37,87.303209,1,335.547,2703.000000,149.000000,0.816087,-1,0
224,2519.000000,218.000000,21.300000,0.000000,43,10,2380.000000,128.059886,2737.000000,38,87.967466,1,354.133,4502.000000,148.000000,0.664257,-1,0
232,1737.000000,221.000000,21.600000,0.000000,28,10,399.000000,47.904392,1959.000000,39,88.138275,1,362.462,2102.000000,151.000000,0.170809,-1,0
237,2372.000000,203.000000,19.900000,0.000000,42,10,1419.000000,118.982225,2576.000000,40,88.726616,1,374.388,2151.000000,157.000000,0.588342,-1,0
242,2007.000000,234.000000,22.900000,0.000000,36,10,540.000000,32.884868,2242.000000,41,88.859468,1,390.809,3102.000000,152.000000,0.132851,-1,0
249,2154.000000,225.000000,22.100000,0.000000,37,10,74.000000,4.902559,2380.000000,42,89.258022,1,405.903,3703.000000,153.000000,0.398554,-1,0
256,2025.000000,216.000000,21.000000,0.000000,36,10,0.000000,0.000000,2242.000000,43,89.258022,1,405.903,-1,-1,0.000000,-1,0
258,2437.000000,229.000000,22.500000,0.000000,44,10,326.000000,37.850276,2667.000000,44,89.732491,1,414.516,2802.000000,156.000000,0.474469,-1,0
264,3765.000000,205.000000,20.100000,0.000000,67,10,0.000000,0.000000,3971.000000,45,89.732491,1,414.516,-1,-1,0.000000,-1,0
268,1206.000000,210.000000,20.600000,0.000000,20,10,68.000000,7.003457,1417.000000,46,89.884321,1,424.225,2602.000000,154.000000,0.151830,-1,0
273,1999.000000,250.000000,24.700000,0.000000,34,10,1.000000,0.118243,2250.000000,47,89.903299,1,432.682,1653.000000,153.000000,0.018979,-1,0
