Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,4161.000000,216.000000,21.200000,0.000000,68,10,5000.000000,-1,4378.000000,0,23.724362,1,4.66838,1452.000000,111.000000,15.334838,-1,0
6,3893.000000,216.000000,21.300000,0.000000,71,10,4350.000000,-1,4110.000000,1,27.652965,1,10.7063,1552.000000,105.000000,3.928603,-1,0
12,3047.000000,196.000000,19.200000,0.000000,65,10,3825.000000,-1,3243.000000,2,29.968374,1,15.2878,1302.000000,114.000000,2.315409,-1,0
17,3973.000000,213.000000,21.000000,0.000000,64,10,5000.000000,-1,4187.000000,3,33.023954,1,21.2128,1302.000000,106.000000,3.055580,-1,0
23,3663.000000,226.000000,22.100000,0.000000,61,10,1287.000000,-1,3890.000000,4,33.517402,1,23.0861,802.000000,106.000000,0.493448,-1,0
28,2323.000000,188.000000,18.300000,0.000000,45,10,4994.000000,-1,2512.000000,5,37.996389,1,26.8171,1152.000000,107.000000,4.478987,-1,0
32,4351.000000,199.000000,19.400000,0.000000,86,10,1338.000000,-1,4551.000000,6,40.254862,1,30.8379,1452.000000,108.000000,2.258472,-1,0
38,2777.000000,221.000000,21.700000,0.000000,49,10,1299.000000,-1,2998.000000,7,40.881161,1,33.6112,1053.000000,107.000000,0.626299,-1,0
43,2237.000000,190.000000,18.600000,0.000000,57,10,571.000000,-1,2427.000000,8,40.976055,1,38.105,1301.000000,108.000000,0.094894,-1,0
47,3682.000000,208.000000,20.400000,0.000000,53,10,4589.000000,-1,3890.000000,9,45.530957,1,42.139,1202.000000,108.000000,4.554903,-1,0
52,5647.000000,212.000000,20.900000,0.000000,83,10,101.000000,-1,5860.000000,10,45.568915,1,45.5324,1102.000000,100.000000,0.037958,-1,0
59,3402.000000,212.000000,20.600000,0.000000,51,10,2889.000000,-1,3614.000000,11,48.187984,1,49.996,1302.000000,107.000000,2.619069,-1,0
65,2289.000000,179.000000,17.400000,0.000000,28,10,2238.000000,-1,2469.000000,12,51.680076,1,52.4961,951.000000,105.000000,3.492092,-1,0
69,5554.000000,198.000000,19.300000,0.000000,73,10,2369.000000,-1,5753.000000,13,54.147315,1,57.2587,1103.000000,111.000000,2.467239,-1,0
76,2359.000000,205.000000,20.000000,0.000000,36,10,0.000000,-1,2565.000000,14,54.147315,1,57.2587,-1,-1,0.000000,-1,0
78,2884.000000,228.000000,22.400000,0.000000,45,10,334.000000,-1,3113.000000,15,54.621784,1,61.8159,1552.000000,109.000000,0.474469,-1,0
83,3016.000000,189.000000,18.400000,0.000000,42,10,2221.000000,-1,3206.000000,16,55.001359,1,65.8053,1252.000000,105.000000,0.379575,-1,0
88,2814.000000,211.000000,20.500000,0.000000,45,10,4053.000000,-1,3026.000000,17,60.106645,1,69.4593,1152.000000,106.000000,5.105287,-1,0
93,3515.000000,187.000000,18.400000,0.000000,57,10,3710.000000,-1,3703.000000,18,60.960690,1,72.766,1002.000000,105.000000,0.854044,-1,0
98,2599.000000,216.000000,21.000000,0.000000,45,10,1476.000000,-1,2816.000000,19,62.953460,1,76.5429,1101.000000,107.000000,1.992770,-1,0
102,2775.000000,183.000000,17.900000,0.000000,32,10,254.000000,-1,2959.000000,20,62.972438,1,80.4419,1052.000000,104.000000,0.018979,-1,0
106,3351.000000,222.000000,21.900000,0.000000,51,10,0.000000,-1,3575.000000,21,62.972438,1,80.4419,-1,-1,0.000000,-1,0
110,6235.000000,203.000000,19.900000,0.000000,94,10,588.000000,-1,6439.000000,22,63.010396,1,85.1349,1752.000000,107.000000,0.037958,-1,0
119,2788.000000,208.000000,20.500000,0.000000,42,10,1805.000000,-1,2997.000000,23,67.356532,1,89.6725,1202.000000,108.000000,4.346136,-1,0
123,2728.000000,211.000000,20.600000,0.000000,41,10,1682.000000,-1,2940.000000,24,69.121557,1,93.9741,1152.000000,107.000000,1.765025,-1,0
128,4167.000000,217.000000,21.300000,0.000000,54,10,686.000000,-1,4385.000000,25,69.159514,1,97.4795,1153.000000,110.000000,0.037958,-1,0
134,2732.000000,221.000000,21.600000,0.000000,38,10,0.000000,-1,2953.000000,26,69.159514,1,97.4795,-1,-1,0.000000,-1,0
137,4298.000000,211.000000,20.800000,0.000000,59,10,2532.000000,-1,4510.000000,27,71.038411,1,101.275,1202.000000,113.000000,1.878897,-1,0
143,4483.000000,231.000000,22.700000,0.000000,67,10,0.000000,-1,4715.000000,28,71.038411,1,101.275,-1,-1,0.000000,-1,0
147,4429.000000,167.000000,16.200000,0.000000,53,10,3568.000000,-1,4596.000000,29,78.193404,1,106.002,1803.000000,113.000000,7.154993,-1,0
154,2697.000000,217.000000,21.200000,0.000000,39,10,503.000000,-1,2915.000000,30,78.364213,1,108.311,802.000000,121.000000,0.170809,-1,0
159,2234.000000,194.000000,18.800000,0.000000,40,10,175.000000,-1,2430.000000,31,78.781746,1,111.61,1251.000000,120.000000,0.417533,-1,0
163,2913.000000,202.000000,19.800000,0.000000,38,10,389.000000,-1,3116.000000,32,78.838682,1,116.309,1402.000000,120.000000,0.056936,-1,0
168,3786.000000,219.000000,21.500000,0.000000,66,10,546.000000,-1,4006.000000,33,79.199279,1,120.262,1403.000000,119.000000,0.360596,-1,0
174,5698.000000,218.000000,21.500000,0.000000,71,10,3335.000000,-1,5917.000000,34,80.622686,1,121.827,952.000000,127.000000,1.423407,-1,0
181,4894.000000,207.000000,20.300000,0.000000,52,10,0.000000,-1,5101.000000,35,80.622686,1,121.827,-1,-1,0.000000,-1,0
186,2079.000000,216.000000,21.100000,0.000000,26,10,56.000000,-1,2295.000000,36,80.622686,1,126.265,1252.000000,119.000000,0.000000,-1,0
190,3391.000000,208.000000,20.100000,0.000000,48,10,1547.000000,-1,3600.000000,37,82.122008,1,128.75,1002.000000,119.000000,1.499322,-1,0
196,2643.000000,223.000000,21.700000,0.000000,37,10,0.000000,-1,2867.000000,38,82.122008,1,128.75,-1,-1,0.000000,-1,0
198,3769.000000,226.000000,22.200000,0.000000,52,10,0.000000,-1,3995.000000,39,82.122008,1,128.75,-1,-1,0.000000,-1,0
