Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,1888.000000,203.000000,19.800000,0.000000,39,10,5000.000000,5000.000000,2092.000000,0,10.382293,1,3.7494,1603.000000,117.000000,1.992770,-1,0
4,3038.000000,215.000000,21.000000,0.000000,51,10,5000.000000,5000.000000,3253.000000,1,11.274295,1,9.94386,1703.000000,115.000000,0.892002,-1,0
9,3212.000000,171.000000,16.600000,0.000000,60,10,5000.000000,5000.000000,3384.000000,2,14.197024,1,17.3391,2452.000000,102.000000,2.922729,-1,0
15,3681.000000,179.000000,17.300000,0.000000,63,10,5000.000000,5000.000000,3861.000000,3,24.673300,1,24.5837,1602.000000,111.000000,10.476276,-1,0
43,4090.000000,176.000000,17.200000,0.000000,81,10,5000.000000,5000.000000,4268.000000,4,29.038415,1,40.6972,3251.000000,112.000000,4.365115,-1,0
73,2746.000000,189.000000,18.300000,0.000000,48,10,5000.000000,5000.000000,2935.000000,5,34.276552,1,45.1216,1402.000000,107.000000,5.238138,-1,0
78,4729.000000,181.000000,17.500000,0.000000,77,10,5000.000000,5000.000000,4911.000000,6,38.034347,1,58.286,3452.000000,107.000000,3.757795,-1,0
87,2707.000000,200.000000,19.500000,0.000000,56,10,4248.000000,4248.000000,2908.000000,7,42.057844,1,65.1761,1502.000000,108.000000,4.023497,-1,0
91,3685.000000,201.000000,19.600000,0.000000,51,10,4992.000000,4992.000000,3886.000000,8,49.155901,1,82.2034,3403.000000,109.000000,7.098056,-1,0
99,2436.000000,210.000000,20.600000,0.000000,37,10,4357.000000,4357.000000,2647.000000,9,50.351563,1,86.9301,1652.000000,110.000000,1.195662,-1,0
104,5171.000000,194.000000,18.900000,0.000000,70,10,4283.000000,4283.000000,5366.000000,10,50.446456,1,94.7424,1951.000000,110.000000,0.094894,-1,0
111,4397.000000,222.000000,21.600000,0.000000,75,10,4897.000000,4897.000000,4620.000000,11,54.488932,1,99.3114,1353.000000,112.000000,4.042476,-1,0
118,2590.000000,206.000000,20.300000,0.000000,48,10,5000.000000,5000.000000,2796.000000,12,57.089023,1,117.01,3302.000000,113.000000,2.600090,-1,0
124,2357.000000,211.000000,20.700000,0.000000,49,10,4951.000000,4951.000000,2569.000000,13,60.846817,1,122.901,1303.000000,112.000000,3.757795,-1,0
129,6089.000000,220.000000,21.600000,0.000000,86,10,3498.000000,3498.000000,6310.000000,14,62.327160,1,134.007,3301.000000,113.000000,1.480343,-1,0
139,4544.000000,225.000000,22.100000,0.000000,81,10,3143.000000,3143.000000,4770.000000,15,65.895167,1,143.577,2403.000000,117.000000,3.568007,-1,0
146,4449.000000,223.000000,21.700000,0.000000,54,10,2061.000000,2061.000000,4673.000000,16,67.242659,1,159.18,3453.000000,120.000000,1.347492,-1,0
155,4664.000000,210.000000,20.500000,0.000000,67,10,4760.000000,4760.000000,4875.000000,17,69.273387,1,165.422,1302.000000,116.000000,2.030727,-1,0
162,3091.000000,210.000000,20.400000,0.000000,36,10,4029.000000,4029.000000,3303.000000,18,69.615004,1,182.199,3452.000000,117.000000,0.341618,-1,0
169,5645.000000,196.000000,19.200000,0.000000,72,10,4022.000000,4022.000000,5842.000000,19,71.209220,1,186.381,1202.000000,118.000000,1.594216,-1,0
176,4822.000000,223.000000,21.700000,0.000000,73,10,3583.000000,3583.000000,5045.000000,20,71.266157,1,202.275,3452.000000,118.000000,0.056936,-1,0
185,3833.000000,223.000000,21.900000,0.000000,51,10,2730.000000,2730.000000,4057.000000,21,72.746500,1,212.4,2952.000000,118.000000,1.480343,-1,0
193,4417.000000,230.000000,22.300000,0.000000,58,10,2031.000000,2031.000000,4647.000000,22,77.244466,1,229.485,3802.000000,125.000000,4.497966,-1,0
202,5898.000000,199.000000,19.500000,0.000000,69,10,3124.000000,3124.000000,6098.000000,23,79.161321,1,250.109,3952.000000,116.000000,1.916855,-1,0
212,5943.000000,205.000000,20.000000,0.000000,74,10,2410.000000,2410.000000,6149.000000,24,79.446002,1,274.304,4802.000000,124.000000,0.284681,-1,0
224,5446.000000,232.000000,22.500000,0.000000,54,10,2513.000000,2513.000000,5679.000000,25,79.882514,1,281.438,1903.000000,123.000000,0.436511,-1,0
232,5915.000000,227.000000,22.100000,0.000000,68,10,2533.000000,2533.000000,6143.000000,26,81.533666,1,330.419,9502.000000,122.000000,1.651152,-1,0
248,7015.000000,251.000000,24.600000,0.000000,70,10,2191.000000,2191.000000,7266.000000,27,83.298691,1,341.282,4602.000000,128.000000,1.765025,-1,0
260,7479.000000,226.000000,22.200000,0.000000,82,10,2337.000000,2337.000000,7705.000000,28,85.652057,1,347.536,1453.000000,124.000000,2.353366,-1,0
270,6742.000000,215.000000,21.000000,0.000000,81,10,1088.000000,1088.000000,6957.000000,29,86.430186,1,351.716,1502.000000,123.000000,0.778129,-1,0
279,4678.000000,228.000000,22.400000,0.000000,59,10,694.000000,694.000000,4907.000000,30,87.113422,1,389.309,7503.000000,131.000000,0.683235,-1,0
292,8278.000000,196.000000,19.100000,0.000000,90,10,1572.000000,1572.000000,8475.000000,31,87.132400,1,402.695,3452.000000,129.000000,0.018979,-1,0
