Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain,ClusterTime,NbvMemory
0,2833.000000,200.000000,19.200000,0.000000,41,10,4982.000000,1086.534977,3036.000000,0,14.956174,1,2.58522,1653.000000,119.000000,6.566651,-1,0
5,4754.000000,224.000000,21.700000,1.000000,93,10,5000.000000,956.474082,4982.000000,1,18.486224,1,7.81275,1252.000000,118.000000,3.530049,-1,0
12,2573.000000,220.000000,21.300000,1.000000,37,10,5000.000000,915.004644,2796.000000,2,21.276101,1,13.2772,1353.000000,116.000000,2.789878,-1,0
17,4340.000000,225.000000,21.800000,2.000000,73,10,4900.000000,984.719307,4570.000000,3,28.772712,1,18.2532,1502.000000,125.000000,7.496610,-1,0
23,3167.000000,246.000000,23.900000,3.000000,50,10,5000.000000,1383.687515,3419.000000,4,31.942165,1,21.8668,1203.000000,122.000000,3.169453,-1,0
28,4975.000000,233.000000,22.800000,1.000000,76,10,3977.000000,891.566793,5212.000000,5,34.599191,1,26.3275,1352.000000,122.000000,2.657026,-1,0
35,2815.000000,232.000000,22.400000,4.000000,61,10,4303.000000,1146.113985,3054.000000,6,39.248988,1,30.0819,1402.000000,128.000000,4.649796,-1,0
40,3346.000000,221.000000,21.500000,4.000000,54,10,4935.000000,999.622242,3575.000000,7,47.979217,1,35.0188,1302.000000,126.000000,8.730230,-1,0
46,3247.000000,254.000000,24.700000,4.000000,47,10,1636.000000,854.916373,3507.000000,8,49.535476,1,36.9324,1053.000000,124.000000,1.556258,-1,0
51,3318.000000,243.000000,23.800000,1.000000,47,10,3070.000000,641.327345,3566.000000,9,54.640762,1,41.7193,1253.000000,129.000000,5.105287,-1,0
56,3175.000000,235.000000,23.000000,0.000000,48,10,4068.000000,614.649518,3413.000000,10,58.455493,1,48.3377,1504.000000,130.000000,3.814731,-1,0
61,4189.000000,248.000000,24.200000,1.000000,69,10,4843.000000,1037.804685,4442.000000,11,61.568010,1,53.0043,1152.000000,130.000000,3.112517,-1,0
67,3524.000000,242.000000,23.400000,2.000000,54,10,2181.000000,709.015946,3771.000000,12,61.700861,1,56.0804,1053.000000,129.000000,0.132851,-1,0
73,3971.000000,238.000000,23.000000,2.000000,72,10,4513.000000,1215.322738,4214.000000,13,65.914146,1,59.7938,1252.000000,130.000000,4.213285,-1,0
79,2086.000000,239.000000,23.300000,1.000000,42,10,1769.000000,344.063973,2329.000000,14,66.122913,1,64.9353,1852.000000,133.000000,0.208766,-1,0
84,4780.000000,245.000000,23.700000,4.000000,60,10,4315.000000,688.574275,5031.000000,15,69.482153,1,71.2019,1853.000000,136.000000,3.359241,-1,0
91,6842.000000,241.000000,23.500000,2.000000,100,10,3555.000000,525.810357,7089.000000,16,72.727521,1,77.9629,1553.000000,141.000000,3.245368,-1,0
100,3814.000000,211.000000,20.500000,0.000000,45,10,1623.000000,356.625700,4028.000000,17,74.093992,1,82.5139,1652.000000,140.000000,1.366471,-1,0
107,4471.000000,245.000000,23.800000,1.000000,58,10,4805.000000,226.524616,4719.000000,18,75.479441,1,103.726,3904.000000,141.000000,1.385450,-1,0
116,3894.000000,248.000000,24.200000,1.000000,65,10,1867.000000,297.672267,4146.000000,19,76.921827,1,109.998,1453.000000,141.000000,1.442386,-1,0
122,2487.000000,251.000000,24.400000,3.000000,37,10,4407.000000,643.855954,2745.000000,20,77.339360,1,116.842,1553.000000,146.000000,0.417533,-1,0
127,5660.000000,266.000000,25.900000,1.000000,74,10,1579.000000,183.125687,5929.000000,21,80.281068,1,125.465,1752.000000,148.000000,2.941708,-1,0
136,2255.000000,283.000000,27.700000,3.000000,32,10,385.000000,91.789101,2544.000000,22,80.394940,1,129.659,1202.000000,144.000000,0.113873,-1,0
141,2801.000000,256.000000,24.700000,3.000000,41,10,1218.000000,246.002316,3062.000000,23,80.774516,1,134.61,1353.000000,149.000000,0.379575,-1,0
146,6529.000000,264.000000,25.800000,3.000000,78,10,1626.000000,127.020439,6800.000000,24,81.343878,1,147.412,3152.000000,153.000000,0.569363,-1,0
157,2407.000000,258.000000,25.100000,3.000000,33,10,1166.000000,359.255978,2672.000000,25,81.628560,1,150.657,1003.000000,156.000000,0.284681,-1,0
162,3163.000000,239.000000,23.300000,2.000000,42,10,3056.000000,490.538549,3409.000000,26,82.463625,1,156.887,1503.000000,157.000000,0.835065,-1,0
167,2057.000000,259.000000,25.300000,1.000000,30,10,539.000000,89.265893,2320.000000,27,82.558519,1,162.925,1703.000000,161.000000,0.094894,-1,0
172,3003.000000,233.000000,22.600000,4.000000,47,10,1849.000000,382.654277,3243.000000,28,83.222776,1,167.757,1552.000000,159.000000,0.664257,-1,0
178,3652.000000,273.000000,26.600000,2.000000,47,10,549.000000,28.654380,3929.000000,29,83.241754,1,186.917,4352.000000,159.000000,0.018979,-1,0
187,2476.000000,234.000000,22.700000,2.000000,32,10,1097.000000,86.849803,2714.000000,30,83.431542,1,199.548,2902.000000,164.000000,0.189788,-1,0
