Time,Progress_mean,Progress_std
0,1.538,0.0
10,4.02,0.316
20,6.286,0.26
30,8.552,0.204
40,10.819,0.148
50,13.197,0.011
60,15.07,0.082
70,17.5,0.64
80,18.715,0.146
90,19.82,0.525
100,21.31,0.7
110,22.727,1.018
120,24.416,1.126
130,26.104,1.278
140,27.793,1.46
150,29.481,1.662
160,31.169,1.878
170,32.858,2.103
180,34.546,2.335
190,36.938,1.396
200,39.33,0.56
210,41.746,0.741
220,44.163,1.602
230,45.894,1.366
240,47.699,1.037
250,49.183,1.018
260,50.666,1.313
270,52.15,1.772
280,53.727,2.139
290,55.263,2.611
300,56.798,3.102
310,58.584,3.203
320,60.37,3.332
330,62.156,3.487
340,64.23,4.131
350,66.303,4.819
360,68.377,5.535
370,70.372,6.323
380,71.482,5.606
390,72.592,4.899
400,73.702,4.208
410,74.504,3.89
420,75.307,3.749
430,75.755,3.752
440,76.107,3.925
450,76.459,4.125
460,76.811,4.347
470,77.163,4.589
480,77.515,4.849
490,77.867,5.122
500,78.219,5.407
510,78.571,5.703
520,78.923,6.007
530,79.171,6.239
540,79.419,6.491
550,79.667,6.761
560,79.721,6.822
570,79.775,6.883
580,79.775,6.883
590,79.775,6.883
600,79.775,6.883
610,79.775,6.883
620,79.775,6.883
630,79.775,6.883
640,79.775,6.883
650,79.775,6.883
660,79.775,6.883
