Iteration,Time_mean,Time_std,GenerateTime_mean,GenerateTime_std,EvalTime_mean,EvalTime_std,EvalAvgTime_mean,EvalAvgTime_std,SelectTime_mean,SelectTime_std,Attempts_mean,Attempts_std,Candidates_mean,Candidates_std,EstimatedGain_mean,EstimatedGain_std,UtilityScore_mean,UtilityScore_std,NBVTime_mean,NBVTime_std,Progress_mean,Progress_std,Planner_mean,Planner_std,TrajectoryLength_mean,TrajectoryLength_std,MoveTime_mean,MoveTime_std,MapUpdateTime_mean,MapUpdateTime_std,Gain_mean,Gain_std
1,0.0,0.0,5132.333333333333,375.9286279778826,197.33333333333334,11.718930554164634,19.166666666666668,1.1150485789118503,0.3333333333333333,0.5773502691896258,163.33333333333334,24.006943440041123,10.0,0.0,5000.0,0.0,5000.0,0.0,5333.0,382.8668175749891,1.538191,0.0,0.0,0.0,0.0,0.0,6869.666666666667,1300.320473319302,107.66666666666667,4.725815626252606,0.0,0.0
2,13.333333333333334,1.5275252316519468,6855.333333333333,1760.7516387421972,187.0,9.539392014169456,18.133333333333336,0.9073771725877464,0.6666666666666666,1.1547005383792517,180.33333333333334,52.0512567891817,10.0,0.0,5000.0,0.0,5000.0,0.0,7046.333333333333,1755.1664688380224,9.528248666666668,2.273256579998249,0.0,0.0,0.0,0.0,10303.0,9424.306393576135,111.33333333333333,3.214550253664317,0.0,0.0
3,32.333333333333336,11.06044001535804,9729.333333333334,4672.084795177987,191.66666666666666,9.07377172587747,18.533333333333335,0.9291573243177591,2.3333333333333335,2.0816659994661326,241.33333333333334,120.58330453812141,10.0,0.0,5000.0,0.0,5000.0,0.0,9926.666666666666,4663.0683389087635,14.121108666666666,4.947708675102478,0.0,0.0,0.0,0.0,21204.0,12477.87846550847,103.0,1.0,0.0,0.0
4,64.66666666666667,24.846193538112303,7593.333333333333,683.5834501605005,206.0,4.58257569495584,19.900000000000002,0.4582575694955855,1.0,1.0,174.66666666666666,26.159765544311238,10.0,0.0,5000.0,0.0,5000.0,0.0,7803.0,688.5920417780037,19.542708,1.1450868516566763,0.0,0.0,0.0,0.0,5469.333333333333,1719.5639951258963,108.0,2.0,0.0,0.0
5,78.66666666666667,22.278539748675932,8477.666666666666,2423.8717650348863,202.66666666666666,14.502873278538061,19.633333333333336,1.4502873278538062,1.6666666666666667,1.5275252316519465,165.0,45.21061822182926,10.0,0.0,5000.0,0.0,5000.0,0.0,8685.0,2408.3170472344377,26.609133,0.40571939356037645,0.0,0.0,0.0,0.0,21971.0,15068.114281488577,111.33333333333333,3.7859388972001833,0.0,0.0
6,111.0,36.09709129556009,13311.333333333334,6115.245320780952,202.33333333333334,17.15614564327703,19.566666666666666,1.7243356208503435,1.6666666666666667,0.5773502691896258,244.33333333333334,115.76412800748483,10.0,0.0,4983.0,18.083141320025124,4983.0,18.083141320025124,13518.666666666666,6108.199434639748,30.512431333333335,1.2532210726896262,0.0,0.0,0.0,0.0,8220.0,1386.4223743145521,103.33333333333333,2.516611478423583,0.0,0.0
7,133.66666666666666,30.989245446337236,14060.333333333334,3490.4779519907206,193.33333333333334,17.03917055884274,18.7,1.8193405398660265,3.3333333333333335,1.5275252316519468,253.66666666666666,63.65794006511154,10.0,0.0,4964.0,35.04283093587046,4964.0,35.04283093587046,14260.0,3490.0823772512877,34.219616,1.913093028697506,0.0,0.0,0.0,0.0,18020.333333333332,12229.916284804787,104.66666666666667,1.5275252316519485,0.0,0.0
8,166.66666666666666,26.764404221527762,19657.666666666668,14623.3421738443,191.33333333333334,11.59022576714247,18.366666666666667,1.1676186592091318,2.0,2.6457513110645907,308.0,244.22121120001023,10.0,0.0,4929.0,122.97560733739029,4929.0,122.97560733739029,19854.0,14608.796973057022,39.426123,1.8126784956061577,0.0,0.0,0.0,0.0,9203.333333333334,5246.484569055106,108.66666666666667,5.0332229568471645,0.0,0.0
9,196.33333333333334,37.07200201409864,15423.333333333334,6616.39005299214,200.33333333333334,17.214335111567145,19.366666666666667,1.5947831618540904,1.6666666666666667,0.5773502691896257,230.0,108.59558002055148,10.0,0.0,4679.333333333333,546.7735667836672,4679.333333333333,546.7735667836672,15628.0,6628.564173333468,42.469051,1.994697067025467,0.0,0.0,0.0,0.0,10686.0,4394.794306904477,107.0,2.6457513110645907,0.0,0.0
10,223.66666666666666,44.769781475157245,10711.333333333334,4924.0846188234145,208.0,9.539392014169456,20.1,0.8660254037844386,1.6666666666666667,0.5773502691896258,160.0,60.09991680526688,10.0,0.0,4670.0,571.5767664977295,4670.0,571.5767664977295,10923.333333333334,4932.056805566349,44.373253,3.5603769237198755,0.0,0.0,0.0,0.0,8019.666666666667,1626.6017746619282,112.66666666666667,8.020806277010644,0.0,0.0
11,243.66666666666666,50.846173241782246,13722.666666666666,11259.597387710333,213.33333333333334,11.23981020005824,20.8,1.081665382639196,2.6666666666666665,0.5773502691896258,195.66666666666666,165.74780038761702,10.0,0.0,4308.666666666667,948.7635813696336,4308.666666666667,948.7635813696336,13941.333333333334,11248.26072481134,48.656126666666665,3.0400003451278317,0.0,0.0,0.0,0.0,16820.666666666668,8616.091592673172,106.0,3.0,0.0,0.0
12,275.0,54.58021619598075,13078.333333333334,4992.205558000725,216.0,19.313207915827967,20.933333333333334,2.02072594216369,2.3333333333333335,0.5773502691896258,180.33333333333334,57.500724633115134,10.0,0.0,4309.666666666667,407.0163796867803,4309.666666666667,407.0163796867803,13299.333333333334,4982.572260723705,51.357437000000004,0.724182944755672,0.0,0.0,0.0,0.0,21637.666666666668,15624.604005648698,108.0,1.7320508075688772,0.0,0.0
13,310.6666666666667,62.42862591258384,12205.666666666666,2943.183537147035,221.0,3.4641016151377544,21.400000000000002,0.435889894354066,2.0,1.0,157.66666666666666,30.2709982216202,10.0,0.0,4693.0,531.7395979236453,4693.0,531.7395979236453,12431.0,2940.810092474521,53.37551166666666,1.961373179790461,0.0,0.0,0.0,0.0,9136.666666666666,1815.2135778836973,105.33333333333333,2.886751345948127,0.0,0.0
14,333.0,62.26556030423239,22097.333333333332,4008.8382772735217,200.66666666666666,15.373136743466937,19.400000000000002,1.5588457268119895,2.6666666666666665,0.5773502691896258,290.3333333333333,52.93706955747866,10.0,0.0,4532.0,595.2848057862724,4532.0,595.2848057862724,22303.0,3998.833830005943,56.911887666666665,1.855879319887298,0.0,0.0,0.0,0.0,10269.666666666666,2766.9176592976764,108.33333333333333,3.055050463303895,0.0,0.0
15,366.0,60.30754513325841,13162.0,2531.491852643417,186.66666666666666,12.503332889007364,18.033333333333335,1.3012814197295437,1.3333333333333333,0.5773502691896258,156.0,26.0,10.0,0.0,4048.0,723.4922252519373,4048.0,723.4922252519373,13352.666666666666,2532.4858012106074,60.51152533333334,0.35624157863075595,0.0,0.0,0.0,0.0,18021.0,9251.187383249784,108.66666666666667,2.081665999466134,0.0,0.0
