Time,Progress_mean,Progress_std
0,1.538,0.0
10,4.471,0.939
20,7.404,1.878
30,10.337,2.817
40,13.269,3.756
50,16.202,4.695
60,19.135,5.634
70,22.068,6.573
80,24.053,6.014
90,25.606,6.209
100,26.599,6.375
110,27.591,6.542
120,28.584,6.709
130,29.576,6.877
140,30.568,7.045
150,31.561,7.214
160,32.553,7.383
170,33.546,7.552
180,34.538,7.722
190,35.531,7.892
200,36.523,8.063
210,37.515,8.233
220,38.508,8.405
230,39.5,8.576
240,40.493,8.748
250,41.485,8.919
260,42.478,9.091
270,43.47,9.264
280,44.462,9.436
290,45.455,9.609
300,46.447,9.782
310,47.44,9.955
320,48.432,10.128
330,49.424,10.301
340,50.417,10.475
350,51.409,10.648
360,52.519,10.88
370,53.629,11.117
380,54.738,11.358
390,55.848,11.604
400,56.958,11.853
410,58.067,12.106
420,59.177,12.363
430,60.287,12.622
440,61.396,12.885
450,62.384,13.034
460,63.371,13.193
470,64.358,13.362
480,65.463,13.647
490,66.568,13.953
500,67.314,13.916
510,68.06,13.879
520,68.805,13.843
530,69.551,13.806
540,70.052,13.591
550,70.553,13.386
560,71.055,13.193
570,71.556,13.012
580,72.057,12.842
590,72.558,12.685
600,73.059,12.542
610,73.377,12.177
620,73.695,11.815
630,74.013,11.457
640,74.331,11.103
650,74.649,10.753
660,74.967,10.408
670,75.285,10.069
680,75.603,9.735
690,75.921,9.407
700,76.239,9.087
710,76.557,8.775
720,76.875,8.471
730,77.192,8.178
740,77.51,7.895
750,77.828,7.624
760,78.146,7.367
770,78.464,7.125
780,78.782,6.899
790,79.1,6.691
800,79.418,6.504
810,79.736,6.337
820,80.054,6.195
830,80.372,6.077
840,80.69,5.986
850,81.008,5.922
860,81.326,5.887
870,81.644,5.882
880,81.962,5.905
890,82.28,5.958
900,82.598,6.038
910,82.915,6.146
920,83.233,6.279
930,83.551,6.436
940,83.869,6.616
950,84.187,6.816
960,84.505,7.035
970,84.823,7.271
980,85.141,7.523
990,85.396,7.735
1000,85.651,7.954
1010,85.905,8.178
1020,86.16,8.408
1030,86.415,8.643
1040,86.67,8.882
1050,86.751,8.949
1060,86.833,9.015
1070,86.915,9.082
1080,86.997,9.149
1090,87.079,9.216
1100,87.161,9.284
1110,87.242,9.351
1120,87.324,9.42
1130,87.406,9.488
1140,87.488,9.556
1150,87.57,9.625
1160,87.652,9.694
1170,87.733,9.763
1180,87.815,9.833
1190,87.897,9.902
1200,87.979,9.972
1210,88.061,10.042
1220,88.143,10.113
1230,88.224,10.183
1240,88.306,10.254
1250,88.388,10.325
1260,88.415,10.347
1270,88.441,10.37
1280,88.467,10.394
1290,88.469,10.395
1300,88.47,10.396
1310,88.471,10.397
1320,88.473,10.398
1330,88.474,10.399
1340,88.475,10.401
1350,88.477,10.402
1360,88.478,10.403
1370,88.479,10.404
1380,88.481,10.405
1390,88.482,10.407
1400,88.483,10.408
1410,88.485,10.409
1420,88.486,10.41
1430,88.487,10.411
1440,88.489,10.412
1450,88.49,10.414
1460,88.491,10.415
1470,88.493,10.416
1480,88.506,10.428
1490,88.52,10.44
1500,88.533,10.452
1510,88.547,10.464
1520,88.56,10.477
1530,88.574,10.489
1540,88.587,10.501
