Time,Progress_mean,Progress_std
0,1.538,0.0
10,8.138,0.378
20,14.738,0.756
30,21.28,1.827
40,27.822,3.208
50,32.654,3.949
60,37.487,5.699
70,42.319,7.806
80,47.152,10.049
90,49.975,9.072
100,52.798,8.422
110,55.621,8.176
120,58.444,8.37
130,61.267,8.975
140,64.09,9.917
150,66.913,11.109
160,68.902,11.158
170,73.064,11.328
180,74.358,10.36
190,75.652,9.394
200,76.946,8.429
210,80.465,8.849
220,81.504,7.674
230,82.463,6.639
240,83.421,5.607
250,84.38,4.579
260,85.339,3.559
270,86.298,2.556
280,87.256,1.603
290,87.536,1.801
300,87.815,2.002
310,88.094,2.206
320,88.373,2.412
330,88.667,2.507
340,88.961,2.627
350,89.255,2.767
360,89.549,2.925
370,89.949,2.996
380,90.349,3.106
390,90.742,3.241
400,91.136,3.406
410,91.362,3.328
420,91.588,3.294
430,91.814,3.307
440,91.814,3.307
450,91.814,3.307
