Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain
0,509.000000,252.000000,20.250000,0.000000,12,12,1050.000000,1050.000000,765.000000,1,1.538191,0,0.000000,1203.000000,113.000000,-1
3,549.000000,257.000000,20.916667,0.000000,12,12,1103.000000,1103.000000,810.000000,2,2.221426,0,0.000000,1203.000000,112.000000,-1
7,538.000000,289.000000,23.333333,0.000000,12,12,1001.000000,1001.000000,830.000000,3,3.417088,0,0.000000,1202.000000,115.000000,-1
11,559.000000,292.000000,23.583333,0.000000,12,12,1100.000000,1100.000000,853.000000,4,4.385005,0,0.000000,1202.000000,109.000000,-1
15,534.000000,308.000000,24.916667,0.000000,12,12,930.000000,930.000000,844.000000,5,5.239049,0,0.000000,1203.000000,112.000000,-1
18,527.000000,313.000000,25.416667,0.000000,12,12,1104.000000,1104.000000,843.000000,6,5.846369,0,0.000000,1202.000000,113.000000,-1
22,522.000000,288.000000,23.333333,0.000000,12,12,1250.000000,1250.000000,812.000000,7,6.434711,0,0.000000,1252.000000,120.000000,-1
26,583.000000,276.000000,22.416667,0.000000,12,12,1253.000000,1253.000000,861.000000,8,7.023052,0,0.000000,1202.000000,118.000000,-1
29,501.000000,277.000000,22.666667,0.000000,12,12,1000.000000,1000.000000,780.000000,9,7.744245,0,0.000000,1252.000000,116.000000,-1
33,563.000000,261.000000,21.083333,0.000000,12,12,1050.000000,1050.000000,827.000000,10,8.465438,0,0.000000,1202.000000,115.000000,-1
36,491.000000,257.000000,20.916667,0.000000,12,12,955.000000,955.000000,752.000000,11,9.471312,0,0.000000,1203.000000,114.000000,-1
40,537.000000,294.000000,23.916667,0.000000,12,12,1001.000000,1001.000000,834.000000,12,10.723911,0,0.000000,1202.000000,106.000000,-1
43,541.000000,314.000000,25.416667,0.000000,12,12,1100.000000,1100.000000,858.000000,13,11.710806,0,0.000000,1202.000000,110.000000,-1
47,584.000000,303.000000,24.583333,0.000000,12,12,930.000000,930.000000,889.000000,14,12.583829,0,0.000000,1253.000000,111.000000,-1
50,508.000000,324.000000,26.416667,0.000000,12,12,1104.000000,1104.000000,835.000000,15,13.191150,0,0.000000,1202.000000,108.000000,-1
54,497.000000,287.000000,23.333333,0.000000,12,12,1250.000000,1250.000000,787.000000,16,13.779491,0,0.000000,1202.000000,119.000000,-1
