Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain
0,50255.000000,2915.000000,19.687500,0.000000,729,144,5000.000000,1453.404118,60780.000000,1,1.538191,1,3.440199,6003.000000,113.000000,-1
68,-1,2940.000000,20.034965,0.000000,-1,143,4341.000000,2636.874844,12013.000000,2,3.132406,1,1.646267,2352.000000,120.000000,-1
84,-1,2973.000000,20.366197,0.000000,-1,142,3074.000000,2183.121980,13730.000000,3,3.568918,1,1.408075,2052.000000,113.000000,-1
101,-1,3013.000000,20.808511,0.000000,-1,141,5000.000000,2648.869807,14968.000000,4,3.701769,1,1.887597,5403.000000,114.000000,-1
123,-1,2974.000000,20.678571,0.000000,-1,140,5000.000000,1506.434471,13988.000000,5,12.090381,1,3.319096,4554.000000,121.000000,-1
143,-1,3070.000000,21.517986,0.000000,-1,139,1663.000000,5489.358959,10973.000000,6,22.756445,1,0.302950,1603.000000,118.000000,-1
157,-1,2989.000000,21.101449,0.000000,-1,138,3203.000000,4013.048647,10909.000000,7,26.647091,1,0.798146,3153.000000,112.000000,-1
172,-1,3071.000000,21.861314,0.000000,-1,137,1271.000000,4167.144791,10841.000000,8,32.606422,1,0.305005,1602.000000,119.000000,-1
185,-1,3018.000000,21.777778,0.000000,-1,135,3827.000000,2344.935452,11025.000000,9,34.864894,1,1.632028,5403.000000,120.000000,-1
202,-1,3004.000000,22.052632,0.000000,-1,133,1183.000000,4655.117835,11282.000000,10,38.622689,1,0.254129,1452.000000,117.000000,-1
216,-1,3058.000000,22.915385,0.000000,-1,130,3006.000000,3325.659786,11514.000000,11,40.122011,1,0.903881,3103.000000,113.000000,-1
231,-1,3095.000000,26.526316,1.000000,-1,114,737.000000,2849.588966,10484.000000,12,42.114781,1,0.258634,1452.000000,118.000000,-1
244,-1,2696.000000,24.155963,0.000000,-1,109,3374.000000,1642.817915,9929.000000,13,42.665165,1,2.053788,6002.000000,122.000000,-1
261,-1,2657.000000,24.271028,0.000000,-1,107,4214.000000,2254.553227,10360.000000,14,48.377771,1,1.869106,5403.000000,118.000000,-1
277,-1,2664.000000,26.040000,0.000000,-1,100,643.000000,4675.872131,8682.000000,15,51.338458,1,0.137514,1103.000000,120.000000,-1
288,-1,2619.000000,28.444444,0.000000,-1,90,755.000000,1729.014836,8179.000000,16,51.812927,1,0.436665,2052.000000,123.000000,-1
299,-1,2224.000000,24.449438,0.000000,-1,89,4531.000000,1078.511100,7593.000000,17,52.192502,1,4.201162,7802.000000,117.000000,-1
315,-1,2357.000000,26.181818,0.000000,-1,88,1423.000000,4739.812972,7794.000000,18,56.405787,1,0.300223,1603.000000,128.000000,-1
325,-1,2194.000000,24.701149,0.000000,-1,87,3027.000000,3931.287545,7739.000000,19,57.677364,1,0.769977,3102.000000,123.000000,-1
336,-1,2202.000000,25.352941,0.000000,-1,85,989.000000,2998.344832,7536.000000,20,61.207414,1,0.329849,1603.000000,122.000000,-1
346,-1,2134.000000,25.402439,0.000000,-1,82,3163.000000,1914.283394,6952.000000,21,64.395845,1,1.652315,5402.000000,121.000000,-1
359,-1,2083.000000,25.784810,0.000000,-1,79,1109.000000,2484.881408,7448.000000,22,67.166744,1,0.446299,2053.000000,119.000000,-1
369,-1,2021.000000,28.242857,0.000000,-1,70,2165.000000,1298.655159,6971.000000,23,67.318574,1,1.667109,5952.000000,118.000000,-1
382,-1,1858.000000,27.089552,0.000000,-1,67,4913.000000,1006.030805,6221.000000,24,68.229555,1,4.883548,7003.000000,120.000000,-1
396,-1,1772.000000,26.692308,0.000000,-1,65,917.000000,3053.798981,6347.000000,25,71.399008,1,0.300282,1602.000000,127.000000,-1
405,-1,1777.000000,30.086207,0.000000,-1,58,1191.000000,699.453765,5873.000000,26,72.291010,1,1.702757,3753.000000,121.000000,-1
415,-1,1594.000000,27.385965,0.000000,-1,57,759.000000,2484.404569,4861.000000,27,72.480797,1,0.305506,1653.000000,124.000000,-1
422,-1,1599.000000,28.035714,0.000000,-1,56,990.000000,415.591860,4915.000000,28,72.518755,1,2.382145,5803.000000,121.000000,-1
433,-1,1586.000000,39.948718,0.000000,-1,39,458.000000,181.172548,4041.000000,29,72.803436,1,2.527977,7803.000000,127.000000,-1
445,-1,1139.000000,31.942857,0.000000,-1,35,581.000000,214.179630,3459.000000,30,72.860372,1,2.712676,5404.000000,133.000000,-1
455,-1,1013.000000,47.285714,0.000000,-1,21,213.000000,87.913591,2968.000000,31,73.391778,1,2.422834,7003.000000,122.000000,-1
465,-1,601.000000,36.812500,0.000000,-1,16,474.000000,82.864648,1718.000000,32,73.505650,1,5.720171,6703.000000,128.000000,-1
474,-1,428.000000,34.916667,0.000000,-1,12,196.000000,38.330164,1172.000000,33,75.346590,1,5.113466,10304.000000,131.000000,-1
486,-1,329.000000,32.300000,0.000000,-1,10,149.000000,44.102523,944.000000,34,75.403526,1,3.378492,7053.000000,127.000000,-1
495,-1,241.000000,26.222222,0.000000,-1,9,24.000000,16.028580,818.000000,35,75.915953,1,1.497325,3103.000000,121.000000,-1
499,-1,216.000000,26.375000,0.000000,-1,8,65.000000,10.866884,842.000000,36,75.953910,1,5.981476,7803.000000,123.000000,-1
508,-1,194.000000,27.285714,0.000000,-1,7,9.000000,2.604531,696.000000,37,76.124719,1,3.455517,6002.000000,126.000000,-1
515,-1,169.000000,27.666667,0.000000,-1,6,31.000000,70.164154,495.000000,38,76.447358,1,0.441821,2053.000000,125.000000,-1
518,-1,135.000000,26.400000,0.000000,-1,5,31.000000,7.649664,473.000000,39,76.561231,1,4.052465,4403.000000,124.000000,-1
