Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime
0,433.000000,167.000000,20.375000,-1,8,8,2291.000000,2291.000000,602.000000,1,1.538191,0,-1,1903.000000,119.000000
4,400.000000,201.000000,24.750000,-1,8,8,2925.000000,2925.000000,603.000000,2,3.474024,0,-1,1903.000000,121.000000
9,488.000000,220.000000,26.750000,-1,8,8,3076.000000,3076.000000,710.000000,3,5.846369,0,-1,1902.000000,135.000000
13,552.000000,231.000000,28.000000,-1,8,8,2921.000000,2921.000000,785.000000,4,8.237693,0,-1,1902.000000,130.000000
18,449.000000,238.000000,28.875000,-1,8,8,2746.000000,2746.000000,689.000000,5,10.021697,0,-1,1903.000000,135.000000
22,535.000000,246.000000,30.000000,-1,8,8,3061.000000,3061.000000,783.000000,6,14.291918,0,-1,1902.000000,129.000000
26,517.000000,259.000000,31.500000,-1,8,8,3190.000000,3190.000000,778.000000,7,18.524181,0,-1,1903.000000,132.000000
30,553.000000,150.000000,29.600000,-1,8,5,2909.000000,2909.000000,705.000000,8,21.883422,0,-1,1903.000000,142.000000
34,589.000000,59.000000,29.000000,-1,8,2,84.000000,84.000000,648.000000,9,24.844108,0,-1,1903.000000,132.000000
38,528.000000,171.000000,27.833333,-1,8,6,2483.000000,2483.000000,701.000000,10,25.071854,0,-1,1903.000000,139.000000
42,688.000000,60.000000,29.000000,-1,8,2,251.000000,251.000000,749.000000,11,29.645735,0,-1,1902.000000,139.000000
46,553.000000,190.000000,31.000000,-1,8,6,2713.000000,2713.000000,746.000000,12,30.328970,0,-1,1903.000000,142.000000
50,640.000000,101.000000,33.000000,-1,8,3,2081.000000,2081.000000,742.000000,13,38.451880,0,-1,1904.000000,136.000000
54,614.000000,137.000000,33.750000,-1,8,4,3020.000000,3020.000000,753.000000,14,43.727975,0,-1,1902.000000,142.000000
57,628.000000,59.000000,29.000000,-1,8,2,2723.000000,2723.000000,688.000000,15,44.164487,0,-1,1902.000000,139.000000
61,629.000000,58.000000,28.500000,-1,8,2,2535.000000,2535.000000,688.000000,16,50.655223,0,-1,1903.000000,138.000000
64,544.000000,203.000000,28.571429,-1,8,7,2919.000000,2919.000000,749.000000,17,53.824676,0,-1,1902.000000,142.000000
68,531.000000,227.000000,27.750000,-1,8,8,1621.000000,1621.000000,760.000000,18,56.747405,0,-1,1902.000000,138.000000
72,577.000000,115.000000,28.250000,-1,8,4,295.000000,295.000000,693.000000,19,57.981024,0,-1,1903.000000,136.000000
75,501.000000,213.000000,26.125000,-1,8,8,1041.000000,1041.000000,716.000000,20,58.094897,0,-1,1902.000000,142.000000
79,608.000000,210.000000,25.500000,-1,8,8,1269.000000,1269.000000,821.000000,21,58.360599,0,-1,1052.000000,155.000000
82,447.000000,199.000000,24.250000,-1,8,8,1156.000000,1156.000000,648.000000,22,58.436515,0,-1,1902.000000,144.000000
86,17199.000000,374.000000,30.416667,0.000000,150,12,4048.000000,4048.000000,17576.000000,23,58.436515,1,-1,5903.000000,151.000000
110,546.000000,259.000000,31.750000,-1,8,8,3054.000000,3054.000000,807.000000,24,66.331679,0,-1,1902.000000,157.000000
115,610.000000,62.000000,30.500000,-1,8,2,650.000000,650.000000,674.000000,25,70.981475,0,-1,1052.000000,160.000000
117,599.000000,137.000000,33.500000,-1,8,4,2068.000000,2068.000000,737.000000,26,72.215095,0,-1,1903.000000,162.000000
121,637.000000,74.000000,37.000000,-1,8,2,1271.000000,1271.000000,713.000000,27,73.581565,0,-1,1052.000000,170.000000
124,572.000000,144.000000,35.000000,-1,8,4,832.000000,832.000000,717.000000,28,74.606418,0,-1,1053.000000,160.000000
127,635.000000,167.000000,32.800000,-1,8,5,1738.000000,1738.000000,804.000000,29,75.593314,0,-1,1903.000000,164.000000
131,591.000000,111.000000,36.666667,-1,8,3,1272.000000,1272.000000,704.000000,30,76.713061,0,-1,1903.000000,162.000000
134,677.000000,68.000000,33.500000,-1,8,2,852.000000,852.000000,746.000000,31,76.845912,0,-1,1902.000000,166.000000
138,578.000000,134.000000,33.000000,-1,8,4,423.000000,423.000000,714.000000,32,77.206509,0,-1,1903.000000,165.000000
141,565.000000,66.000000,32.500000,-1,8,2,57.000000,57.000000,632.000000,33,77.339360,0,-1,1903.000000,170.000000
145,556.000000,159.000000,31.000000,-1,8,5,94.000000,94.000000,717.000000,34,77.415275,0,-1,1903.000000,168.000000
149,665.000000,103.000000,33.666667,-1,8,3,193.000000,193.000000,769.000000,35,77.434254,0,-1,1053.000000,161.000000
152,573.000000,179.000000,35.200000,-1,8,5,788.000000,788.000000,754.000000,36,77.510169,0,-1,1052.000000,164.000000
155,571.000000,175.000000,34.400000,-1,8,5,857.000000,857.000000,747.000000,37,78.250340,0,-1,1053.000000,166.000000
158,566.000000,205.000000,33.666667,-1,8,6,770.000000,770.000000,773.000000,38,78.952555,0,-1,1903.000000,168.000000
162,491.000000,233.000000,32.428571,-1,8,7,632.000000,632.000000,726.000000,39,78.971533,0,-1,1053.000000,166.000000
165,34320.000000,431.000000,32.461538,0.000000,299,13,2537.000000,2537.000000,34756.000000,40,78.971533,1,-1,9554.000000,170.000000
252,486.000000,199.000000,24.125000,-1,8,8,63.000000,63.000000,687.000000,41,79.351109,0,-1,1053.000000,167.000000
254,500.000000,204.000000,24.750000,-1,8,8,137.000000,137.000000,705.000000,42,79.389066,0,-1,1902.000000,176.000000
258,482.000000,184.000000,22.500000,-1,8,8,213.000000,213.000000,668.000000,43,79.427024,0,-1,1052.000000,174.000000
261,480.000000,181.000000,22.125000,-1,8,8,20.000000,20.000000,664.000000,44,79.464981,0,-1,1902.000000,168.000000
264,87587.000000,427.000000,29.714286,0.000000,759,14,3381.000000,3381.000000,88017.000000,45,79.483960,1,-1,8354.000000,177.000000
428,578.000000,245.000000,30.125000,-1,8,8,528.000000,528.000000,826.000000,46,83.583372,0,-1,1903.000000,172.000000
431,507.000000,215.000000,26.000000,-1,8,8,307.000000,307.000000,724.000000,47,83.830096,0,-1,1052.000000,173.000000
434,45342.000000,347.000000,26.076923,0.000000,378,13,1812.000000,1812.000000,45693.000000,48,83.849075,1,-1,7254.000000,173.000000
489,530.000000,208.000000,25.250000,-1,8,8,663.000000,663.000000,740.000000,49,84.892907,0,-1,1903.000000,178.000000
492,585.000000,185.000000,25.714286,-1,8,7,257.000000,257.000000,771.000000,50,85.139631,0,-1,1052.000000,174.000000
495,576.000000,179.000000,25.285714,-1,8,7,218.000000,218.000000,757.000000,51,85.177588,0,-1,1903.000000,173.000000
499,38269.000000,331.000000,29.363636,0.000000,328,11,1646.000000,1646.000000,38604.000000,52,85.614100,1,-1,6353.000000,174.000000
644,56442.000000,331.000000,29.363636,0.000000,476,11,879.000000,879.000000,56777.000000,53,86.145505,1,-1,5705.000000,178.000000
709,7166.000000,302.000000,24.416667,0.000000,63,12,383.000000,383.000000,7472.000000,54,86.145505,1,-1,6153.000000,172.000000
723,1029.000000,189.000000,30.833333,-1,8,6,1646.000000,1646.000000,1219.000000,55,86.145505,0,-1,1053.000000,176.000000
768,531.000000,173.000000,28.000000,-1,8,6,117.000000,117.000000,705.000000,56,89.087213,0,-1,1053.000000,178.000000
-1731083183,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1731083483,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1731084527,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,399.000000,180.000000,22.000000,-1,8,8,2291.000000,2291.000000,581.000000,1,1.538191,0,-1,1902.000000,78.000000
4,429.000000,199.000000,24.125000,-1,8,8,2924.000000,2924.000000,631.000000,2,3.474024,0,-1,1902.000000,72.000000
8,483.000000,218.000000,26.625000,-1,8,8,3076.000000,3076.000000,703.000000,3,5.846369,0,-1,1903.000000,74.000000
12,527.000000,238.000000,28.875000,-1,8,8,2919.000000,2919.000000,767.000000,4,8.237693,0,-1,1903.000000,82.000000
16,436.000000,220.000000,27.125000,-1,8,8,2739.000000,2739.000000,659.000000,5,10.021697,0,-1,1902.000000,72.000000
20,488.000000,240.000000,29.250000,-1,8,8,3063.000000,3063.000000,730.000000,6,14.291918,0,-1,1903.000000,72.000000
24,496.000000,240.000000,29.375000,-1,8,8,3191.000000,3191.000000,739.000000,7,18.524181,0,-1,1902.000000,73.000000
28,571.000000,140.000000,27.600000,-1,8,5,2911.000000,2911.000000,713.000000,8,21.883422,0,-1,1903.000000,75.000000
32,579.000000,54.000000,26.000000,-1,8,2,85.000000,85.000000,634.000000,9,24.844108,0,-1,1903.000000,79.000000
36,521.000000,160.000000,26.000000,-1,8,6,2483.000000,2483.000000,683.000000,10,25.071854,0,-1,1902.000000,79.000000
40,637.000000,58.000000,28.500000,-1,8,2,253.000000,253.000000,696.000000,11,29.645735,0,-1,1903.000000,81.000000
43,559.000000,165.000000,27.000000,-1,8,6,2717.000000,2717.000000,725.000000,12,30.328970,0,-1,1902.000000,74.000000
47,597.000000,92.000000,30.000000,-1,8,3,2084.000000,2084.000000,690.000000,13,38.451880,0,-1,1903.000000,76.000000
50,547.000000,125.000000,30.500000,-1,8,4,3058.000000,3058.000000,674.000000,14,43.727975,0,-1,1902.000000,76.000000
54,572.000000,57.000000,28.000000,-1,8,2,2787.000000,2787.000000,630.000000,15,44.164487,0,-1,1902.000000,77.000000
57,562.000000,53.000000,26.000000,-1,8,2,2530.000000,2530.000000,616.000000,16,50.674201,0,-1,1903.000000,77.000000
60,493.000000,183.000000,25.571429,-1,8,7,2923.000000,2923.000000,679.000000,17,53.824676,0,-1,1903.000000,76.000000
63,548.000000,212.000000,25.750000,-1,8,8,1624.000000,1624.000000,761.000000,18,56.747405,0,-1,1903.000000,80.000000
67,551.000000,100.000000,24.500000,-1,8,4,298.000000,298.000000,652.000000,19,57.962046,0,-1,1902.000000,75.000000
70,468.000000,200.000000,24.375000,-1,8,8,1045.000000,1045.000000,671.000000,20,58.075918,0,-1,1902.000000,81.000000
73,448.000000,191.000000,23.125000,-1,8,8,1273.000000,1273.000000,641.000000,21,58.341621,0,-1,1053.000000,76.000000
