Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime
0,5566.000000,206.000000,20.000000,0.000000,191,10,5000.000000,5000.000000,5775.000000,1,1.538191,0,-1,8153.000000,104.000000
15,7778.000000,176.000000,17.100000,0.000000,183,10,5000.000000,5000.000000,7957.000000,2,8.370544,0,-1,6052.000000,110.000000
31,11989.000000,193.000000,18.800000,4.000000,270,10,5000.000000,5000.000000,12189.000000,3,15.848176,0,-1,33555.000000,103.000000
78,6916.000000,201.000000,19.400000,2.000000,147,10,5000.000000,5000.000000,7121.000000,4,20.194312,0,-1,4402.000000,110.000000
90,10522.000000,188.000000,18.200000,2.000000,203,10,5000.000000,5000.000000,10715.000000,5,26.476282,0,-1,35705.000000,114.000000
138,7294.000000,218.000000,21.100000,2.000000,137,10,4985.000000,4985.000000,7518.000000,6,31.581568,0,-1,7853.000000,101.000000
154,10504.000000,184.000000,17.700000,5.000000,200,10,4962.000000,4962.000000,10695.000000,7,32.397655,0,-1,24805.000000,106.000000
191,16612.000000,193.000000,18.600000,0.000000,250,10,5000.000000,5000.000000,16807.000000,8,41.222779,0,-1,14804.000000,104.000000
223,15218.000000,214.000000,20.700000,2.000000,198,10,4048.000000,4048.000000,15437.000000,9,44.411211,0,-1,9103.000000,110.000000
248,15652.000000,213.000000,20.600000,2.000000,206,10,4010.000000,4010.000000,15869.000000,10,47.865345,0,-1,9603.000000,121.000000
275,9436.000000,216.000000,21.100000,3.000000,131,10,3227.000000,3227.000000,9658.000000,11,50.237690,0,-1,22854.000000,106.000000
308,8683.000000,237.000000,23.100000,3.000000,123,10,4608.000000,4608.000000,8925.000000,12,50.901947,0,-1,8854.000000,110.000000
326,15425.000000,219.000000,21.100000,2.000000,190,10,4079.000000,4079.000000,15649.000000,13,54.507911,0,-1,7203.000000,107.000000
350,23195.000000,211.000000,20.300000,2.000000,312,10,4734.000000,4734.000000,23411.000000,14,54.792593,0,-1,13353.000000,109.000000
387,12037.000000,199.000000,19.300000,1.000000,142,10,3463.000000,3463.000000,12240.000000,15,60.125624,0,-1,24655.000000,111.000000
425,8533.000000,202.000000,19.600000,0.000000,93,10,4526.000000,4526.000000,8737.000000,16,64.187079,0,-1,9303.000000,107.000000
443,16085.000000,231.000000,22.400000,2.000000,198,10,3943.000000,3943.000000,16321.000000,17,64.870314,0,-1,10103.000000,113.000000
470,9612.000000,210.000000,20.200000,3.000000,102,10,4990.000000,4990.000000,9828.000000,18,72.082243,0,-1,9904.000000,102.000000
490,10862.000000,212.000000,20.600000,5.000000,116,10,1306.000000,1306.000000,11083.000000,19,75.669229,0,-1,18654.000000,113.000000
521,10772.000000,204.000000,19.700000,2.000000,122,10,2030.000000,2030.000000,10981.000000,20,77.377317,0,-1,6953.000000,109.000000
539,6165.000000,234.000000,22.600000,1.000000,59,10,3703.000000,3703.000000,6403.000000,21,78.212383,0,-1,18304.000000,110.000000
564,10223.000000,222.000000,21.600000,0.000000,101,10,2777.000000,2777.000000,10447.000000,22,79.882514,0,-1,6503.000000,113.000000
582,8011.000000,210.000000,20.400000,4.000000,78,10,4965.000000,4965.000000,8228.000000,23,83.014009,0,-1,9053.000000,113.000000
600,7973.000000,216.000000,20.800000,3.000000,85,10,2876.000000,2876.000000,8195.000000,24,83.545415,0,-1,5802.000000,113.000000
614,7510.000000,240.000000,23.500000,0.000000,73,10,2271.000000,2271.000000,7753.000000,25,84.968822,0,-1,3953.000000,108.000000
626,8853.000000,223.000000,21.600000,2.000000,90,10,1928.000000,1928.000000,9081.000000,26,85.898781,0,-1,5652.000000,113.000000
642,9892.000000,208.000000,20.300000,2.000000,94,10,2390.000000,2390.000000,10105.000000,27,86.107547,0,-1,12703.000000,108.000000
665,5036.000000,218.000000,21.100000,1.000000,56,10,793.000000,793.000000,5257.000000,28,86.506101,0,-1,8803.000000,110.000000
679,5378.000000,225.000000,21.600000,2.000000,53,10,1402.000000,1402.000000,5608.000000,29,86.790783,0,-1,7253.000000,112.000000
693,6026.000000,212.000000,20.600000,2.000000,60,10,667.000000,667.000000,6242.000000,30,86.885677,0,-1,19103.000000,115.000000
719,3536.000000,233.000000,22.700000,3.000000,37,10,345.000000,345.000000,3775.000000,31,87.094443,0,-1,22603.000000,122.000000
745,7224.000000,222.000000,21.400000,2.000000,66,10,294.000000,294.000000,7451.000000,32,87.208315,0,-1,40756.000000,114.000000
794,8786.000000,196.000000,19.000000,2.000000,82,10,2509.000000,2509.000000,8986.000000,33,87.322188,0,-1,23454.000000,113.000000
827,9641.000000,223.000000,21.600000,2.000000,95,10,682.000000,682.000000,9868.000000,34,88.403977,0,-1,7854.000000,114.000000
845,4692.000000,203.000000,19.700000,1.000000,48,10,116.000000,116.000000,4899.000000,35,88.479892,0,-1,5853.000000,118.000000
856,4692.000000,203.000000,19.700000,1.000000,48,10,116.000000,116.000000,-1,36,88.479892,-1,-1,-1,-1
867,4692.000000,203.000000,19.700000,1.000000,48,10,116.000000,116.000000,-1,37,88.479892,-1,-1,-1,-1
878,7876.000000,235.000000,22.800000,2.000000,70,10,939.000000,939.000000,8116.000000,38,88.479892,1,-1,14903.000000,124.000000
902,10590.000000,267.000000,25.900000,1.000000,95,10,239.000000,239.000000,10862.000000,39,88.631722,1,-1,29755.000000,117.000000
943,5332.000000,227.000000,21.800000,2.000000,53,10,206.000000,206.000000,5563.000000,40,89.030276,1,-1,18954.000000,124.000000
968,5889.000000,233.000000,22.700000,1.000000,54,10,150.000000,150.000000,6125.000000,41,89.068234,1,-1,9503.000000,120.000000
984,7106.000000,264.000000,25.800000,3.000000,65,10,1695.000000,1695.000000,7376.000000,42,89.106191,1,-1,8153.000000,125.000000
1001,6843.000000,202.000000,19.600000,1.000000,64,10,31.000000,31.000000,7049.000000,43,90.871216,1,-1,14903.000000,122.000000
1023,8346.000000,210.000000,20.500000,2.000000,83,10,3027.000000,3027.000000,8561.000000,44,90.890195,1,-1,11954.000000,121.000000
1044,14469.000000,239.000000,23.200000,1.000000,125,10,274.000000,274.000000,14713.000000,45,93.471306,1,-1,7753.000000,120.000000
1067,6323.000000,245.000000,23.900000,2.000000,56,10,391.000000,391.000000,6573.000000,46,93.699052,1,-1,8703.000000,117.000000
1083,3960.000000,211.000000,20.500000,1.000000,36,10,380.000000,380.000000,4175.000000,47,93.869860,1,-1,8553.000000,123.000000
1096,5073.000000,226.000000,21.900000,0.000000,47,10,0.000000,0.000000,5301.000000,48,93.983733,1,-1,5754.000000,120.000000
1108,7142.000000,219.000000,21.200000,0.000000,69,10,0.000000,0.000000,7363.000000,49,93.983733,1,-1,6103.000000,117.000000
1122,5003.000000,257.000000,25.200000,1.000000,48,10,994.000000,994.000000,5263.000000,50,93.983733,1,-1,9203.000000,118.000000
1137,5214.000000,217.000000,21.100000,1.000000,47,10,30.000000,30.000000,5434.000000,51,94.325351,1,-1,5803.000000,117.000000
1148,6781.000000,239.000000,23.100000,1.000000,60,10,4.000000,4.000000,7024.000000,52,94.363308,1,-1,16353.000000,120.000000
1172,8420.000000,242.000000,23.300000,0.000000,69,10,0.000000,0.000000,8664.000000,53,94.363308,1,-1,35656.000000,126.000000
1217,6041.000000,241.000000,23.400000,0.000000,65,10,0.000000,0.000000,6285.000000,54,94.363308,1,-1,10004.000000,123.000000
1234,5807.000000,203.000000,19.600000,0.000000,52,10,0.000000,0.000000,6013.000000,55,94.363308,1,-1,9254.000000,126.000000
