Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain
0,4932.000000,184.000000,17.900000,1.000000,151,10,5000.000000,5000.000000,5120.000000,1,1.538191,0,0.000000,5553.000000,113.000000,-1
12,4825.000000,192.000000,18.500000,2.000000,127,10,5000.000000,5000.000000,5023.000000,2,12.147318,0,0.000000,3753.000000,109.000000,-1
22,4357.000000,200.000000,19.300000,3.000000,109,10,5000.000000,5000.000000,4564.000000,3,17.973797,0,0.000000,8603.000000,102.000000,-1
36,8283.000000,210.000000,20.300000,1.000000,199,10,5000.000000,5000.000000,8498.000000,4,20.213291,0,0.000000,7453.000000,108.000000,-1
53,9111.000000,203.000000,19.600000,0.000000,177,10,5000.000000,5000.000000,9316.000000,5,26.286494,0,0.000000,5853.000000,113.000000,-1
70,19520.000000,205.000000,19.900000,1.000000,367,10,5000.000000,5000.000000,19729.000000,6,29.133308,0,0.000000,7054.000000,103.000000,-1
98,14196.000000,213.000000,20.800000,2.000000,237,10,4930.000000,4930.000000,14415.000000,7,34.048807,0,0.000000,25354.000000,103.000000,-1
138,6797.000000,202.000000,19.400000,5.000000,98,10,4787.000000,4787.000000,7009.000000,8,39.457754,0,0.000000,8403.000000,114.000000,-1
154,8912.000000,181.000000,17.600000,2.000000,141,10,5000.000000,5000.000000,9097.000000,9,40.425671,0,0.000000,7302.000000,105.000000,-1
172,5804.000000,197.000000,19.100000,1.000000,92,10,5000.000000,5000.000000,6005.000000,10,40.748310,0,0.000000,6353.000000,105.000000,-1
185,5236.000000,223.000000,21.700000,3.000000,72,10,5000.000000,5000.000000,5464.000000,11,45.151382,0,0.000000,20655.000000,109.000000,-1
212,12046.000000,199.000000,19.100000,2.000000,180,10,4475.000000,4475.000000,12250.000000,12,50.977862,0,0.000000,17004.000000,107.000000,-1
242,11539.000000,219.000000,21.200000,1.000000,153,10,5000.000000,5000.000000,11761.000000,13,51.110713,0,0.000000,9403.000000,102.000000,-1
264,25443.000000,183.000000,17.600000,3.000000,329,10,5000.000000,5000.000000,25631.000000,14,58.246727,0,0.000000,8003.000000,111.000000,-1
298,11388.000000,174.000000,16.700000,2.000000,140,10,4857.000000,4857.000000,11567.000000,15,60.827838,0,0.000000,7453.000000,107.000000,-1
317,7693.000000,177.000000,17.000000,1.000000,110,10,3021.000000,3021.000000,7874.000000,16,63.484865,0,0.000000,27105.000000,97.000000,-1
353,10784.000000,184.000000,17.700000,1.000000,133,10,2891.000000,2891.000000,10972.000000,17,63.883419,0,0.000000,29805.000000,100.000000,-1
394,14274.000000,143.000000,13.800000,4.000000,145,10,3565.000000,3565.000000,14424.000000,18,67.261638,0,0.000000,11653.000000,101.000000,-1
421,9124.000000,164.000000,15.700000,0.000000,104,10,4128.000000,4128.000000,9290.000000,19,67.413468,0,0.000000,9203.000000,95.000000,-1
440,7478.000000,183.000000,17.600000,3.000000,88,10,1837.000000,1837.000000,7666.000000,20,69.861728,0,0.000000,14702.000000,98.000000,-1
463,13131.000000,198.000000,19.100000,3.000000,137,10,2048.000000,2048.000000,13334.000000,21,70.203346,0,0.000000,26204.000000,99.000000,-1
503,5821.000000,237.000000,23.100000,4.000000,57,10,2114.000000,2114.000000,6065.000000,22,73.733395,0,0.000000,7102.000000,97.000000,-1
517,5230.000000,188.000000,18.200000,5.000000,62,10,3570.000000,3570.000000,5425.000000,23,75.650250,0,0.000000,7503.000000,94.000000,-1
530,4404.000000,207.000000,20.100000,2.000000,47,10,2511.000000,2511.000000,4616.000000,24,76.466337,0,0.000000,28754.000000,105.000000,-1
564,5059.000000,197.000000,19.000000,0.000000,57,10,1426.000000,1426.000000,5258.000000,25,78.174425,0,0.000000,6753.000000,98.000000,-1
576,9267.000000,190.000000,18.400000,2.000000,95,10,1232.000000,1232.000000,9461.000000,26,78.800725,0,0.000000,9103.000000,101.000000,-1
595,8229.000000,184.000000,17.700000,2.000000,85,10,1646.000000,1646.000000,8417.000000,27,80.375962,0,0.000000,6303.000000,106.000000,-1
611,6996.000000,183.000000,17.700000,1.000000,71,10,2178.000000,2178.000000,7182.000000,28,83.374606,0,0.000000,10953.000000,102.000000,-1
629,6510.000000,169.000000,16.400000,2.000000,69,10,806.000000,806.000000,6684.000000,29,87.303209,0,0.000000,6653.000000,101.000000,-1
643,5075.000000,182.000000,17.600000,1.000000,54,10,1262.000000,1262.000000,5261.000000,30,87.341167,0,0.000000,9402.000000,99.000000,-1
658,3948.000000,186.000000,18.000000,2.000000,35,10,285.000000,285.000000,4138.000000,31,88.707638,0,0.000000,5853.000000,101.000000,-1
668,3468.000000,157.000000,15.100000,2.000000,40,10,1194.000000,1194.000000,3629.000000,32,88.802531,0,0.000000,18103.000000,107.000000,-1
691,3300.000000,156.000000,15.000000,2.000000,35,10,449.000000,449.000000,3459.000000,33,89.049255,0,0.000000,19454.000000,97.000000,-1
714,7551.000000,189.000000,18.200000,2.000000,78,10,2520.000000,2520.000000,7744.000000,34,89.485767,0,0.000000,5253.000000,103.000000,-1
728,6159.000000,191.000000,18.400000,0.000000,57,10,303.000000,303.000000,6352.000000,35,89.884321,0,0.000000,9002.000000,104.000000,-1
743,5993.000000,185.000000,17.900000,1.000000,57,10,1235.000000,1235.000000,6182.000000,36,89.998193,0,0.000000,6153.000000,109.000000,-1
756,7150.000000,161.000000,15.400000,2.000000,66,10,194.000000,194.000000,7315.000000,37,90.169002,0,0.000000,13303.000000,101.000000,-1
777,6990.000000,173.000000,16.600000,1.000000,71,10,27.000000,27.000000,7166.000000,38,90.244917,0,0.000000,19403.000000,105.000000,-1
804,11497.000000,185.000000,17.900000,1.000000,109,10,471.000000,471.000000,11685.000000,39,90.434705,0,0.000000,12553.000000,101.000000,-1
829,8034.000000,194.000000,18.700000,2.000000,76,10,394.000000,394.000000,8233.000000,40,91.421600,0,0.000000,4503.000000,104.000000,-1
842,6657.000000,169.000000,16.300000,1.000000,67,10,400.000000,400.000000,6830.000000,41,91.820154,0,0.000000,29354.000000,99.000000,-1
879,9991.000000,197.000000,19.000000,0.000000,93,10,0.000000,0.000000,10190.000000,42,91.820154,1,0.000000,21453.000000,104.000000,0.000000
911,4670.000000,167.000000,16.000000,0.000000,45,10,0.000000,0.000000,4839.000000,43,91.820154,1,0.000000,6653.000000,102.000000,0.000000
923,4516.000000,155.000000,14.700000,1.000000,51,10,124.000000,124.000000,4674.000000,44,91.820154,1,0.000000,5452.000000,101.000000,0.000000
933,7695.000000,197.000000,19.200000,0.000000,73,10,0.000000,0.000000,7894.000000,45,92.294623,1,0.000000,7602.000000,104.000000,-1
949,6921.000000,188.000000,18.400000,0.000000,64,10,0.000000,0.000000,7111.000000,46,92.294623,1,0.000000,8203.000000,106.000000,0.000000
965,6921.000000,188.000000,18.400000,0.000000,64,10,0.000000,0.000000,-1,47,92.294623,-1,-1,-1,-1,-1
976,6921.000000,188.000000,18.400000,0.000000,64,10,0.000000,0.000000,-1,48,92.294623,-1,-1,-1,-1,-1
987,6156.000000,193.000000,18.700000,0.000000,58,10,0.000000,0.000000,6352.000000,49,92.294623,1,0.000000,15153.000000,101.000000,0.000000
