Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime
11,1572.000000,1080.000000,133.500000,-1,8,8,2291.000000,2291.000000,2663.000000,2,1.538191,0,-1,1912.000000,406.000000
23,1475.000000,840.000000,103.375000,-1,8,8,2926.000000,2926.000000,2325.000000,3,3.474024,0,-1,1959.000000,541.000000
35,1856.000000,831.000000,102.625000,-1,8,8,3076.000000,3076.000000,2696.000000,4,5.846369,0,-1,1908.000000,558.000000
47,1986.000000,1063.000000,131.750000,-1,8,8,2920.000000,2920.000000,3054.000000,5,8.237693,0,-1,1908.000000,611.000000
59,1951.000000,1177.000000,146.250000,-1,8,8,2744.000000,2744.000000,3132.000000,6,10.021697,0,-1,1908.000000,507.000000
70,1864.000000,1028.000000,127.000000,-1,8,8,3064.000000,3064.000000,2901.000000,7,14.291918,0,-1,1909.000000,506.000000
80,2090.000000,937.000000,116.250000,-1,8,8,3191.000000,3191.000000,3033.000000,8,18.524181,0,-1,1907.000000,433.000000
90,1682.000000,685.000000,136.200000,-1,8,5,2909.000000,2909.000000,2371.000000,9,21.883422,0,-1,1907.000000,493.000000
100,1153.000000,316.000000,156.500000,-1,8,2,85.000000,85.000000,1472.000000,10,24.844108,0,-1,1906.000000,399.000000
108,1535.000000,895.000000,147.500000,-1,8,6,2483.000000,2483.000000,2437.000000,11,25.071854,0,-1,1909.000000,562.000000
117,1204.000000,291.000000,144.000000,-1,8,2,252.000000,252.000000,1499.000000,12,29.645735,0,-1,1908.000000,571.000000
125,1552.000000,777.000000,128.500000,-1,8,6,2714.000000,2714.000000,2333.000000,13,30.328970,0,-1,1907.000000,453.000000
133,1501.000000,375.000000,124.333333,-1,8,3,2082.000000,2082.000000,1881.000000,14,38.432901,0,-1,1908.000000,379.000000
141,1479.000000,510.000000,126.500000,-1,8,4,3058.000000,3058.000000,1994.000000,15,43.746954,0,-1,1909.000000,381.000000
148,1036.000000,203.000000,100.000000,-1,8,2,2788.000000,2788.000000,1242.000000,16,44.183465,0,-1,1906.000000,463.000000
154,1092.000000,193.000000,96.000000,-1,8,2,2529.000000,2529.000000,1287.000000,17,50.655223,0,-1,1908.000000,590.000000
161,1654.000000,921.000000,152.333333,-1,8,6,2924.000000,2924.000000,2583.000000,18,53.805697,0,-1,1909.000000,571.000000
168,2126.000000,1006.000000,124.750000,-1,8,8,1625.000000,1625.000000,3137.000000,19,56.728426,0,-1,1909.000000,599.000000
176,1377.000000,556.000000,137.750000,-1,8,4,291.000000,291.000000,1938.000000,20,57.962046,0,-1,1907.000000,527.000000
