Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain
0,521.000000,177.000000,21.375000,-1,8,8,2291.000000,2291.000000,700.000000,1,1.538191,0,0.000000,1904.000000,110.000000,-1
4,521.000000,198.000000,24.000000,-1,8,8,2926.000000,2926.000000,722.000000,2,3.474024,0,0.000000,1903.000000,106.000000,-1
8,560.000000,204.000000,24.875000,-1,8,8,3076.000000,3076.000000,768.000000,3,5.846369,0,0.000000,1903.000000,116.000000,-1
12,648.000000,212.000000,26.000000,-1,8,8,2921.000000,2921.000000,862.000000,4,8.237693,0,0.000000,1903.000000,107.000000,-1
16,591.000000,224.000000,27.375000,-1,8,8,2745.000000,2745.000000,817.000000,5,10.021697,0,0.000000,1902.000000,110.000000,-1
21,636.000000,231.000000,28.250000,-1,8,8,3062.000000,3062.000000,869.000000,6,14.310896,0,0.000000,1902.000000,113.000000,-1
25,565.000000,232.000000,28.375000,-1,8,8,3192.000000,3192.000000,798.000000,7,18.562139,0,0.000000,1902.000000,112.000000,-1
29,608.000000,144.000000,28.000000,-1,8,5,2910.000000,2910.000000,752.000000,8,21.902401,0,0.000000,1902.000000,114.000000,-1
32,690.000000,53.000000,26.000000,-1,8,2,85.000000,85.000000,744.000000,9,24.863087,0,0.000000,1903.000000,118.000000,-1
36,624.000000,165.000000,27.000000,-1,8,6,2484.000000,2484.000000,790.000000,10,25.090832,0,0.000000,1902.000000,118.000000,-1
40,694.000000,57.000000,28.000000,-1,8,2,255.000000,255.000000,753.000000,11,29.683692,0,0.000000,1901.000000,115.000000,-1
44,619.000000,165.000000,26.833333,-1,8,6,2720.000000,2720.000000,785.000000,12,30.366928,0,0.000000,1902.000000,115.000000,-1
48,695.000000,100.000000,32.666667,-1,8,3,2085.000000,2085.000000,796.000000,13,38.489837,0,0.000000,1903.000000,114.000000,-1
51,643.000000,128.000000,31.500000,-1,8,4,2990.000000,2990.000000,773.000000,14,43.727975,0,0.000000,1902.000000,121.000000,-1
55,724.000000,53.000000,26.000000,-1,8,2,2804.000000,2804.000000,778.000000,15,44.145508,0,0.000000,1902.000000,115.000000,-1
58,630.000000,50.000000,24.500000,-1,8,2,2528.000000,2528.000000,681.000000,16,50.636244,0,0.000000,1902.000000,115.000000,-1
62,634.000000,177.000000,24.714286,-1,8,7,2925.000000,2925.000000,813.000000,17,53.786718,0,0.000000,1902.000000,113.000000,-1
65,597.000000,222.000000,27.000000,-1,8,8,1624.000000,1624.000000,821.000000,18,56.709447,0,0.000000,1902.000000,111.000000,-1
68,590.000000,99.000000,24.250000,-1,8,4,298.000000,298.000000,691.000000,19,57.924088,0,0.000000,1902.000000,119.000000,-1
72,566.000000,206.000000,25.250000,-1,8,8,1038.000000,1038.000000,774.000000,20,58.037961,0,0.000000,1902.000000,113.000000,-1
75,552.000000,187.000000,22.875000,-1,8,8,1258.000000,1258.000000,740.000000,21,58.303663,0,0.000000,1053.000000,115.000000,-1
77,536.000000,188.000000,22.875000,-1,8,8,1153.000000,1153.000000,726.000000,22,58.379578,0,0.000000,1902.000000,114.000000,-1
81,11236.000000,251.000000,24.300000,6.000000,143,10,1623.000000,1623.000000,11496.000000,23,58.379578,1,0.000000,34106.000000,116.000000,0.000000
127,529.000000,193.000000,23.250000,-1,8,8,678.000000,678.000000,724.000000,24,59.100771,0,0.000000,1052.000000,118.000000,-1
129,675.000000,187.000000,22.500000,-1,8,8,600.000000,600.000000,864.000000,25,59.556261,0,0.000000,1903.000000,121.000000,-1
133,519.000000,140.000000,22.666667,-1,8,6,79.000000,79.000000,660.000000,26,59.765028,0,0.000000,1902.000000,111.000000,-1
136,576.000000,207.000000,25.375000,-1,8,8,192.000000,192.000000,784.000000,27,59.840943,0,0.000000,1903.000000,109.000000,-1
139,632.000000,184.000000,29.833333,-1,8,6,213.000000,213.000000,818.000000,28,60.068688,0,0.000000,1902.000000,113.000000,-1
143,626.000000,121.000000,29.500000,-1,8,4,301.000000,301.000000,749.000000,29,60.239497,0,0.000000,1903.000000,113.000000,-1
146,4964.000000,230.000000,22.200000,1.000000,75,10,2322.000000,2322.000000,5198.000000,30,60.353369,1,0.000000,6803.000000,114.000000,-1
159,530.000000,118.000000,19.166667,-1,8,6,404.000000,404.000000,649.000000,31,60.448263,0,0.000000,1902.000000,119.000000,-1
163,596.000000,145.000000,23.500000,-1,8,6,121.000000,121.000000,743.000000,32,60.467242,0,0.000000,1052.000000,124.000000,-1
165,8310.000000,242.000000,23.600000,3.000000,107,10,682.000000,682.000000,8558.000000,33,60.467242,1,0.000000,17954.000000,125.000000,0.000000
192,584.000000,50.000000,24.500000,-1,8,2,30.000000,30.000000,635.000000,34,62.004521,0,0.000000,1903.000000,116.000000,-1
195,9507.000000,228.000000,22.000000,1.000000,113,10,5000.000000,5000.000000,9738.000000,35,62.308182,1,0.000000,6703.000000,127.000000,-1
213,598.000000,158.000000,25.833333,-1,8,6,2868.000000,2868.000000,758.000000,36,69.330323,0,0.000000,1903.000000,120.000000,-1
217,594.000000,201.000000,24.500000,-1,8,8,3235.000000,3235.000000,797.000000,37,71.361050,0,0.000000,1903.000000,121.000000,-1
220,624.000000,217.000000,26.500000,-1,8,8,1742.000000,1742.000000,842.000000,38,72.651606,0,0.000000,1903.000000,123.000000,-1
223,642.000000,208.000000,25.375000,-1,8,8,760.000000,760.000000,853.000000,39,73.126075,0,0.000000,1902.000000,120.000000,-1
227,588.000000,210.000000,25.625000,-1,8,8,467.000000,467.000000,800.000000,40,73.562587,0,0.000000,1053.000000,119.000000,-1
229,591.000000,199.000000,24.375000,-1,8,8,554.000000,554.000000,792.000000,41,73.847268,0,0.000000,1053.000000,121.000000,-1
232,663.000000,205.000000,24.875000,-1,8,8,606.000000,606.000000,869.000000,42,74.150928,0,0.000000,1902.000000,121.000000,-1
235,677.000000,204.000000,24.875000,-1,8,8,768.000000,768.000000,883.000000,43,74.397652,0,0.000000,1053.000000,120.000000,-1
237,585.000000,196.000000,23.750000,-1,8,8,459.000000,459.000000,782.000000,44,74.758249,0,0.000000,1902.000000,122.000000,-1
241,559.000000,202.000000,24.500000,-1,8,8,647.000000,647.000000,763.000000,45,75.061909,0,0.000000,1053.000000,119.000000,-1
243,597.000000,195.000000,23.750000,-1,8,8,992.000000,992.000000,794.000000,46,75.517399,0,0.000000,1903.000000,125.000000,-1
246,573.000000,184.000000,22.625000,-1,8,8,645.000000,645.000000,760.000000,47,75.859017,0,0.000000,1053.000000,124.000000,-1
249,552.000000,176.000000,21.125000,-1,8,8,978.000000,978.000000,730.000000,48,76.219613,0,0.000000,1053.000000,122.000000,-1
251,575.000000,177.000000,21.375000,-1,8,8,1163.000000,1163.000000,754.000000,49,76.902848,0,0.000000,1053.000000,120.000000,-1
253,570.000000,186.000000,22.500000,-1,8,8,1334.000000,1334.000000,758.000000,50,78.383192,0,0.000000,1903.000000,119.000000,-1
256,627.000000,140.000000,22.666667,-1,8,6,940.000000,940.000000,768.000000,51,80.641664,0,0.000000,1052.000000,125.000000,-1
259,559.000000,150.000000,24.333333,-1,8,6,593.000000,593.000000,711.000000,52,82.729328,0,0.000000,1903.000000,122.000000,-1
262,539.000000,197.000000,23.750000,-1,8,8,1229.000000,1229.000000,738.000000,53,83.602351,0,0.000000,1902.000000,122.000000,-1
265,587.000000,112.000000,27.500000,-1,8,4,484.000000,484.000000,701.000000,54,84.171714,0,0.000000,1903.000000,122.000000,-1
268,606.000000,173.000000,28.166667,-1,8,6,340.000000,340.000000,780.000000,55,84.418438,0,0.000000,1903.000000,126.000000,-1
271,631.000000,167.000000,27.166667,-1,8,6,2088.000000,2088.000000,800.000000,56,84.892907,0,0.000000,1902.000000,123.000000,-1
275,629.000000,163.000000,26.333333,-1,8,6,1715.000000,1715.000000,794.000000,57,85.405333,0,0.000000,1902.000000,121.000000,-1
278,594.000000,217.000000,26.500000,-1,8,8,1029.000000,1029.000000,813.000000,58,85.538185,0,0.000000,1053.000000,125.000000,-1
280,6571.000000,263.000000,25.700000,1.000000,59,10,1461.000000,1461.000000,6838.000000,59,85.538185,1,0.000000,4453.000000,124.000000,0.000000
292,563.000000,208.000000,25.375000,-1,8,8,943.000000,943.000000,773.000000,60,85.727972,0,0.000000,1902.000000,124.000000,-1
296,6460.000000,246.000000,23.600000,4.000000,67,10,659.000000,659.000000,6713.000000,61,85.727972,1,0.000000,10654.000000,126.000000,0.000000
314,603.000000,196.000000,27.428571,-1,8,7,555.000000,555.000000,801.000000,62,85.879802,0,0.000000,1904.000000,121.000000,-1
317,677.000000,251.000000,30.875000,-1,8,8,164.000000,164.000000,930.000000,63,85.974696,0,0.000000,1903.000000,131.000000,-1
320,6292.000000,255.000000,24.900000,3.000000,67,10,1008.000000,1008.000000,6553.000000,64,85.974696,1,0.000000,4453.000000,126.000000,0.000000
332,554.000000,214.000000,26.125000,-1,8,8,155.000000,155.000000,771.000000,65,85.993675,0,0.000000,1902.000000,131.000000,-1
335,9431.000000,226.000000,21.800000,2.000000,91,10,47.000000,47.000000,9661.000000,66,86.012654,1,0.000000,10602.000000,125.000000,-1
357,588.000000,226.000000,27.625000,-1,8,8,152.000000,152.000000,817.000000,67,86.487123,0,0.000000,1903.000000,127.000000,-1
360,589.000000,210.000000,29.428571,-1,8,7,123.000000,123.000000,801.000000,68,87.417082,0,0.000000,1903.000000,124.000000,-1
364,588.000000,146.000000,28.600000,-1,8,5,125.000000,125.000000,736.000000,69,87.834615,0,0.000000,1903.000000,125.000000,-1
367,7177.000000,219.000000,21.000000,3.000000,68,10,4771.000000,4771.000000,7401.000000,70,87.872572,1,0.000000,37957.000000,127.000000,-1
