Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime
0,388.000000,150.000000,18.000000,-1,8,8,2291.000000,2291.000000,541.000000,1,1.538191,0,-1,1903.000000,118.000000
4,470.000000,169.000000,20.625000,-1,8,8,2926.000000,2926.000000,641.000000,2,3.474024,0,-1,1902.000000,103.000000
8,458.000000,196.000000,23.875000,-1,8,8,3076.000000,3076.000000,656.000000,3,5.846369,0,-1,1902.000000,106.000000
12,439.000000,196.000000,23.750000,-1,8,8,2920.000000,2920.000000,637.000000,4,8.237693,0,-1,1902.000000,105.000000
16,451.000000,203.000000,24.750000,-1,8,8,2742.000000,2742.000000,657.000000,5,10.021697,0,-1,1903.000000,104.000000
20,467.000000,212.000000,25.875000,-1,8,8,3065.000000,3065.000000,681.000000,6,14.291918,0,-1,1902.000000,104.000000
23,472.000000,214.000000,26.250000,-1,8,8,3191.000000,3191.000000,688.000000,7,18.524181,0,-1,1903.000000,107.000000
27,440.000000,126.000000,24.600000,-1,8,5,2913.000000,2913.000000,568.000000,8,21.883422,0,-1,1902.000000,105.000000
31,552.000000,47.000000,23.000000,-1,8,2,85.000000,85.000000,599.000000,9,24.844108,0,-1,1903.000000,103.000000
34,499.000000,150.000000,24.333333,-1,8,6,2484.000000,2484.000000,650.000000,10,25.071854,0,-1,1902.000000,107.000000
38,562.000000,52.000000,25.500000,-1,8,2,254.000000,254.000000,615.000000,11,29.664714,0,-1,1903.000000,110.000000
42,500.000000,161.000000,26.166667,-1,8,6,2718.000000,2718.000000,663.000000,12,30.347949,0,-1,1902.000000,105.000000
45,530.000000,82.000000,26.666667,-1,8,3,2082.000000,2082.000000,613.000000,13,38.470858,0,-1,1903.000000,104.000000
49,524.000000,112.000000,27.500000,-1,8,4,3059.000000,3059.000000,637.000000,14,43.746954,0,-1,1902.000000,108.000000
52,542.000000,51.000000,25.000000,-1,8,2,2714.000000,2714.000000,594.000000,15,44.202444,0,-1,1903.000000,109.000000
55,552.000000,51.000000,25.000000,-1,8,2,2529.000000,2529.000000,604.000000,16,50.693180,0,-1,1902.000000,111.000000
58,436.000000,173.000000,24.142857,-1,8,7,2924.000000,2924.000000,611.000000,17,53.843654,0,-1,1902.000000,114.000000
62,395.000000,193.000000,23.500000,-1,8,8,1625.000000,1625.000000,590.000000,18,56.766384,0,-1,1902.000000,108.000000
65,508.000000,96.000000,23.750000,-1,8,4,295.000000,295.000000,606.000000,19,57.981024,0,-1,1902.000000,108.000000
68,453.000000,186.000000,22.500000,-1,8,8,1039.000000,1039.000000,641.000000,20,58.094897,0,-1,1902.000000,113.000000
71,412.000000,188.000000,23.000000,-1,8,8,1263.000000,1263.000000,602.000000,21,58.360599,0,-1,1053.000000,109.000000
73,432.000000,173.000000,21.000000,-1,8,8,1156.000000,1156.000000,607.000000,22,58.436515,0,-1,1902.000000,109.000000
76,10784.000000,208.000000,20.100000,1.000000,144,10,4842.000000,4842.000000,10995.000000,23,58.436515,1,-1,9953.000000,109.000000
98,567.000000,170.000000,27.666667,-1,8,6,1936.000000,1936.000000,739.000000,24,64.395845,0,-1,1903.000000,112.000000
101,492.000000,219.000000,26.750000,-1,8,8,301.000000,301.000000,714.000000,25,65.933125,0,-1,1052.000000,110.000000
104,517.000000,229.000000,28.000000,-1,8,8,330.000000,330.000000,748.000000,26,66.388615,0,-1,1902.000000,106.000000
107,563.000000,200.000000,28.000000,-1,8,7,529.000000,529.000000,765.000000,27,66.673297,0,-1,1053.000000,111.000000
109,559.000000,217.000000,30.428571,-1,8,7,896.000000,896.000000,778.000000,28,67.299596,0,-1,1052.000000,114.000000
112,533.000000,221.000000,31.000000,-1,8,7,1017.000000,1017.000000,757.000000,29,68.836875,0,-1,1902.000000,110.000000
115,531.000000,169.000000,27.666667,-1,8,6,2158.000000,2158.000000,702.000000,30,69.425217,0,-1,1053.000000,126.000000
117,531.000000,169.000000,27.666667,-1,8,6,2158.000000,2158.000000,-1,31,69.425217,-1,-1,-1,-1
128,531.000000,169.000000,27.666667,-1,8,6,2158.000000,2158.000000,-1,32,69.425217,-1,-1,-1,-1
139,474.000000,139.000000,27.200000,-1,8,5,2998.000000,2998.000000,615.000000,33,71.702668,0,-1,1901.000000,109.000000
142,575.000000,112.000000,27.250000,-1,8,4,2890.000000,2890.000000,688.000000,34,74.739270,0,-1,1052.000000,111.000000
145,512.000000,102.000000,25.250000,-1,8,4,1549.000000,1549.000000,616.000000,35,77.624041,0,-1,1902.000000,113.000000
148,481.000000,181.000000,25.142857,-1,8,7,1341.000000,1341.000000,664.000000,36,78.136468,0,-1,1053.000000,111.000000
150,525.000000,175.000000,28.666667,-1,8,6,1293.000000,1293.000000,701.000000,37,78.155447,0,-1,1902.000000,112.000000
153,7104.000000,216.000000,20.900000,3.000000,82,10,1299.000000,1299.000000,7327.000000,38,78.155447,1,-1,6003.000000,117.000000
167,482.000000,190.000000,23.250000,-1,8,8,2020.000000,2020.000000,674.000000,39,81.875284,0,-1,1903.000000,110.000000
170,449.000000,194.000000,23.500000,-1,8,8,833.000000,833.000000,645.000000,40,82.976052,0,-1,1902.000000,113.000000
173,425.000000,197.000000,24.000000,-1,8,8,201.000000,201.000000,624.000000,41,83.678266,0,-1,1902.000000,112.000000
176,8588.000000,194.000000,18.800000,2.000000,105,10,1761.000000,1761.000000,8786.000000,42,83.773160,1,-1,7553.000000,111.000000
193,402.000000,156.000000,25.333333,-1,8,6,926.000000,926.000000,560.000000,43,84.399459,0,-1,1902.000000,116.000000
196,481.000000,108.000000,26.250000,-1,8,4,184.000000,184.000000,590.000000,44,85.063715,0,-1,1903.000000,111.000000
199,455.000000,153.000000,25.000000,-1,8,6,1755.000000,1755.000000,609.000000,45,85.405333,0,-1,1902.000000,109.000000
202,494.000000,114.000000,27.750000,-1,8,4,323.000000,323.000000,609.000000,46,86.050611,0,-1,1902.000000,111.000000
205,505.000000,125.000000,30.750000,-1,8,4,259.000000,259.000000,631.000000,47,86.107547,0,-1,1902.000000,109.000000
208,496.000000,147.000000,28.800000,-1,8,5,466.000000,466.000000,645.000000,48,86.240399,0,-1,1902.000000,108.000000
211,503.000000,227.000000,27.875000,-1,8,8,365.000000,365.000000,732.000000,49,86.468144,0,-1,1903.000000,113.000000
214,5967.000000,244.000000,23.800000,1.000000,67,10,187.000000,187.000000,6215.000000,50,86.619974,1,-1,34155.000000,111.000000
256,390.000000,168.000000,20.375000,-1,8,8,742.000000,742.000000,559.000000,51,86.771804,0,-1,1902.000000,112.000000
259,493.000000,176.000000,21.500000,-1,8,8,243.000000,243.000000,671.000000,52,87.872572,0,-1,1902.000000,114.000000
262,7040.000000,225.000000,22.000000,2.000000,73,10,2780.000000,2780.000000,7269.000000,53,88.536829,1,-1,18654.000000,110.000000
289,415.000000,196.000000,23.875000,-1,8,8,490.000000,490.000000,613.000000,54,90.055130,0,-1,1903.000000,124.000000
292,480.000000,229.000000,28.000000,-1,8,8,328.000000,328.000000,711.000000,55,90.415726,0,-1,1902.000000,130.000000
295,4339.000000,222.000000,21.400000,1.000000,49,10,764.000000,764.000000,4564.000000,56,90.434705,1,-1,20205.000000,110.000000
321,436.000000,174.000000,21.250000,-1,8,8,143.000000,143.000000,612.000000,57,92.882965,0,-1,1902.000000,114.000000
324,10739.000000,205.000000,19.700000,1.000000,105,10,7.000000,7.000000,10948.000000,58,93.015816,1,-1,15453.000000,110.000000
371,427.000000,199.000000,24.250000,-1,8,8,222.000000,222.000000,628.000000,59,93.452328,0,-1,1902.000000,109.000000
374,484.000000,157.000000,25.333333,-1,8,6,195.000000,195.000000,643.000000,60,93.699052,0,-1,1052.000000,116.000000
376,435.000000,199.000000,24.375000,-1,8,8,30.000000,30.000000,636.000000,61,93.850882,0,-1,1052.000000,112.000000
378,447.000000,195.000000,23.750000,-1,8,8,39.000000,39.000000,644.000000,62,93.907818,0,-1,1053.000000,111.000000
380,413.000000,191.000000,23.500000,-1,8,8,4.000000,4.000000,606.000000,63,93.926797,0,-1,1052.000000,113.000000
382,7042.000000,229.000000,22.300000,1.000000,73,10,1022.000000,1022.000000,7274.000000,64,93.945775,1,-1,9403.000000,115.000000
400,495.000000,85.000000,20.500000,-1,8,4,551.000000,551.000000,582.000000,65,94.932671,0,-1,1052.000000,114.000000
