Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain
-1731411717,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,387.000000,156.000000,18.750000,-1,8,8,2291.000000,2291.000000,545.000000,1,1.538191,0,0.000000,1903.000000,101.000000,-1
3,402.000000,163.000000,19.625000,-1,8,8,2925.000000,2925.000000,567.000000,2,3.474024,0,0.000000,1903.000000,98.000000,-1
7,409.000000,176.000000,21.625000,-1,8,8,3076.000000,3076.000000,587.000000,3,5.846369,0,0.000000,1902.000000,100.000000,-1
11,423.000000,177.000000,21.500000,-1,8,8,2920.000000,2920.000000,602.000000,4,8.237693,0,0.000000,1902.000000,95.000000,-1
15,424.000000,187.000000,22.750000,-1,8,8,2741.000000,2741.000000,613.000000,5,10.021697,0,0.000000,1902.000000,96.000000,-1
19,427.000000,196.000000,24.000000,-1,8,8,3061.000000,3061.000000,624.000000,6,14.291918,0,0.000000,1902.000000,99.000000,-1
23,459.000000,214.000000,26.125000,-1,8,8,3191.000000,3191.000000,675.000000,7,18.524181,0,0.000000,1902.000000,100.000000,-1
26,482.000000,120.000000,23.200000,-1,8,5,2909.000000,2909.000000,603.000000,8,21.883422,0,0.000000,1902.000000,98.000000,-1
30,535.000000,47.000000,23.000000,-1,8,2,85.000000,85.000000,583.000000,9,24.844108,0,0.000000,1902.000000,97.000000,-1
34,478.000000,135.000000,22.000000,-1,8,6,2483.000000,2483.000000,615.000000,10,25.071854,0,0.000000,1902.000000,98.000000,-1
37,510.000000,48.000000,23.500000,-1,8,2,251.000000,251.000000,559.000000,11,29.645735,0,0.000000,1902.000000,99.000000,-1
41,490.000000,140.000000,22.833333,-1,8,6,2713.000000,2713.000000,632.000000,12,30.328970,0,0.000000,1902.000000,100.000000,-1
44,497.000000,75.000000,24.333333,-1,8,3,2084.000000,2084.000000,574.000000,13,38.432901,0,0.000000,1902.000000,98.000000,-1
47,512.000000,105.000000,25.750000,-1,8,4,3022.000000,3022.000000,618.000000,14,43.746954,0,0.000000,1902.000000,100.000000,-1
51,508.000000,46.000000,22.500000,-1,8,2,2656.000000,2656.000000,555.000000,15,44.202444,0,0.000000,1901.000000,101.000000,-1
54,523.000000,45.000000,22.000000,-1,8,2,2533.000000,2533.000000,570.000000,16,50.693180,0,0.000000,1903.000000,106.000000,-1
57,448.000000,163.000000,22.571429,-1,8,7,2919.000000,2919.000000,613.000000,17,53.862633,0,0.000000,1902.000000,101.000000,-1
60,425.000000,187.000000,23.000000,-1,8,8,1620.000000,1620.000000,614.000000,18,56.785362,0,0.000000,1901.000000,99.000000,-1
63,473.000000,88.000000,21.250000,-1,8,4,298.000000,298.000000,562.000000,19,58.018982,0,0.000000,1902.000000,101.000000,-1
66,412.000000,181.000000,22.000000,-1,8,8,1043.000000,1043.000000,595.000000,20,58.132854,0,0.000000,1902.000000,97.000000,-1
69,381.000000,168.000000,20.375000,-1,8,8,1273.000000,1273.000000,551.000000,21,58.398557,0,0.000000,1052.000000,104.000000,-1
72,427.000000,163.000000,19.875000,-1,8,8,1157.000000,1157.000000,592.000000,22,58.474472,0,0.000000,1902.000000,100.000000,-1
75,6701.000000,218.000000,21.300000,0.000000,78,10,4808.000000,4808.000000,6921.000000,23,58.474472,1,0.000000,9953.000000,101.000000,0.000000
92,431.000000,165.000000,20.000000,-1,8,8,2598.000000,2598.000000,599.000000,24,60.619072,0,0.000000,1902.000000,99.000000,-1
95,386.000000,157.000000,19.125000,-1,8,8,2986.000000,2986.000000,544.000000,25,62.441033,0,0.000000,1903.000000,99.000000,-1
98,435.000000,160.000000,19.250000,-1,8,8,2630.000000,2630.000000,597.000000,26,64.244015,0,0.000000,1902.000000,101.000000,-1
101,449.000000,163.000000,22.714286,-1,8,7,2035.000000,2035.000000,614.000000,27,67.090829,0,0.000000,1903.000000,100.000000,-1
104,539.000000,99.000000,24.500000,-1,8,4,604.000000,604.000000,639.000000,28,71.474923,0,0.000000,1052.000000,102.000000,-1
107,402.000000,129.000000,25.200000,-1,8,5,1070.000000,1070.000000,532.000000,29,72.309988,0,0.000000,1052.000000,101.000000,-1
109,437.000000,126.000000,24.800000,-1,8,5,1097.000000,1097.000000,565.000000,30,73.069139,0,0.000000,1902.000000,101.000000,-1
112,410.000000,106.000000,25.750000,-1,8,4,768.000000,768.000000,518.000000,31,75.289654,0,0.000000,1052.000000,101.000000,-1
114,479.000000,102.000000,24.750000,-1,8,4,898.000000,898.000000,582.000000,32,76.086762,0,0.000000,1052.000000,101.000000,-1
116,435.000000,102.000000,24.750000,-1,8,4,67.000000,67.000000,539.000000,33,76.694082,0,0.000000,1902.000000,103.000000,-1
119,445.000000,54.000000,26.500000,-1,8,2,2.000000,2.000000,500.000000,34,76.864891,0,0.000000,1052.000000,99.000000,-1
121,8372.000000,201.000000,19.400000,2.000000,81,10,3888.000000,3888.000000,8578.000000,35,76.864891,1,0.000000,19904.000000,100.000000,0.000000
150,459.000000,201.000000,24.625000,-1,8,8,2005.000000,2005.000000,662.000000,36,80.622686,0,0.000000,1901.000000,104.000000,-1
153,405.000000,180.000000,21.875000,-1,8,8,453.000000,453.000000,586.000000,37,81.362857,0,0.000000,1901.000000,104.000000,-1
156,415.000000,195.000000,23.750000,-1,8,8,717.000000,717.000000,611.000000,38,81.837326,0,0.000000,1902.000000,110.000000,-1
159,449.000000,204.000000,25.000000,-1,8,8,297.000000,297.000000,655.000000,39,82.729328,0,0.000000,1903.000000,104.000000,-1
162,7184.000000,182.000000,17.600000,1.000000,68,10,1727.000000,1727.000000,7369.000000,40,83.146861,1,0.000000,8603.000000,107.000000,-1
179,418.000000,176.000000,21.500000,-1,8,8,383.000000,383.000000,596.000000,41,83.450521,0,0.000000,1052.000000,109.000000,-1
181,400.000000,176.000000,21.500000,-1,8,8,118.000000,118.000000,578.000000,42,83.526436,0,0.000000,1052.000000,109.000000,-1
183,397.000000,168.000000,20.500000,-1,8,8,6.000000,6.000000,567.000000,43,83.583372,0,0.000000,1902.000000,108.000000,-1
186,4386.000000,195.000000,19.000000,2.000000,44,10,698.000000,698.000000,4585.000000,44,83.583372,1,0.000000,6902.000000,104.000000,0.000000
198,422.000000,180.000000,21.875000,-1,8,8,314.000000,314.000000,604.000000,45,83.621330,0,0.000000,1052.000000,107.000000,-1
200,10082.000000,201.000000,19.300000,2.000000,95,10,822.000000,822.000000,10288.000000,46,83.621330,1,0.000000,30803.000000,110.000000,0.000000
242,543.000000,43.000000,20.500000,-1,8,2,728.000000,728.000000,587.000000,47,83.659287,0,0.000000,1902.000000,112.000000,-1
245,4248.000000,229.000000,22.200000,2.000000,45,10,3036.000000,3036.000000,4481.000000,48,83.659287,1,0.000000,8852.000000,108.000000,0.000000
259,389.000000,175.000000,21.375000,-1,8,8,1223.000000,1223.000000,567.000000,49,87.739721,0,0.000000,1902.000000,109.000000,-1
262,444.000000,169.000000,23.571429,-1,8,7,120.000000,120.000000,615.000000,50,90.624492,0,0.000000,1902.000000,108.000000,-1
-1731413826,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,332.000000,150.000000,18.125000,-1,8,8,2291.000000,2291.000000,484.000000,1,1.538191,0,0.000000,1904.000000,105.000000,-1
3,423.000000,176.000000,21.375000,-1,8,8,2924.000000,2924.000000,601.000000,2,3.474024,0,0.000000,1902.000000,102.000000,-1
8,434.000000,202.000000,24.625000,-1,8,8,3076.000000,3076.000000,638.000000,3,5.846369,0,0.000000,1902.000000,105.000000,-1
12,459.000000,191.000000,23.250000,-1,8,8,2921.000000,2921.000000,652.000000,4,8.237693,0,0.000000,1902.000000,105.000000,-1
16,400.000000,192.000000,23.500000,-1,8,8,2744.000000,2744.000000,594.000000,5,10.021697,0,0.000000,1902.000000,106.000000,-1
19,424.000000,204.000000,25.000000,-1,8,8,3059.000000,3059.000000,630.000000,6,14.310896,0,0.000000,1902.000000,98.000000,-1
23,436.000000,199.000000,24.375000,-1,8,8,3191.000000,3191.000000,638.000000,7,18.543160,0,0.000000,1901.000000,105.000000,-1
27,471.000000,117.000000,23.000000,-1,8,5,2908.000000,2908.000000,590.000000,8,21.902401,0,0.000000,1902.000000,101.000000,-1
30,548.000000,46.000000,22.500000,-1,8,2,85.000000,85.000000,595.000000,9,24.863087,0,0.000000,1902.000000,98.000000,-1
34,421.000000,137.000000,22.333333,-1,8,6,2483.000000,2483.000000,560.000000,10,25.090832,0,0.000000,1902.000000,99.000000,-1
