Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime
0,459.000000,175.000000,21.125000,-1,8,8,2291.000000,2291.000000,636.000000,1,1.538191,0,-1,1903.000000,115.000000
4,549.000000,211.000000,25.750000,-1,8,8,2925.000000,2925.000000,763.000000,2,3.474024,0,-1,1902.000000,122.000000
9,510.000000,210.000000,25.875000,-1,8,8,3075.000000,3075.000000,722.000000,3,5.846369,0,-1,1903.000000,125.000000
13,498.000000,219.000000,26.625000,-1,8,8,2920.000000,2920.000000,719.000000,4,8.237693,0,-1,1902.000000,110.000000
17,456.000000,218.000000,26.625000,-1,8,8,2741.000000,2741.000000,676.000000,5,10.021697,0,-1,1903.000000,109.000000
21,499.000000,239.000000,29.250000,-1,8,8,3065.000000,3065.000000,740.000000,6,14.291918,0,-1,1903.000000,116.000000
25,501.000000,256.000000,31.250000,-1,8,8,3191.000000,3191.000000,758.000000,7,18.543160,0,-1,1902.000000,114.000000
29,535.000000,149.000000,29.200000,-1,8,5,2912.000000,2912.000000,685.000000,8,21.883422,0,-1,1903.000000,114.000000
33,535.000000,149.000000,29.200000,-1,8,5,2912.000000,2912.000000,-1,9,-1,-1,-1,-1,-1
44,535.000000,149.000000,29.200000,-1,8,5,2912.000000,2912.000000,-1,10,-1,-1,-1,-1,-1
55,606.000000,55.000000,27.500000,-1,8,2,85.000000,85.000000,662.000000,11,24.863087,0,-1,1902.000000,112.000000
58,606.000000,55.000000,27.500000,-1,8,2,85.000000,85.000000,-1,12,-1,-1,-1,-1,-1
69,606.000000,55.000000,27.500000,-1,8,2,85.000000,85.000000,-1,13,-1,-1,-1,-1,-1
80,502.000000,160.000000,26.166667,-1,8,6,2448.000000,2448.000000,664.000000,14,25.090832,0,-1,1902.000000,113.000000
84,634.000000,55.000000,27.000000,-1,8,2,252.000000,252.000000,690.000000,15,29.645735,0,-1,1903.000000,117.000000
88,505.000000,184.000000,30.166667,-1,8,6,2718.000000,2718.000000,691.000000,16,30.328970,0,-1,1902.000000,116.000000
91,568.000000,89.000000,28.666667,-1,8,3,2082.000000,2082.000000,657.000000,17,38.451880,0,-1,1902.000000,117.000000
95,534.000000,132.000000,32.500000,-1,8,4,3022.000000,3022.000000,667.000000,18,43.727975,0,-1,1903.000000,112.000000
98,607.000000,60.000000,30.000000,-1,8,2,2715.000000,2715.000000,668.000000,19,44.183465,0,-1,1902.000000,118.000000
102,591.000000,53.000000,26.500000,-1,8,2,2535.000000,2535.000000,645.000000,20,50.655223,0,-1,1902.000000,122.000000
105,501.000000,198.000000,27.714286,-1,8,7,2924.000000,2924.000000,701.000000,21,53.824676,0,-1,1903.000000,116.000000
108,534.000000,228.000000,27.875000,-1,8,8,1624.000000,1624.000000,764.000000,22,56.747405,0,-1,1903.000000,110.000000
112,548.000000,103.000000,25.250000,-1,8,4,292.000000,292.000000,652.000000,23,57.962046,0,-1,1902.000000,112.000000
115,487.000000,220.000000,26.875000,-1,8,8,1038.000000,1038.000000,709.000000,24,58.075918,0,-1,1903.000000,130.000000
118,453.000000,192.000000,23.250000,-1,8,8,1263.000000,1263.000000,647.000000,25,58.341621,0,-1,1053.000000,114.000000
120,527.000000,192.000000,23.500000,-1,8,8,1155.000000,1155.000000,721.000000,26,58.417536,0,-1,1902.000000,106.000000
124,5447.000000,217.000000,26.500000,-1,8,8,4787.000000,4787.000000,5666.000000,27,58.417536,0,-1,5653.000000,113.000000
153,569.000000,249.000000,30.500000,-1,8,8,1106.000000,1106.000000,820.000000,28,67.470405,0,-1,1903.000000,114.000000
156,512.000000,260.000000,31.875000,-1,8,8,969.000000,969.000000,775.000000,29,70.507006,0,-1,1903.000000,117.000000
160,506.000000,233.000000,32.428571,-1,8,7,1081.000000,1081.000000,740.000000,30,72.423861,0,-1,1903.000000,114.000000
163,496.000000,207.000000,33.833333,-1,8,6,1022.000000,1022.000000,705.000000,31,74.226843,0,-1,1903.000000,116.000000
166,549.000000,194.000000,31.500000,-1,8,6,874.000000,874.000000,745.000000,32,75.821059,0,-1,1903.000000,119.000000
169,592.000000,63.000000,31.500000,-1,8,2,708.000000,708.000000,656.000000,33,77.567105,0,-1,1052.000000,112.000000
171,524.000000,176.000000,34.600000,-1,8,5,984.000000,984.000000,702.000000,34,79.066427,0,-1,1903.000000,116.000000
175,585.000000,130.000000,31.750000,-1,8,4,835.000000,835.000000,717.000000,35,80.034344,0,-1,1903.000000,119.000000
178,519.000000,210.000000,29.428571,-1,8,7,117.000000,117.000000,731.000000,36,80.394940,0,-1,1053.000000,110.000000
180,546.000000,201.000000,32.833333,-1,8,6,343.000000,343.000000,749.000000,37,80.413919,0,-1,1053.000000,115.000000
182,544.000000,223.000000,31.142857,-1,8,7,77.000000,77.000000,769.000000,38,80.546770,0,-1,1052.000000,121.000000
185,520.000000,211.000000,29.571429,-1,8,7,95.000000,95.000000,733.000000,39,80.622686,0,-1,1903.000000,117.000000
188,562.000000,165.000000,32.400000,-1,8,5,237.000000,237.000000,729.000000,40,80.736558,0,-1,1052.000000,121.000000
190,6803.000000,271.000000,26.400000,3.000000,82,10,3877.000000,3877.000000,7080.000000,41,80.850431,1,-1,8704.000000,116.000000
249,468.000000,202.000000,24.500000,-1,8,8,1241.000000,1241.000000,672.000000,42,83.203797,0,-1,1903.000000,119.000000
252,440.000000,192.000000,23.250000,-1,8,8,490.000000,490.000000,634.000000,43,85.082694,0,-1,1902.000000,116.000000
255,409.000000,144.000000,23.500000,-1,8,6,12.000000,12.000000,555.000000,44,85.633078,0,-1,1902.000000,117.000000
258,441.000000,149.000000,24.000000,-1,8,6,30.000000,30.000000,591.000000,45,86.487123,0,-1,1902.000000,115.000000
261,448.000000,111.000000,27.500000,-1,8,4,80.000000,80.000000,560.000000,46,86.582016,0,-1,1052.000000,114.000000
263,534.000000,171.000000,27.833333,-1,8,6,76.000000,76.000000,706.000000,47,86.714868,0,-1,1053.000000,120.000000
265,458.000000,190.000000,26.428571,-1,8,7,37.000000,37.000000,650.000000,48,86.809761,0,-1,1903.000000,127.000000
268,468.000000,96.000000,23.500000,-1,8,4,29.000000,29.000000,566.000000,49,86.847719,0,-1,1053.000000,116.000000
270,473.000000,154.000000,25.166667,-1,8,6,31.000000,31.000000,629.000000,50,86.866698,0,-1,1903.000000,117.000000
273,10096.000000,216.000000,21.000000,2.000000,103,10,1704.000000,1704.000000,10317.000000,51,86.866698,1,-1,7003.000000,118.000000
291,485.000000,207.000000,25.500000,-1,8,8,167.000000,167.000000,694.000000,52,89.030276,0,-1,1903.000000,117.000000
294,5347.000000,198.000000,24.000000,-1,8,8,563.000000,563.000000,5547.000000,53,89.049255,0,-1,5203.000000,116.000000
386,413.000000,186.000000,22.625000,-1,8,8,1029.000000,1029.000000,601.000000,54,89.201085,0,-1,1903.000000,116.000000
389,464.000000,191.000000,23.250000,-1,8,8,37.000000,37.000000,656.000000,55,89.428830,0,-1,1903.000000,118.000000
392,442.000000,192.000000,23.375000,-1,8,8,19.000000,19.000000,635.000000,56,89.485767,0,-1,1903.000000,119.000000
395,404.000000,173.000000,21.000000,-1,8,8,97.000000,97.000000,579.000000,57,89.523724,0,-1,1902.000000,123.000000
398,7461.000000,244.000000,23.700000,1.000000,83,10,112.000000,112.000000,7708.000000,58,89.561682,1,-1,7303.000000,121.000000
414,5931.000000,142.000000,17.250000,-1,8,8,7.000000,7.000000,6074.000000,59,89.618618,0,-1,6204.000000,119.000000
443,479.000000,89.000000,21.500000,-1,8,4,1205.000000,1205.000000,570.000000,60,89.732491,0,-1,1904.000000,122.000000
446,517.000000,182.000000,25.428571,-1,8,7,207.000000,207.000000,701.000000,61,90.605514,0,-1,1903.000000,121.000000
449,1042.000000,197.000000,24.000000,-1,8,8,170.000000,170.000000,1242.000000,62,91.611388,0,-1,1652.000000,124.000000
473,434.000000,212.000000,25.875000,-1,8,8,14.000000,14.000000,649.000000,63,92.674198,0,-1,1053.000000,119.000000
475,511.000000,206.000000,25.125000,-1,8,8,17.000000,17.000000,720.000000,64,92.807050,0,-1,1903.000000,132.000000
478,511.000000,206.000000,25.125000,-1,8,8,17.000000,17.000000,-1,65,-1,-1,-1,-1,-1
489,511.000000,206.000000,25.125000,-1,8,8,17.000000,17.000000,-1,66,-1,-1,-1,-1,-1
500,514.000000,214.000000,26.250000,-1,8,8,175.000000,175.000000,730.000000,67,92.977859,0,-1,1052.000000,124.000000
553,6024.000000,267.000000,26.000000,1.000000,61,10,49.000000,49.000000,6295.000000,68,93.680073,1,-1,7953.000000,127.000000
589,480.000000,219.000000,26.875000,-1,8,8,236.000000,236.000000,701.000000,69,93.699052,0,-1,1902.000000,121.000000
592,429.000000,132.000000,25.800000,-1,8,5,408.000000,408.000000,562.000000,70,93.774967,0,-1,1902.000000,116.000000
595,477.000000,109.000000,26.500000,-1,8,4,593.000000,593.000000,587.000000,71,93.964754,0,-1,1903.000000,118.000000
598,503.000000,112.000000,27.500000,-1,8,4,747.000000,747.000000,616.000000,72,94.420244,0,-1,1903.000000,120.000000
601,477.000000,56.000000,27.000000,-1,8,2,622.000000,622.000000,535.000000,73,94.761862,0,-1,1052.000000,117.000000

