Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain
0,19704.000000,245.000000,23.700000,0.000000,154,10,3614.000000,3614.000000,19954.000000,1,1.538191,0,13.987565,22406.000000,109.000000,-1
44,31875.000000,254.000000,24.500000,0.000000,250,10,5000.000000,5000.000000,32132.000000,2,8.313608,0,13.274764,17604.000000,116.000000,-1
95,19089.000000,237.000000,23.100000,0.000000,147,10,3273.000000,3273.000000,19329.000000,3,19.586992,0,25.534869,31606.000000,117.000000,-1
147,34997.000000,239.000000,23.300000,0.000000,279,10,4584.000000,4584.000000,35239.000000,4,25.565301,0,5.651254,8003.000000,119.000000,-1
192,3898.000000,256.000000,24.700000,0.000000,28,10,2642.000000,2642.000000,4157.000000,5,35.263448,0,16.384239,22155.000000,120.000000,-1
219,16062.000000,258.000000,25.200000,0.000000,129,10,4527.000000,4527.000000,16322.000000,6,40.254862,0,6.222094,7503.000000,116.000000,-1
243,9705.000000,234.000000,22.700000,0.000000,78,10,4161.000000,4161.000000,9941.000000,7,45.853596,0,12.375054,12554.000000,113.000000,-1
267,8230.000000,242.000000,23.500000,0.000000,64,10,3132.000000,3132.000000,8475.000000,8,49.212837,0,15.068773,17653.000000,114.000000,-1
294,14230.000000,245.000000,23.700000,0.000000,115,10,4980.000000,4980.000000,14478.000000,9,51.224586,0,8.673171,10003.000000,115.000000,-1
319,28481.000000,269.000000,26.200000,0.000000,228,10,208.000000,208.000000,28753.000000,10,58.512430,0,12.531277,11204.000000,118.000000,-1
360,1759.000000,285.000000,27.800000,0.000000,13,10,755.000000,755.000000,2046.000000,11,58.569366,0,5.026284,6853.000000,115.000000,-1
369,10267.000000,250.000000,24.300000,0.000000,83,10,1605.000000,1605.000000,10520.000000,12,60.030730,0,11.071865,13604.000000,125.000000,-1
394,25357.000000,262.000000,25.500000,0.000000,201,10,2402.000000,2402.000000,25621.000000,13,60.315412,1,14.077699,21306.000000,117.000000,-1
447,5843.000000,278.000000,27.200000,0.000000,43,10,165.000000,165.000000,6124.000000,14,62.668778,0,5.479994,9453.000000,118.000000,-1
463,37583.000000,254.000000,24.800000,0.000000,292,10,3695.000000,3695.000000,37840.000000,15,63.276098,0,6.777462,10153.000000,123.000000,-1
512,15511.000000,278.000000,27.000000,0.000000,115,10,657.000000,657.000000,15793.000000,16,66.540445,1,33.298311,41556.000000,120.000000,-1
590,4904.000000,300.000000,29.300000,0.000000,40,10,403.000000,403.000000,5207.000000,17,66.730233,1,8.126064,8004.000000,118.000000,-1
623,30396.000000,231.000000,22.400000,0.000000,243,10,825.000000,825.000000,30630.000000,18,68.115682,0,19.583486,26256.000000,120.000000,-1
680,21534.000000,263.000000,25.500000,0.000000,174,10,143.000000,143.000000,21800.000000,19,74.321737,0,16.250964,19104.000000,118.000000,-1
722,24223.000000,301.000000,29.300000,0.000000,193,10,1079.000000,1079.000000,24527.000000,20,74.853142,0,6.649909,9653.000000,117.000000,-1
756,10086.000000,259.000000,25.400000,0.000000,84,10,107.000000,107.000000,10348.000000,21,75.783102,1,6.813150,9503.000000,120.000000,-1
788,11137.000000,282.000000,27.500000,0.000000,91,10,3386.000000,3386.000000,11422.000000,22,76.751018,0,10.456223,16053.000000,118.000000,-1
816,29397.000000,206.000000,20.000000,0.000000,236,10,1357.000000,1357.000000,29605.000000,23,80.432898,0,5.012138,5402.000000,119.000000,-1
851,33105.000000,195.000000,18.900000,0.000000,265,10,602.000000,602.000000,33303.000000,24,82.938094,0,23.793290,31054.000000,97.000000,-1
916,25641.000000,227.000000,22.000000,0.000000,203,10,35.000000,35.000000,25871.000000,25,84.665162,0,7.869554,9303.000000,120.000000,-1
952,19697.000000,253.000000,24.600000,0.000000,157,10,85.000000,85.000000,19953.000000,26,85.215546,0,2.015945,4002.000000,122.000000,-1
976,23936.000000,222.000000,21.600000,0.000000,191,10,781.000000,781.000000,24161.000000,27,85.272482,1,2.121106,3103.000000,119.000000,-1
1080,16898.000000,248.000000,24.000000,0.000000,134,10,146.000000,146.000000,17148.000000,28,88.498871,1,7.938261,11703.000000,119.000000,-1
1124,31935.000000,243.000000,23.600000,0.000000,254,10,3700.000000,3700.000000,32180.000000,29,88.631722,0,11.924786,14355.000000,120.000000,-1
