Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain
0,29232.000000,352.000000,26.538462,0.000000,230,13,5000.000000,-1,29589.000000,1,1.538191,0,4.616842,6453.000000,116.000000,-1
37,23561.000000,176.000000,24.428571,0.000000,184,7,4515.000000,-1,23740.000000,2,5.675560,0,3.531684,5353.000000,111.000000,-1
68,16218.000000,294.000000,26.000000,0.000000,126,11,5000.000000,-1,16516.000000,3,11.710806,0,3.914354,6853.000000,110.000000,-1
93,22242.000000,249.000000,27.000000,0.000000,176,9,2970.000000,-1,22493.000000,4,27.766838,0,5.849921,10003.000000,113.000000,-1
126,10637.000000,167.000000,23.142857,0.000000,80,7,5000.000000,-1,10807.000000,5,30.158161,0,6.719621,8604.000000,112.000000,-1
147,17834.000000,95.000000,23.500000,0.000000,140,4,4000.000000,-1,17930.000000,6,36.022598,0,1.400936,2453.000000,114.000000,-1
168,19327.000000,133.000000,21.333333,0.000000,152,6,4735.000000,-1,19462.000000,7,38.755540,0,4.668133,5753.000000,121.000000,-1
194,17992.000000,159.000000,25.833333,0.000000,140,6,3252.000000,-1,18153.000000,8,41.678269,0,5.912752,9904.000000,110.000000,-1
223,22181.000000,346.000000,24.000000,0.000000,180,14,3787.000000,-1,22531.000000,9,46.005426,0,3.902194,8803.000000,116.000000,-1
256,8729.000000,215.000000,26.125000,0.000000,68,8,1885.000000,-1,8947.000000,10,52.496162,0,2.969597,3753.000000,121.000000,-1
269,21311.000000,93.000000,22.750000,0.000000,170,4,2644.000000,-1,21405.000000,11,54.280166,0,4.413072,4554.000000,110.000000,-1
296,14959.000000,158.000000,25.833333,0.000000,120,6,120.000000,-1,15120.000000,12,58.664260,0,3.396366,5353.000000,114.000000,-1
317,10341.000000,306.000000,24.833333,0.000000,84,12,1951.000000,-1,10651.000000,13,58.816090,0,1.320222,1852.000000,111.000000,-1
330,3183.000000,168.000000,27.666667,0.000000,26,6,3886.000000,-1,3353.000000,14,60.581114,0,3.636206,7153.000000,124.000000,-1
341,4900.000000,117.000000,28.250000,0.000000,39,4,3884.000000,-1,5018.000000,15,64.642569,0,7.979793,8453.000000,124.000000,-1
355,8491.000000,242.000000,26.333333,0.000000,72,9,576.000000,-1,8735.000000,16,73.600544,0,4.914104,5003.000000,121.000000,-1
370,29647.000000,384.000000,31.416667,0.000000,242,12,157.000000,-1,30033.000000,17,74.056034,0,4.568994,9103.000000,120.000000,-1
409,14897.000000,249.000000,26.888889,0.000000,120,9,2390.000000,-1,15149.000000,18,74.131949,0,3.069749,3852.000000,116.000000,-1
429,3049.000000,277.000000,30.111111,0.000000,27,9,291.000000,-1,3328.000000,19,75.137824,0,2.459403,3952.000000,123.000000,-1
437,5207.000000,80.000000,19.250000,0.000000,42,4,3776.000000,-1,5288.000000,20,75.365569,0,5.473710,9903.000000,120.000000,-1
452,5207.000000,80.000000,19.250000,0.000000,42,4,3776.000000,-1,-1,21,75.365569,-1,-1,-1,-1,-1
463,5207.000000,80.000000,19.250000,0.000000,42,4,3776.000000,-1,-1,22,75.365569,-1,-1,-1,-1,-1
474,14799.000000,94.000000,22.750000,0.000000,120,4,49.000000,-1,14895.000000,23,76.713061,0,5.542403,8403.000000,116.000000,-1
498,14799.000000,94.000000,22.750000,0.000000,120,4,49.000000,-1,-1,24,76.713061,-1,-1,-1,-1,-1
509,14799.000000,94.000000,22.750000,0.000000,120,4,49.000000,-1,-1,25,76.713061,-1,-1,-1,-1,-1
520,15858.000000,103.000000,25.000000,0.000000,128,4,2635.000000,-1,15962.000000,26,76.978764,1,4.466426,4752.000000,119.000000,-1
545,6011.000000,89.000000,17.000000,0.000000,48,5,2837.000000,-1,6101.000000,27,80.394940,1,6.338869,6153.000000,108.000000,-1
559,1717.000000,96.000000,23.500000,0.000000,14,4,808.000000,-1,1815.000000,28,80.945324,0,3.843651,8103.000000,119.000000,-1
569,5081.000000,115.000000,22.400000,0.000000,42,5,3699.000000,-1,5198.000000,29,82.254859,0,6.128642,12254.000000,126.000000,-1
587,13022.000000,177.000000,24.285714,0.000000,105,7,1525.000000,-1,13202.000000,30,86.107547,0,5.846829,7003.000000,113.000000,-1
608,2894.000000,129.000000,25.000000,0.000000,24,5,745.000000,-1,3024.000000,31,86.885677,0,2.043980,2602.000000,112.000000,-1
614,6147.000000,104.000000,25.500000,0.000000,48,4,36.000000,-1,6253.000000,32,87.796657,1,10.084370,8504.000000,118.000000,-1
657,17318.000000,163.000000,26.500000,0.000000,138,6,44.000000,-1,17484.000000,33,87.834615,1,8.554823,9303.000000,116.000000,-1
686,1350.000000,95.000000,23.000000,0.000000,12,4,303.000000,-1,1447.000000,34,88.119296,0,5.353309,9153.000000,120.000000,-1
697,3730.000000,115.000000,22.400000,0.000000,30,5,3.000000,-1,3847.000000,35,88.214190,0,7.943693,6853.000000,121.000000,-1
708,5898.000000,125.000000,24.400000,0.000000,48,5,497.000000,-1,6025.000000,36,88.479892,0,2.354006,4003.000000,120.000000,-1
719,4998.000000,103.000000,19.800000,0.000000,42,5,1502.000000,-1,5103.000000,37,89.884321,1,2.061863,2403.000000,121.000000,-1
775,11748.000000,97.000000,23.750000,0.000000,93,4,93.000000,-1,11847.000000,38,94.856756,0,3.072555,3353.000000,119.000000,-1
