Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime
0,438.000000,182.000000,22.125000,-1,8,8,2291.000000,2291.000000,623.000000,1,1.538191,0,-1,1904.000000,117.000000
4,430.000000,194.000000,23.500000,-1,8,8,2924.000000,2924.000000,627.000000,2,3.474024,0,-1,1902.000000,116.000000
8,518.000000,223.000000,27.125000,-1,8,8,3076.000000,3076.000000,743.000000,3,5.846369,0,-1,1902.000000,115.000000
12,464.000000,223.000000,27.375000,-1,8,8,2920.000000,2920.000000,688.000000,4,8.237693,0,-1,1903.000000,115.000000
17,480.000000,227.000000,27.875000,-1,8,8,2742.000000,2742.000000,709.000000,5,10.021697,0,-1,1903.000000,116.000000
21,490.000000,258.000000,31.625000,-1,8,8,3063.000000,3063.000000,750.000000,6,14.291918,0,-1,1902.000000,108.000000
25,537.000000,244.000000,29.875000,-1,8,8,3190.000000,3190.000000,784.000000,7,18.524181,0,-1,1902.000000,115.000000
29,568.000000,140.000000,27.600000,-1,8,5,2911.000000,2911.000000,710.000000,8,21.883422,0,-1,1903.000000,115.000000
33,654.000000,55.000000,27.000000,-1,8,2,85.000000,85.000000,711.000000,9,24.844108,0,-1,1902.000000,122.000000
37,569.000000,171.000000,27.666667,-1,8,6,2484.000000,2484.000000,742.000000,10,25.071854,0,-1,1903.000000,116.000000
40,629.000000,56.000000,27.500000,-1,8,2,253.000000,253.000000,686.000000,11,29.645735,0,-1,1902.000000,114.000000
44,571.000000,167.000000,27.166667,-1,8,6,2715.000000,2715.000000,740.000000,12,30.328970,0,-1,1903.000000,114.000000
48,576.000000,91.000000,29.666667,-1,8,3,2081.000000,2081.000000,668.000000,13,38.451880,0,-1,1902.000000,116.000000
51,579.000000,136.000000,33.250000,-1,8,4,3058.000000,3058.000000,717.000000,14,43.746954,0,-1,1903.000000,118.000000
55,598.000000,55.000000,27.000000,-1,8,2,2808.000000,2808.000000,654.000000,15,44.164487,0,-1,1902.000000,114.000000
58,576.000000,52.000000,25.500000,-1,8,2,2531.000000,2531.000000,628.000000,16,50.655223,0,-1,1903.000000,118.000000
62,530.000000,208.000000,28.857143,-1,8,7,2923.000000,2923.000000,739.000000,17,53.805697,0,-1,1903.000000,115.000000
65,538.000000,222.000000,27.000000,-1,8,8,1626.000000,1626.000000,763.000000,18,56.728426,0,-1,1903.000000,123.000000
68,516.000000,116.000000,28.500000,-1,8,4,291.000000,291.000000,633.000000,19,57.962046,0,-1,1903.000000,125.000000
71,495.000000,208.000000,25.250000,-1,8,8,1034.000000,1034.000000,705.000000,20,58.075918,0,-1,1902.000000,125.000000
75,414.000000,197.000000,23.875000,-1,8,8,1252.000000,1252.000000,614.000000,21,58.341621,0,-1,1053.000000,120.000000
77,486.000000,201.000000,24.625000,-1,8,8,1149.000000,1149.000000,690.000000,22,58.417536,0,-1,1902.000000,119.000000
80,30328.000000,411.000000,30.923077,0.000000,270,13,4100.000000,4100.000000,30742.000000,23,58.417536,1,-1,8104.000000,117.000000
120,546.000000,196.000000,23.875000,-1,8,8,944.000000,944.000000,745.000000,24,61.245371,0,-1,1904.000000,119.000000
123,546.000000,165.000000,26.833333,-1,8,6,814.000000,814.000000,713.000000,25,61.473116,0,-1,1902.000000,117.000000
126,586.000000,206.000000,28.857143,-1,8,7,171.000000,171.000000,794.000000,26,62.118394,0,-1,1902.000000,123.000000
130,625.000000,216.000000,30.142857,-1,8,7,832.000000,832.000000,842.000000,27,62.877544,0,-1,1903.000000,117.000000
