Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime,Gain
0,313.000000,170.000000,20.375000,-1,8,8,2291.000000,2291.000000,486.000000,1,1.538191,0,0.000000,1902.000000,115.000000,-1
4,396.000000,188.000000,22.875000,-1,8,8,2925.000000,2925.000000,586.000000,2,3.474024,0,0.000000,1903.000000,109.000000,-1
8,360.000000,207.000000,25.375000,-1,8,8,3076.000000,3076.000000,569.000000,3,5.846369,0,0.000000,1903.000000,112.000000,-1
12,386.000000,212.000000,26.125000,-1,8,8,2920.000000,2920.000000,600.000000,4,8.237693,0,0.000000,1903.000000,114.000000,-1
16,373.000000,210.000000,25.625000,-1,8,8,2744.000000,2744.000000,585.000000,5,10.021697,0,0.000000,1903.000000,109.000000,-1
20,389.000000,228.000000,28.000000,-1,8,8,3059.000000,3059.000000,619.000000,6,14.310896,0,0.000000,1903.000000,110.000000,-1
24,302.000000,219.000000,26.875000,-1,8,8,3190.000000,3190.000000,523.000000,7,18.524181,0,0.000000,1902.000000,116.000000,-1
28,458.000000,140.000000,27.400000,-1,8,5,2911.000000,2911.000000,600.000000,8,21.883422,0,0.000000,1902.000000,113.000000,-1
31,627.000000,52.000000,25.500000,-1,8,2,85.000000,85.000000,680.000000,9,24.844108,0,0.000000,1902.000000,120.000000,-1
35,430.000000,160.000000,26.166667,-1,8,6,2483.000000,2483.000000,592.000000,10,25.071854,0,0.000000,1902.000000,115.000000,-1
39,681.000000,57.000000,28.500000,-1,8,2,250.000000,250.000000,740.000000,11,29.645735,0,0.000000,1903.000000,118.000000,-1
43,434.000000,165.000000,26.833333,-1,8,6,2714.000000,2714.000000,601.000000,12,30.328970,0,0.000000,1903.000000,116.000000,-1
46,613.000000,86.000000,28.000000,-1,8,3,2081.000000,2081.000000,701.000000,13,38.451880,0,0.000000,1903.000000,119.000000,-1
50,523.000000,123.000000,30.000000,-1,8,4,3020.000000,3020.000000,647.000000,14,43.765933,0,0.000000,1902.000000,113.000000,-1
53,664.000000,57.000000,28.000000,-1,8,2,2726.000000,2726.000000,722.000000,15,44.202444,0,0.000000,1902.000000,114.000000,-1
57,628.000000,56.000000,27.500000,-1,8,2,2535.000000,2535.000000,685.000000,16,50.693180,0,0.000000,1904.000000,124.000000,-1
60,456.000000,185.000000,25.857143,-1,8,7,2921.000000,2921.000000,643.000000,17,53.862633,0,0.000000,1903.000000,116.000000,-1
63,344.000000,219.000000,26.750000,-1,8,8,1620.000000,1620.000000,565.000000,18,56.785362,0,0.000000,1903.000000,115.000000,-1
66,481.000000,100.000000,24.250000,-1,8,4,298.000000,298.000000,582.000000,19,58.018982,0,0.000000,1903.000000,119.000000,-1
69,385.000000,194.000000,23.625000,-1,8,8,1043.000000,1043.000000,581.000000,20,58.132854,0,0.000000,1903.000000,118.000000,-1
