Time,GenerateTime,EvalTime,EvalAvgTime,SelectTime,Attempts,Candidates,EstimatedGain,UtilityScore,NBVTime,Iteration,Progress,Planner,TrajectoryLength,MoveTime,MapUpdateTime
0,483.000000,181.000000,21.875000,-1,8,8,2291.000000,2291.000000,667.000000,1,1.538191,0,-1,1903.000000,114.000000
4,457.000000,214.000000,26.000000,-1,8,8,2924.000000,2924.000000,674.000000,2,3.474024,0,-1,1902.000000,110.000000
8,507.000000,208.000000,25.250000,-1,8,8,3075.000000,3075.000000,718.000000,3,5.846369,0,-1,1902.000000,120.000000
12,536.000000,226.000000,27.625000,-1,8,8,2921.000000,2921.000000,765.000000,4,8.237693,0,-1,1903.000000,113.000000
17,510.000000,240.000000,29.250000,-1,8,8,2744.000000,2744.000000,753.000000,5,10.021697,0,-1,1903.000000,113.000000
21,560.000000,244.000000,29.625000,-1,8,8,3063.000000,3063.000000,806.000000,6,14.291918,0,-1,1902.000000,110.000000
25,576.000000,242.000000,29.500000,-1,8,8,3190.000000,3190.000000,819.000000,7,18.524181,0,-1,1903.000000,113.000000
29,522.000000,146.000000,28.600000,-1,8,5,2909.000000,2909.000000,670.000000,8,21.883422,0,-1,1903.000000,113.000000
33,651.000000,58.000000,28.500000,-1,8,2,85.000000,85.000000,710.000000,9,24.844108,0,-1,1903.000000,117.000000
37,531.000000,172.000000,28.166667,-1,8,6,2483.000000,2483.000000,705.000000,10,25.071854,0,-1,1902.000000,117.000000
40,601.000000,61.000000,30.000000,-1,8,2,252.000000,252.000000,663.000000,11,29.645735,0,-1,1903.000000,115.000000
44,551.000000,182.000000,29.833333,-1,8,6,2714.000000,2714.000000,734.000000,12,30.328970,0,-1,1902.000000,113.000000
48,635.000000,95.000000,31.000000,-1,8,3,2082.000000,2082.000000,732.000000,13,38.432901,0,-1,1903.000000,116.000000
51,599.000000,133.000000,32.500000,-1,8,4,3057.000000,3057.000000,733.000000,14,43.727975,0,-1,1903.000000,114.000000
55,610.000000,57.000000,28.000000,-1,8,2,2875.000000,2875.000000,668.000000,15,44.145508,0,-1,1903.000000,119.000000
58,610.000000,60.000000,29.500000,-1,8,2,2534.000000,2534.000000,671.000000,16,50.655223,0,-1,1903.000000,130.000000
